PassageID,Title,Author,Total termFreq,termFreq(adversari),termFreq(answer),termFreq(ball),termFreq(begin),termFreq(cafe),termFreq(card),termFreq(chanc),termFreq(club),termFreq(consequ),termFreq(count),termFreq(deal),termFreq(diamond),termFreq(dice),termFreq(equal),termFreq(follow),termFreq(forc),termFreq(gain),termFreq(game),termFreq(hand),termFreq(happen),termFreq(heart),termFreq(hold),termFreq(honour),termFreq(king),termFreq(knave),termFreq(lai),termFreq(lead),termFreq(leav),termFreq(left),termFreq(lose),termFreq(method),termFreq(number),termFreq(odd),termFreq(order),termFreq(parti),termFreq(partner),termFreq(perform),termFreq(person),termFreq(plai),termFreq(player),termFreq(probabl),termFreq(queen),termFreq(reason),termFreq(remain),termFreq(round),termFreq(run),termFreq(small),termFreq(spade),termFreq(stage),termFreq(suit),termFreq(suppos),termFreq(throw),termFreq(trick),termFreq(trump),termFreq(turn),termFreq(win),termFreq(won),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0674200200_000025,"Hoyle's games improved being practical treatises on whist quadrille piquet chess back-gammon draughts cricket Tennis Quinze Hazard Lansquenet Billiards Faro Rouge & Noir Cribbage Matrimony Cassino Goff or Golf and Connexions In which are contained the method of betting at those games upon equal or advantageous Terms. Revised and corrected by Charles Jones, Esq.",Edmond Hoyle,209,4,0,2,3,1,20,1,6,0,0,1,5,0,0,1,1,1,4,6,0,5,8,2,9,5,0,16,1,1,0,0,2,2,5,0,4,0,1,13,6,1,7,1,2,2,1,6,5,0,12,2,2,3,23,0,5,1,1796,1,1,"London : printed for R. Baldwi B. Law, C. Dilly, T. Payne, W. Lowndes, James Scatcherd, E. Newbery, S. Bladon, G. and T. Wilkie, W. Miller and W. Stewart, [1796].",London,312,male,1672,1769,FALSE,"If only your Partner has Trumps remaining , and he leads a Suit of which you hold none; if you have a good Quart (or Sequence of four) throw away the highest of it. 34 If you have an Ace with one small Card of any Suit , and several"
1705600100_000015,"The accurate gamester's companion: Containing infallible rules for playing the game of whist to perfection in all its branches. Treated in an easy manner, and illustrated with variety of cases. Also the laws of the game, calculations relative to it, &c. The ninth edition improv'd. To which are added, The games of quadrille, piquet, chess and back-gammon, fully explain'd. Likewise a dictionary for whist, and an artificial memory. The whole founded on the experience of Edmond Hoyle, gent.",Edmond Hoyle,236,7,0,0,0,4,11,1,3,3,0,2,2,0,3,0,2,1,3,9,1,3,1,3,10,5,0,16,0,0,2,2,0,2,2,0,18,0,0,18,2,2,6,2,3,0,0,6,6,0,19,14,2,4,28,0,8,0,1748,1,1,"London : Printed for Tho. Osborne: and sold by W. Reeve, at Shakespear's-Head, near Serjeant's-Inn-Gate, in Fleet-Street, 1748.",London,233,male,1672,1769,FALSE,"it is an equal Wager when he leads his Knave of Clubs , you not having the Ace, that your Partner has it, and confrquently you gain a Trick by parsing it; which cannot be done if you either put on your King or Ace, of Clubs . XIII XIII"
0673701200_000014,"A short treatise on the game of whist. Containing the laws of the game: and also some rules, whereby a Beginner may, with due Attention to them, attain to the Playing it well. Calculations for those who will bet the Odds on any Points of the Score of the Game then playing and depending. Cases stated, to shew what may be effected by a very good Player in critical Parts of the Game. References to cases, viz. at the End of the Rule, you are directed how to find them. Calculations, directing with moral Certainty, how to play well any Hand or Game, by shewing the Chances of your Partner's having 1, 2, or 3 certain Cards. With variety of cases added in the appendix. By Edmond Hoyle, gent.",Edmond Hoyle,237,7,1,0,0,4,10,1,7,5,0,2,2,0,2,0,1,1,3,8,1,3,0,3,10,7,1,16,0,1,2,2,0,1,1,0,17,0,0,18,1,1,7,2,1,0,0,6,6,0,18,17,2,3,26,1,9,0,1750,1,1,"London : printed for T. Osborne, at Gray's-Inn, 1750.",London,227,male,1672,1769,FALSE,"his time, you are to trump to him, whether you are strong in Trumps or Suits , or not, because as he calls before he is obliged to do so, it is a Declaration of his be. ing ftropg in Trumps . XII Suppose your right hand Adversary turns up"
0506400200_000014,"Hoyle's games improved. Being practical treatises on the following fashionable games, viz. whist, quadrille, piquet, chess, back-gammon, billiards, cricket, tennis, quinze, hazard and lansquenet. In which are also contained, the method of betting at those games upon equal, or advantageous Terms. Including the laws of the several games, as settled and agreed to at White's and Stapleton's Chocolate-Houses. Revised and corrected by Charles Jones, Esq;",Edmond Hoyle,241,8,1,0,0,3,10,1,7,4,0,2,2,0,3,0,1,1,1,9,1,3,0,2,12,8,0,17,0,1,2,2,0,1,2,0,18,0,0,18,1,2,7,2,1,0,0,7,6,0,16,17,2,3,27,1,9,0,1775,1,1,"London : printed for J. Rivington and J. Wilki St. Paul's Church-Yard; S. Crowder and R. Baldwin, Pater-Noster-Row; T. Caslon and B. Law, Stationers-Court; T. Lowndes, Fleet-Street; F. Newbery, Ludgate-Street; W. Donville, Royal-Exchange; T. Becket, in the Strand; T. Davies, Covent-Garden; W. Davis, Piccadilly; and J. Ridley, St. James's-Street, [1775].",London,239,male,1672,1769,FALSE,"him, whether you are strong in Trumps or Suits , or not; because as he calls before he is obliged to do so, it is a Declaration of his .being strong in Trumps . XII Suppose your right hand Adversary turns up the Queen of Clubs , and suppose ,"
0090701100_000017,"A short treatise on the game of whist. Containing the laws of the game: and also some rules ... Calculations for those who will bet the odds ... Cases stated, ... With variety of cases added in the appendix. By Edmond Hoyle, gent.",Edmond Hoyle,230,8,1,0,0,4,14,2,7,4,0,1,2,0,3,0,2,3,4,10,1,2,0,1,11,8,0,5,0,1,0,3,0,1,2,0,15,0,0,23,1,3,6,0,2,0,0,5,3,0,15,14,5,5,19,2,12,0,1746,1,1,"London : printed for T. Osborne; J. Hildyard, at York; M. Bryson, at Newcaste(sic); and J. Leake, at Bath, 1746.",London,86,male,1672,1769,FALSE,"Chance by this Method of Play , and probably gain three Tricks by it. V If you choose to have Trumps played by the Adversaries , and that your Partner has led a Suit to you, of which you have the Ace, Knave , Ten, Nine, and Eight, or the"
0680500700_000016,"Mr. Hoyle's games of whist, quadrille, piquet, chess, and back-gammon, complete, in which are contained, the method of playing and betting at those games, upon equal, or advantageous Terms. Including the laws of the several games.",Edmond Hoyle,237,6,1,0,0,3,10,1,7,5,0,1,2,0,3,0,1,1,1,8,1,3,1,3,12,8,0,16,0,1,2,2,0,1,2,0,17,0,0,18,1,2,7,2,1,0,0,6,6,0,17,18,2,2,26,1,9,0,1770,1,1,"London : printed by assignment from T. Osborne; for J. Rivington and J. Wilki St. Paul's Church-Yard; S. Crowder and R. Baldwin, Pater-Noster-Row; T. Caslon, and B. Law, Stationers-Court; T. Lowndes, Fleet-Street; F. Newbery, Ludgate-Street; W. Domville, Royal-Exchange; T. Becket, in the Strand; T. Davies, Covent-Garden; W. Davis, Piccadilly; and J. Ridley, St. James's-Street, [1770?].",London,223,male,1672,1769,FALSE,"Time, you are to trump to him, whether you are strong in Trumps or Suits , or not; because, as he calls before he is obliged todo so, it is a declaration of his being firong in Trumps . XII Suppose your right hand Adversary turns up the Queen of"
1281102100_000017,"A short treatise on the game of whist. Containing the laws of the game: and also some rules, whereby a Beginner may, with due Attention to them, attain to the Playing it well. Calculations for those who will bet the Odds on any Points of the Score of the Game then playing and depending. Cases stated, to shew what may be effected by a very good Player in critical Parts of the Game. References to Cases, viz. at the End of the Rule, you are directed how to find them. Calculations directing with moral Certainty, how to play well any Hand, or Game, by shewing the Chances of your Partner's having 1, 2, or 3 certain Cards. With Variety of Cases added in the Appendix. By Edmond Hoyle, gent. The tenth edition, with great additions. The Laws of the Game, and an Explanation of the Calculations which are necessary to be understood by those who would play it well. And also a dictionary for whist, which resolves almost all the critical Cases that may happen at the Game. To which is added, an artificial memory: Or, an easy Method of assisting the Memory of those that play at the Game of Whist. And several Cases, not hitherto published. To this edition are also added, a whole chapter of thirteen new cases never published before.",Edmond Hoyle,243,7,0,0,0,4,14,1,1,4,0,1,2,0,2,0,2,0,3,10,1,3,0,3,11,4,0,15,0,0,2,2,0,2,2,0,18,0,0,20,2,2,5,2,3,0,0,5,6,0,20,17,2,4,32,0,8,1,1750,1,1,"London : printed for T. Osborne, at Gray's-Inn, 1750.",London,101,male,1672,1769,FALSE,"suppose A to have the King , Knave , Nine, and seven of Clubs , they being Trumps ; a quart major in Diamonds , a terce major in Hearts , and the Ace and King of Spades . Letus suppose B to have nine Diamonds , two Spades ,"
0674200400_000016,"Mr. Hoyle's games of whist, quadrille, piquet, chess, and back-gammon, complete. In which are contained, the method of playing and betting at those games, upon equal, or advantageous Terms. Including the laws of the several games.",Edmond Hoyle,262,11,1,0,0,3,18,1,7,5,0,1,2,0,2,0,2,2,3,13,0,3,1,0,8,6,0,12,0,3,2,2,0,1,2,0,16,0,0,18,0,2,4,1,2,0,0,8,6,0,20,17,5,6,28,1,17,0,1765,1,1,"London : printed for Thomas Osborne, in Gray's-Inn; Henry Woodfall, and Richard Baldwin, both in Pater-Noster-Row, [1765?].",London,225,male,1672,1769,FALSE,"winning Cards in his Hand of a Suit already played , with an Ace and one small Card of another Suit ; Every, Whether it is A's belt Play to D 6 throw throw away one of his winning Cards , or tn small Card to his Ace suit ?"
0674200300_000015,"Mr. Hoyle's games of whist, quadrille, piquet, chess, and back-gammon. Complete. In which are contained, the method of playing and betting, at those games, upon equal, or advantageous Terms. Including the laws of the several games.",Edmond Hoyle,228,6,1,0,0,3,13,1,7,3,0,1,2,0,3,0,2,2,4,10,1,3,0,1,10,6,0,7,0,2,0,2,0,1,2,0,16,0,0,22,1,1,6,0,2,0,0,6,5,0,16,11,5,4,24,2,14,0,1760,1,1,"London : printed for Thomas Osborne, in Gray's-Inn; Stanley Crowder, at the Looking-Glass, and Richard Baldwin, at the Rose, in Pater-Noster-Row, [1760?].",London,224,male,1672,1769,FALSE,"the same Suit , Suit , and that it is necessary to let your Partner know that you have the Command of that Suit ; in that Cafe , throw away the Ace of that Suit , upon any Suit of which you have none in your Hand to clear"
0673701100_000013,Hoyle's games improved consisting of practical treatises on whist quadrille piquet chess back-gammon draughts cricket Tennis Quinze Vingt-Un Hazard Lansquenet Billiards Faro or Pharo Rouge & Noir Cribbage Matrimony Cassino Goff on Golf Connexions Reversis Put All-Fours and Speculation With an essay on game cocks; wherein are comprised calculations for betting upon equal or advantageous Terms. Revised and corrected by Charles Jones Esq.,Edmond Hoyle,255,10,2,0,0,4,17,1,7,5,0,2,2,0,3,0,3,2,3,13,0,3,0,0,8,6,0,12,0,3,2,2,0,1,2,0,15,0,0,18,0,2,4,1,2,0,0,5,6,0,14,19,4,6,29,1,16,0,1800,1,1,"London : printed by M. Ritchi Middle Street, Cloth Fair, for R. Baldwin, T. Payne, W. Lowndes, G. Wilkie, J. Scatcherd, Longman and Rees, E. Newbery, W. Stewart, J. Lee, T. Hurst, and J. Mawman, [1800].",London,340,male,1672,1769,FALSE,"play to throw away one of his winning cards , or the finall card to his ace fuit? Answer , It is his best play to throw away one of his winning cards ; because, if his right hand adversary plays to his ace fuit, he has it in his"
