PassageID,Title,Author,Total termFreq,termFreq(adam),termFreq(america),termFreq(american),termFreq(armi),termFreq(assembl),termFreq(author),termFreq(bodi),termFreq(boston),termFreq(britain),termFreq(british),termFreq(burk),termFreq(charter),termFreq(coloni),termFreq(colonist),termFreq(congress),termFreq(constitut),termFreq(continent),termFreq(countri),termFreq(crown),termFreq(declar),termFreq(england),termFreq(foreign),termFreq(franklin),termFreq(gener),termFreq(govern),termFreq(governor),termFreq(hancock),termFreq(hous),termFreq(independ),termFreq(intoler),termFreq(king),termFreq(liberti),termFreq(massachusett),termFreq(parliament),termFreq(patriot),termFreq(peopl),termFreq(power),termFreq(principl),termFreq(provinc),termFreq(rebellion),termFreq(right),termFreq(state),termFreq(taxat),termFreq(tea),termFreq(time),termFreq(treason),termFreq(troop),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0410900901_000062,"The history of the American Revolution. By David Ramsay, M.D. In two volumes. ...",David Ramsay,88,0,0,2,0,8,1,1,1,3,5,0,3,11,1,4,7,2,3,0,2,0,0,2,0,2,0,0,1,0,0,0,0,3,7,0,1,3,1,3,0,3,2,3,1,2,0,0,0,1789,1,2,"Philadelphia : Printed and sold by R. Aitken & Son, M.DCC.LXXXIX. [1789].",Philadelphia,362,male,1749,1815,FALSE,"Barclay 1775 Barclay on behalf of the British ministry. There appear. sed a disposition to concede something considerable on both fides, but the whole came to nothing, in consequence of an inflexible determination to refuse a repeal of the a of parliament for altering the chartered government of Massachusetts ,"
0410900901_000034,"The history of the American Revolution. By David Ramsay, M.D. In two volumes. ...",David Ramsay,79,0,3,2,1,2,0,0,4,5,1,0,2,3,2,0,1,0,4,1,1,2,0,4,1,2,9,0,2,2,0,1,0,3,1,1,3,2,0,5,0,4,1,1,2,1,0,0,0,1789,1,2,"Philadelphia : Printed and sold by R. Aitken & Son, M.DCC.LXXXIX. [1789].",Philadelphia,362,male,1749,1815,FALSE,"and increased the public refpec for themselves, as the counterpart of the Britifi house of commons, and as guardians of the rights of the people . A personal animosity, between Lieut. Governor Hutchinson, and some diftinguilled patriots , in Massachusetts , contributed to perpetuate a flame of discontent in that"
0214700501_000036,"The history of the American Revolution. By David Ramsay, ... In two volumes. ...",David Ramsay,86,0,2,1,2,5,0,0,3,3,2,0,3,3,2,0,2,0,3,3,1,2,0,4,1,3,12,0,2,3,0,1,2,3,0,1,3,2,0,6,0,2,1,0,1,2,0,0,0,1791,1,2,"London : sold by J. Johnson and J. Stockdale, 1791.",London,375,male,1749,1815,FALSE,"subservient to im pirtant purposes. The anniversary of it was observed with great solemnity. Eloquent orators, were successively employed to deliver an annual oration, to preserve the re mcmberance of it frefll in their minds. On these occasions the blessings of liberty -- the horrors of slavery- -- dangers of"
0717500600_000063,"A catalogue of the books, belonging to the Library Company of Philadelphia; to which is prefixed, A short account of the institution, with the charter, laws and regulations. [One line of Latin.]",Library Company of Philadelphia,100,0,10,11,1,2,1,0,0,11,3,3,1,8,1,4,1,0,1,0,2,1,1,0,3,2,2,0,1,2,0,2,1,0,5,0,4,1,2,3,0,4,2,2,0,0,0,1,1,1789,1,1,"Philadelphia : printed by Zachariah Poulson, Junior, in Fourth-street, between Market-street and Arch-street, M DCC LXXXIX. [1789].",,443,unknown,,,FALSE,"on the approaching elecrion of members of parliament . London, 1774 -8 The speech of Samuel Chew, Esquire, to the grand jury of Newcastle county, on the lawfulness of defence against an armed enemy. Philadelphia, 1775 -9 An address to the inhabitants of Pennsylvania, by those freemen, of the city"
0203401000_000001,"Extracts from the votes and proceedings of the American Continental Congress, held at Philadelphia, on the fifth of September, 1774. Containing, The Bill of Rights, a List of Grievances, Occasional Resolves, the Association, an Address to the People of Great-Britain, and a Memorial to the Inhabitants of the British American Colonies. Published by order of the Congress.",United States. Continental Congress,86,0,3,4,1,1,0,1,1,1,2,0,0,7,2,3,0,2,2,2,1,4,0,0,1,3,0,0,1,0,0,1,5,1,5,0,5,4,1,4,0,10,1,1,0,3,2,0,1,1774,1,1,"[London] : Philadelphia printed. London: reprinted for J. Almon, opposite Burlington House, Piccadilly, MDCCLXXIV. [1774].",London,86,unknown,,,FALSE,"VOTES AND PROCEEDINGS OF THE AMERICAN CONTINENTAL CONGRE SS. [Price One Shilling and Sixpence.] -/> - .- : - E X T R A C T S EXTRACTS F R O AI T H E VOTES AND PROCEEDINGS OF THE AMERICAN CONTINENTAL CON G RES S, HELD AT PHILADELPHIA, ON"
0488800101_000063,"The history of the American revolution. By David Ramsay,... A new edition. In two volumes. ...",David Ramsay,82,0,1,5,0,2,0,0,0,1,4,2,3,14,1,0,5,1,1,0,1,0,0,3,0,6,0,0,3,0,0,0,0,3,4,0,1,3,3,4,0,1,4,1,1,3,0,0,1,1793,1,2,"London : printed for John Stockdale, 1793.",London,368,male,1749,1815,FALSE,"plans for conciliation with the Colonies , founded on principles very different from those which were the basis of Lord North's conciliatory motion, were brought forward in the House of Commons, but without receiving its approbation. The mot remarkable of these was pro March posed by Mr. Edmund Burke ,"
0673601200_000122,An abridgement of the history of England; from the invasion of Julius Caesar to the death of George the Second. By Dr. Goldsmith. And continued by an eminent writer to the present time.,Oliver Goldsmith,81,1,1,2,1,2,1,2,5,2,2,0,0,6,0,4,0,0,3,2,1,7,0,1,4,2,1,2,1,3,0,3,0,0,3,0,7,1,0,3,0,3,0,1,3,0,0,1,0,1793,1,1,"London : printed for T. Longman; B. Law and Son; G. G. and J. Robinson; T. Cadell; R. Baldwin; W. Goldsmith; W. Richardson; Scatcherd and Whitaker; and G. and T. Wilkie, MDCCXCIII. [1793].",London,433,male,1728,1774,TRUE,"The great subject of dispute between the mother country and her American colonies , was the right of taxation . The parliament of Great Britain insisted upon its right of taxing them by its own proper authority . The colonies denied this right , and said that they coald not"
0488800101_000064,"The history of the American revolution. By David Ramsay,... A new edition. In two volumes. ...",David Ramsay,83,0,1,3,0,8,1,1,0,5,3,0,0,15,2,5,3,1,2,1,1,2,0,2,0,1,1,0,2,0,0,1,0,0,4,0,1,0,1,1,0,3,1,3,2,4,0,0,2,1793,1,2,"London : printed for John Stockdale, 1793.",London,368,male,1749,1815,FALSE,"the Colonies as calculated to promote disunion among them. It is certain, that the Colonies which were exempted from its operation, might have reaped a golden harvest from the exemption in their favour, had they been disposed to avail themselves of it. But such was the temper of the times"
0031302200_000030,"Bibliotheca Americana; or, a chronological catalogue of the most curious and interesting books, pamphlets, state papers, &c. upon the subject of North and South America, from the earliest period to the present, in print and manuscript; for which research has been made in the British Musaeum, and the most celebrated public and private libraries, reviews, catalogues, &c. with an introductory discourse on the present state of literature in those countries.",Leman Thomas Rede,90,0,10,13,0,1,2,0,1,8,1,1,2,16,0,7,0,2,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,3,3,1,2,0,0,1,1,3,2,3,0,0,0,0,0,1789,1,1,"London : printed for J. Debrett, opposite Burlington-House, Piccadilly ; J. Sewell, Cornhill ; R. Baldwin and J. Bew, Paternoster-Row ; and E. Harlowe, St. James's-Street, MDCCLXXXIX. [1789].",London,271,male,1754,1810,FALSE,"unhappy Dispute between Great Britain and her Colonies . Octavo. is. 6d. Walker. The Interests of the Merchants and manufacaurers of Great Britain , in the present Contest with her Colonies , stated and considered. Octavo. is. Cadell: A very flort and candid Appeal to Freeborn Britons. By an American"
1544300100_000231,"A new geographical, historical, and commercial grammer; and present state of the several kingdoms of the world. Containing I. The figures, motions, and distances of the planets, according to the Newtonian system, and the latest observations. II. A general view of the Earth, considered as a planet; with several useful geographical definitions and problems. III. The grand divisions of the globe into land and water, continents and islands. IV. The situation and extent of empires, kingdoms, states, provinces, and colonies. V. Their climate, air, soil, vegetable productions, metals, minerals, natural curiosities, seas, rivers, bays, capes, promontories, and lakes. VI. The birds and beasts peculiar to each country. VII. Observations on the changes that have been any where observed upon the face of nature, since the most early periods of history. VIII. The history and origin of nations: their forms of government, religion; laws, revenues, taxes, naval and military strength; orders of knighthood; &c. IX. The genius, manners, customs, and habits of the people. X. Their language, learning; arts, sciences, manufactures, and commerce. XI. The chief cities, structures, ruins, and artificial curiosities. XII. The longitude, latitude, bearings, and distances of principal places from London. To which are added, I. A geographical index, with the names of places alphabetically arranged. II. A table of the coins of all nations, and their value in English money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. the astronomical part by James Ferguson, F.R.S. To which have been added; the late discoveries of Dr. Herschell, and other eminent astronomers. Illustrated with a correct set of maps, engraved from the most recent observations and draughts of geographical travellers.",William Guthrie,87,0,4,8,1,1,0,4,3,2,2,0,2,8,0,6,0,1,0,2,1,3,0,1,5,2,2,0,2,0,0,5,0,0,4,0,4,1,0,1,0,1,1,1,0,2,0,4,3,1796,1,1,"London : Printed for Charles Dilly, in the Poultry; and G.G. and J. Robinson, in Pater-Noster Row, M.DCC.XCVI. [1796].",London,1037,male,1708,1770,FALSE,"at was passed for refhraining the commerceof the New England colonies , and to prohibit their fifhlery on the banks of Newfoundland. A motion wras, indeed, afterwards made in the house of commons, by lord North, first lord of the treasury, for suspending theex ercife of the right of taxation"
