PassageID,Title,Author,Total termFreq,termFreq(attent),termFreq(author),termFreq(book),termFreq(brandi),termFreq(chocol),termFreq(coffe),termFreq(coffeehous),termFreq(compani),termFreq(convers),termFreq(dai),termFreq(drink),termFreq(even),termFreq(frequent),termFreq(gentlemen),termFreq(grand),termFreq(half),termFreq(home),termFreq(hous),termFreq(humour),termFreq(knowledg),termFreq(laid),termFreq(laughter),termFreq(liberti),termFreq(london),termFreq(music),termFreq(new),termFreq(paper),termFreq(peopl),termFreq(person),termFreq(place),termFreq(politician),termFreq(proprietor),termFreq(public),termFreq(publish),termFreq(punch),termFreq(read),termFreq(room),termFreq(sage),termFreq(societi),termFreq(tabl),termFreq(tatler),termFreq(tea),termFreq(thought),termFreq(town),termFreq(wit),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0141900500_000021,"The tunbridge Wells guide; or an account of the ancient and present state of that place, to which is added a particular description of the towns and villages, Gentlemens Seats, Remains of Antiquity, Founderies, &c. &c. within the circumference of sixteen miles.","Sprange, J. (Jasper)",72,1,0,4,0,0,1,3,7,1,2,3,0,1,0,0,0,0,0,1,0,1,0,1,0,4,1,1,0,1,8,0,0,12,2,0,1,11,0,0,2,0,2,0,0,0,1,1780,1,1,"Tunbridge Wells : printed and sold by J. Sprange, at his Circulating Library. Sold also in London, by T. Beecroft Bookseller Pater Noster Row, MDCCLXXX. [1780] [1782].",Tunbridge Wells,329,male,1746,1823,FALSE,"procure that ease and felicity they sought for, without diminishing the happiness of others. Before that famous arbitrator of pleasure arose to plan and improve the amusements of the great, public places , but little esteemed in themselves, were only resorted to by invalids, to whom their medicinal waters were"
1761600100_000023,"The Tunbridge Wells guide; or an account of the ancient and present state of that place, to which is added a particular description of the towns and villages, ... within the circumference of sixteen miles.","Sprange, J. (Jasper)",62,2,0,3,0,0,1,2,7,1,2,3,0,1,1,0,0,0,0,1,0,1,0,1,0,4,1,1,0,0,4,0,0,6,2,0,1,12,0,0,2,0,3,0,0,0,0,1780,1,1,"Tunbridge Wells : printed and sold by J. Sprange. Sold also in London, by T. Beecroft, 1780 [1785]",Tunbridge Wells,349,male,1746,1823,FALSE,"the coffeehouse the famr for eacth gentleman, which' entitles him to the use of pens, ink, paper , c. again, at the ""bookiieller's the subscription is the same, for which you have the use of whatevet book you please to read at your lodgings; and here also, is a book"
0587700301_000142,"The critical and miscellaneous prose works of John Dryden, now first collected: with notes and illustrations; an account of the Life and writings of the author, grounded on original and authentick documents; and a collection of his letters, the greater part of which has never before been published. By Edmond Malone, Esq. ... . Part I.",Edmond Malone,47,0,1,0,1,0,2,6,0,0,1,0,0,2,0,1,1,0,6,0,0,1,0,0,2,0,1,0,0,0,3,1,0,1,2,2,1,1,3,0,0,3,1,0,1,3,0,1800,1,4,"London : printed by H. Baldwin and Son, New Bridge-Street, for T. Cadell, Jun. and W. Davies, in the Strand, M,DCCC. [1800].",London,605,male,1741,1812,FALSE,"visited Cambridge, he was created Doctor in Divinity; and on the i9th of March, 1724-5, was made Dean of Peterborough. (Pat. 11 Geo. I. p. 2 n. 23.) He was also rector of Hansworth and Aston. i know not the exact time of his death, but it probably happened in"
0245800600_000019,"The history of Pompey the little: or, the life and adventures of a lap-dog.","Coventry, Francis",44,1,0,0,1,1,1,3,0,2,2,0,4,0,0,0,0,2,0,2,1,1,0,0,0,0,3,1,2,0,0,2,0,1,0,0,1,3,1,0,1,0,1,2,1,4,0,1751,1,1,"London : printed for M. Cooper, at the Globe in Paternoster Row, MDCCLI. [1751].",London,279,male,1725,1759,FALSE,"left open in her Study; to wit , Mopfa on Nelson's Festivals, and Pompey on Baker's Chronicles; when alas how little things often.determine the greatest Matters! Pompey, in the Earnestness of his Debate, did something on the Leaves of that sage Historian, very unworthy of his Character, and improper to"
0665603200_000012,"Yorick's skull; or, college oscitations. With some remarks on the writings of Sterne, and a specimen of the Shandean Stile. By the author of A monstrous good lounge.",Author of A monstrous good lounge,42,1,1,1,0,0,4,2,1,4,0,0,1,2,1,0,0,0,1,1,3,1,2,1,0,1,1,1,1,0,1,0,0,0,0,0,2,1,1,0,1,0,1,1,1,0,2,1777,1,1,"London : printed for J. Bew, in Paternoster-Row, MDCCLXXVII. [1777].",London,125,unknown,,,FALSE,"coffeehouse in the city. Numberless are the ways by which men of this stamp acquire their temporary knowledge . It is no un mufual thing, to see one of these evening posts fitting close behind a knot .of clever fellows, swallowing down . coffee and conversation with the greatest perseverance."
0078701702_000088,"A description of Bath, wherein the antiquity of the city, as well as the eminence of its founder; its Magnitude, Situation, Soil, Mineral Waters, and Physical Plants; its British Works, and the Grecian Ornaments with which they were adorned; its Devastations and Restorations in the Days of the Britons, Romans, Saxons, Danes, and Normans; with its New Buildings, Baths, Conduits, Hospitals, Places of Worship, and other Public Edifices; its Gates, Bridges, Walks, and Streets, &c. are respectively treated of: The Gods, Places of Worship, Religion, and Learning of the Ancient Britons Occasionally considered: And the Limits of the City in its present State; its Government, Trade, and Amusements Severally pointed out. Illustrated with the figure of King Bladud, the First Founder of the City; Together with proper plans and elevations from twenty-two copper plates. By John Wood, Esq; In two volumes.","Wood, John",50,0,2,0,0,2,2,1,2,1,1,2,0,0,2,1,1,0,6,0,0,0,0,0,1,6,1,1,4,1,2,0,0,3,0,0,4,2,0,0,0,0,2,0,0,0,0,1765,2,2,"London : printed for W. Bathoe, in the Strand; and T. Lownds, in Fleet Street, MDCCLXV. [1765].",London,248,male,1705,1754,FALSE,"Progress of the Vocal Music , and put an End to the Gallantries that any ways tended to the Diiturbance of the Baths. UNDER this Government, Ladies of Quality were generally attended in the Cross Bath by the Daughters of the chief Citizens; which was a Compliment seldom received without"
0674100102_000088,"An essay towards a description of Bath. In four parts. Wherein The Antiquity of the City, as well as the Reality and Eminence of its Founder; the Magnitude of it in its Antient, Middle and Modern State; the Names it has borne; its Situation, Soil, Mineral Waters and Physical Plants; the general Form and Size of its Body; the Shape of its detach'd Parts; its British Works, and the Grecian Ornaments with which they were adorned; its Devastations and Restorations in the Days of the Britons, Romans, Saxons, Danes and Normans; its additional Buildings down to the End of the Year 1748; its Baths, Conduits, Hospitals, Places of Worship, Court of Justice, and other Publick Edifices; its Gates, Throngs, Bridges, Lanes, Alleys, Terrass Walks, and Streets; its inferior Courts; and its Open Areas of a superiour Kind Are respectively Treated of: The Gods, Places of Worship, Religion and Learning of the Antient Britons Occasionally Considered: And the Limits of the City in its present State; its Divisions, Sub-Divisions, Laws, Government, Customs, Trade and Amusements Severally pointed out. Illustrated with the figure of King Bladud, the First Founder of the City, as described by the Orator Himerius under the Name of Abaris; together with proper plans and elevations from two and twenty copper plates. By John Wood, architect. ...","Wood, John",50,0,0,0,0,2,2,1,2,0,1,0,0,1,2,1,1,0,5,0,0,0,0,1,3,2,1,1,3,0,7,0,0,4,0,0,4,2,0,0,0,0,2,0,2,0,0,1749,2,2,"London : printed by James Bettenham, in the year 1749, and sold by C. Hitch in Pater-Noster-Row; and J. Leake at Bath, [1749].",London,249,male,1705,1754,FALSE,"Pump houje the Ladies from time to time withdraw to a neighbouring Toy Shop, Amusing themselves there with Reading the News ; and from thence they return to their Lodgings to Breakfalt. The Gentlemen withdraw to the Coffeehouses to Read the public Papers ; and there some of them break"
1237600100_000190,"A description of Bath, wherein The Antiquity of the City, as well as the Eminence of its Founder; its Magnitude, Situation, Soil, Mineral Waters, and Physical Plants; its British Works, and the Grecian Ornaments with which they were adorned; its Devastations and Restorations in the Days of the Britons, Romans, Saxons, Danes, and Normans; with its New Buildings, Baths, Conduits, Hospitals, Places of Worship, and other Public Edifices; its Gates, Bridges, Walks, and Streets, &c. Are respectively Treated of: The Gods, Places of Worship, Religion, and Learning of the Ancient Britons Occasionally considered: And the Limits of the City in its present State; its Government, Trade, and Amusements Severally pointed out. Illustrated with The Figure of King Bladud, the First Founder of the City; together with Proper Plans and Elevations from Twenty-Two Copper-Plates. By John Wood, Esq; the second edition, corrected and enlarged. In two volumes.","Wood, John",47,0,0,0,0,2,2,1,2,0,1,0,0,1,2,1,1,0,4,0,0,0,0,1,3,2,1,1,3,0,6,0,0,4,0,0,4,2,0,0,0,0,2,0,1,0,0,1769,1,1,"London : printed for .J [sic] Murray, (successor to Mr. Sandby) No. 32. Fleet-Street, M.DCC.LXIX. [1769].",London,503,male,1705,1754,FALSE,"with Reading the News ; and from thence they return to their Lodgings to Breakfast. The Gentlemen withdraw to the Coffeehouses to Read the public Papers ; and there some of them break their Fast with Buttered Rolls, or Bath Buns, not to be equalled elsewhere, and with the best"
0162600300_000023,"The tunbridge Wells guide; or an account of the ancient and present state of that place, to which is added a particular description of the towns and villages, Gentlemens Seats, Remains of Antiquity, Founderies, &c. &c. within the circumference of sixteen miles.","Sprange, J. (Jasper)",54,1,0,4,0,0,1,1,5,1,3,1,0,1,0,0,1,0,1,1,0,0,0,0,2,3,1,2,1,0,8,0,0,7,1,0,1,4,0,0,1,0,0,0,2,0,0,1786,1,1,"Tunbridge Wells : printed and sold by J. Sprange, at his Circulating Library. Sold also in London by Rivingtons Booksellers St. Paul's Church-Yard, MDCCLXXXVI. [1786] [1787].",Tunbridge Wells,362,male,1746,1823,FALSE,"fatness and delicacy of it's fleih. The manner of catching them is something peculiar : -- the lhepherds make little holes in the Downs, covered with a turf about a foot long, and half a foot broad, in which thc% place snares of horsehair, and the birds, being very fearful"
0213100700_000003,"A description of Tunbridge-Wells, in its present state; and the amusements of the company, in the time of the season; And Of The Ancient and Present State Of The Most Remarkable Places, In The Environs: Comprehending a Circuit of about Sixteen Miles round the Place.",,57,1,0,4,0,0,1,1,7,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,4,1,2,1,1,8,0,0,9,0,0,1,4,0,0,1,0,0,0,2,0,1,1780,1,1,"Tunbridge-Wells : printed and sold by J. Sprange, MDCCLXXX. [1780].",Tunbridge Wells,235,unknown,,,FALSE,"in its kind. t Linden on chalvbeat water p. too. ( 13) rounding country, and especially on the forest fide, abounds with as fine airings, as any in England; and, the distance from London be inlg only thirty six miles, a daily post; is established, a Rage coach regularly arrives"
0201600102_000092,The spectator. ...,,44,0,0,1,0,0,1,4,2,2,1,1,0,3,1,0,1,0,2,0,1,0,0,0,0,1,1,1,2,5,0,0,0,1,1,0,4,2,0,0,0,0,1,1,2,0,2,1753,2,9,"London : printed for J. and R. Tonson and S. Draper, MDCCLIII. [1753].",London,351,unknown,,,FALSE,"Dr. -- e say in his Pulpit, of the common prayer, that, at leat, it was as perse as anything of Human  Infitution: If the Gentlemen who err in this kind would please to recollet the many Pleasantries they  have read upon those who recite good Things with"
