PassageID,Title,Author,Total termFreq,termFreq(advantag),termFreq(africa),termFreq(america),termFreq(american),termFreq(britain),termFreq(british),termFreq(carri),termFreq(claim),termFreq(coast),termFreq(coloni),termFreq(commerc),termFreq(commod),termFreq(compani),termFreq(consider),termFreq(control),termFreq(countri),termFreq(cultiv),termFreq(cultur),termFreq(dutch),termFreq(east),termFreq(empir),termFreq(europ),termFreq(exclus),termFreq(foreign),termFreq(govern),termFreq(grant),termFreq(hold),termFreq(holland),termFreq(increas),termFreq(indi),termFreq(india),termFreq(inhabit),termFreq(island),termFreq(land),termFreq(law),termFreq(manner),termFreq(nation),termFreq(nativ),termFreq(navig),termFreq(negro),termFreq(parliament),termFreq(peopl),termFreq(place),termFreq(plantat),termFreq(planter),termFreq(price),termFreq(produc),termFreq(regul),termFreq(servant),termFreq(settlement),termFreq(ship),termFreq(slave),termFreq(sold),termFreq(subject),termFreq(territori),termFreq(time),termFreq(tobacco),termFreq(trade),termFreq(traffic),termFreq(west),termFreq(work),termFreq(year),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0800701200_000017,"Remarks on a pamphlet, entitled Bengal sugar; and on the manner in which the trade of the East-India Company is carried on in the East-Indies by foreign shipping, In Violation Of The Laws Enacted for the Support of the Commerce and Navigation of Great Britain. By Gilb. Francklyn, Esq.","Francklyn, Gilbert",113,2,1,2,1,4,4,3,0,0,3,4,1,4,1,3,0,1,0,0,0,2,1,1,3,2,0,4,0,1,1,8,0,0,1,4,2,2,1,8,0,0,0,1,3,1,0,0,6,0,1,4,0,0,6,4,2,2,7,0,0,0,1,1795,1,1,"London : printed for John Stockdale, Piccadilly, [1795].",London,118,unknown,,,FALSE,"were charter governments , "" hold give security for observing such in"" "" as they fiould receive from the ""King upon this head: and the proprietors ""of the proprietary governments , to be an'  for the conduct of their depu. "" ties It is certain that those regulations as"
0525100400_000006,"Candid reflections upon the judgement lately awarded by the Court of King's Bench, in Westminster-Hall, on what is commonly called the negroe-cause, by a planter.",Edward Long,105,3,1,1,4,0,0,1,0,5,5,1,1,5,2,0,1,2,0,5,0,0,2,1,2,0,4,0,1,1,1,1,1,1,0,0,0,2,1,1,8,2,0,0,4,1,1,1,1,0,2,1,3,1,1,0,1,0,13,0,2,0,7,1772,1,1,"London : printed for T. Lowndes, No 77, Fleet-stree[t], MDCCLXXII. [1772].",London,79,male,1735,1813,FALSE,"of sugar worlssin Jamaica, that the officers of.his army. arraffed and destroyed the common soldiers,,, well seasoned to the climate) by, seiploying them ase.field. labourers. This utter inaptitude of Europeans to such occupations in hot climates, and the impossibility of filpplyng them with white labourers, from any other source than"
0040501702_000009,"Tracts, on various subjects, chiefly relating to East-India affairs. Published at different periods, by John Prinsep. ...",John Prinsep,107,2,2,1,0,2,4,1,4,0,7,2,6,1,0,0,5,0,0,0,2,3,0,2,3,2,0,0,0,3,3,2,3,0,1,1,0,4,0,2,0,4,2,2,3,3,1,5,2,0,0,1,0,0,4,3,0,0,7,0,2,0,0,1800,2,2,"[London?, s.n., 1800?].",London,259,male,1746,1830,FALSE,"connexion."" I In the recital of different Acts of Parliament , produced , in what the merchants and planters Page 69, Remarks. t Presented as a memorial to Ministry, and printed as al Appendix to the Remarks. ( 43) planters have been pleated to style, the *"" legal claim to"
0155903200_000003,"Reasons against giving a territorial grant to a company of merchants, to colonize and cultivate the peninsula of Sierra Leona [sic], on the coast of Africa.",,128,1,5,0,0,1,0,0,0,3,4,0,0,6,1,3,7,3,0,0,2,0,1,0,3,1,11,6,0,0,4,1,0,2,10,5,0,6,1,0,4,5,1,0,1,0,1,0,2,5,2,0,6,1,1,0,2,0,2,1,5,0,2,1791,1,1,"London : printed in the year, 1791.",London,16,unknown,,,FALSE,"a sugar plantation under A. 50, 0 sterling; and the sale of these lands has not only brought in a considerable sum to government , but there has been about fifteen millions laid out in these ilands. Would it, after this, be confiient with good faith, for the Parliament of"
1273601600_000009,"The right in the West-India merchants to a double monopoly of the sugar market of Great Britain, and the expedience of all monopolies examined.",John Prinsep,104,3,2,1,0,2,3,1,3,0,8,2,6,1,0,1,5,0,0,0,2,3,0,1,3,2,0,0,0,3,3,2,3,0,1,1,0,4,0,2,0,5,2,2,2,1,1,3,3,0,0,0,0,0,5,3,0,0,7,0,2,0,0,1792,1,1,"London : printed at the Minerva Press, Leadenhall-Street, and sold by Debrett, Piccadilly; Johnson, ST. Paul's Church-Yard; and Heather, 157, Leadenhall-Street, [1792?].",London,91,male,1746,1830,FALSE,"the compac entered into with the ( colonies ,"" carries no such construction. The reader stall judge for himself. < And, in regard to his Majefy's planta"" "" beyond the eas, are inhabited and ""' peopled by the subjects of this his kingdom "" of England; for the maintaining a"
1562800101_001525,"The universal dictionary of trade and commerce, translated from the French of the celebrated Mosieur Savary, Inspector-General of the manufactures for the King, at the Custom-House of Paris: with large additions and improvements, incorporated throughout the whole work; which more particularly accomodate the same to the trade and navigation of these kingdoms, and the laws, customs, and usages, to which all traders are subject. By Malachy Postlethwayt, Esq;",Malachy Postlethwayt,95,1,1,4,3,0,6,3,0,0,8,4,1,1,1,0,0,1,0,1,0,0,2,0,1,0,1,0,1,0,0,3,1,9,1,4,0,2,0,1,1,0,2,0,5,2,0,1,2,0,0,3,0,0,3,1,5,1,3,2,2,0,1,1757,1,2,"London : printed for John Knapton, in Ludgate-Street, M DCC LVII. [1757].",London,1069,male,1707,1767,FALSE,"permitted to exchange their surplus rum and melaffes with the English, for cash, horses, shipping , timber, and other plantation necessaries. There is also a considerable traffic carried on between the French islands and the Spanish islands of Margueretta, Trini dado, Porto Rico, and other Spanish ports in America ,"
0655400501_000071,"An account of the European settlements in America. In six parts. I. A short History of the Discovery of that Part of the World. II. The Manners and Customs of the original Inhabitants. III. Of the Spanish Settlements. IV. Of the Portuguese. V. Of the French, Dutch, and Danish. VI. Of the English. Each Part contains An accurate Description of the Settlements in it, their Extent, Climate, Productions, Trade, Genius and Disposition of their Inhabitants: the Interests of the several Powers of Europe with respect to those Settlements; and their Political and Commercial Views with regard to each other. In two volumes. ...",Edmund Burke,86,2,2,2,1,0,0,1,2,4,4,1,1,1,4,0,4,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,2,3,0,0,0,3,2,2,1,1,1,1,0,5,1,5,0,1,2,3,1,6,0,0,2,4,1757,1,2,"London : printed for R. and J. Dodsley in Pall-Mall, MDCCLVII [1757].",London,322,male,1729,1797,TRUE,"have. For betides their large establishment on the Western shore of Africa , they claim the whole coast of Zanguebar on the Eastern fide, which in part they possess; besides several other large territories , both on the coast and in the country ; where several numerous nations acknowledge themselves"
0432500700_000644,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,114,0,1,0,0,0,0,1,0,2,11,0,0,4,1,0,0,3,0,6,1,0,0,2,2,1,1,0,3,2,1,2,3,0,1,2,1,1,1,0,9,0,0,0,8,1,3,0,2,0,2,3,15,2,0,0,3,0,5,0,4,1,3,1789,1,1,"[London], 1789.",London,890,unknown,,,FALSE,"of the Dues of Vendue, c. The Loss of Slaves on the Voyage is differently stated: One Account makes it from 5 to 7 per Cet. another, full o1 percent. of the Number purchased on the Coast . The Number of Ships employed in this Trade before the War, amounted"
0800701200_000016,"Remarks on a pamphlet, entitled Bengal sugar; and on the manner in which the trade of the East-India Company is carried on in the East-Indies by foreign shipping, In Violation Of The Laws Enacted for the Support of the Commerce and Navigation of Great Britain. By Gilb. Francklyn, Esq.","Francklyn, Gilbert",93,0,2,4,3,3,1,5,0,0,4,3,2,2,0,0,0,0,0,0,0,1,2,1,2,0,0,1,0,1,0,5,0,5,4,5,0,1,0,2,0,2,1,1,8,1,0,1,1,0,0,5,0,0,1,7,2,1,1,0,2,0,0,1795,1,1,"London : printed for John Stockdale, Piccadilly, [1795].",London,118,unknown,,,FALSE,"Except where the same imperious necessity has occurred, which has' always justified such departure from them heretofore: and, however expedient it has been found to permit a more free intercourse between North America and the Britihi Sugar colonies , by the treaty lately made with those tfates, in cafe such"
0082800601_000073,"An account of the European settlements in America. In six parts. I. A short History of the Discovery of that Part of the World. II. The Manners and Customs of the original Inhabitants. III. Of the Spanish Settlements. IV. Of the Portuguese. V. Of the French, Dutch, and Danish. VI. Of the English. Each Part contains An accurate Description of the Settlements in it, their Extent, Climate, Productions, Trade, Genius and Disposition of their Inhabitants: the Interests of the several Powers of Europe with respect to those Settlements; and their Political and Commercial Views with regard to each other. In two volumes. ...",Edmund Burke,87,2,2,4,1,0,0,1,1,5,3,1,2,1,4,0,4,1,0,1,0,1,2,0,0,1,0,1,0,0,0,1,1,0,0,0,3,2,4,0,0,0,3,3,1,1,1,1,1,0,4,1,3,0,1,1,3,1,7,0,0,2,4,1765,1,2,"London : printed for J. Dodsley, in Pall-Mall, MDCCLXV. [1765].",London,342,male,1729,1797,TRUE,"an' objec for their save trade , which extends to little more than some part of the Gold coast , to Sierra Leone, and Gambia, and some other inconsiderable ports; by which they have depreciated their own commodities , and raised the price of flaes within there fewyears above thirty"
