PassageID,Title,Author,Total termFreq,termFreq(1791),termFreq(1793),termFreq(anarchi),termFreq(assembl),termFreq(bailli),termFreq(barrer),termFreq(blood),termFreq(cap),termFreq(committe),termFreq(constitut),termFreq(convent),termFreq(cordeli),termFreq(danton),termFreq(death),termFreq(decre),termFreq(deputi),termFreq(evil),termFreq(execut),termFreq(franc),termFreq(french),termFreq(gener),termFreq(girondift),termFreq(govern),termFreq(guillotin),termFreq(head),termFreq(hebert),termFreq(jacobin),termFreq(king),termFreq(leader),termFreq(liberti),termFreq(loui),termFreq(member),termFreq(mountain),termFreq(orlean),termFreq(pari),termFreq(parti),termFreq(peopl),termFreq(popular),termFreq(power),termFreq(priest),termFreq(principl),termFreq(prison),termFreq(public),termFreq(reason),termFreq(red),termFreq(republ),termFreq(revolut),termFreq(revolutionari),termFreq(robespierr),termFreq(san),termFreq(scaffold),termFreq(terror),termFreq(trial),termFreq(tribun),termFreq(victim),termFreq(xvi),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0551501200_000004,"Anti-Revolutionary thoughts of a revolutionary writer: from ""the secret history of the revolution of France,"" by Monsieur François Pagès.","Pagès, François Xavier",100,0,2,0,3,0,0,0,1,1,1,3,0,0,3,3,1,2,2,6,2,0,0,4,2,0,1,6,2,1,1,2,2,0,2,2,0,2,4,1,1,2,0,3,1,1,0,12,6,6,0,0,1,1,2,0,2,1800,1,1,"Salisbury : printed for (and by) J. Easton, High-Street: and J. Wright, Piccadilly, London, [1800].",Salisbury,157,male,1745,1802,FALSE,"characer - - - 62 P. 22 evil effeat of the ascendant of popular orators 62 P. 24.-a11 popular seditions, massacres, c. instigated and conducted by persons of low extradion that observation applied to the revolution of France Popular despotism, under the title of committees of public walfare, c- --"
0610700401_000008,"Annals of the French Revolution; or, a chronological account of its principal events; with a variety of anecdotes and characters hitherto unpublished. By A. F. Bertrand de Moleville, Minister of State. Translated by R. C. Dallas, Esq. from the original manuscript of the author, which has never been published. In four volumes. ...","Bertrand de Moleville, Antoine François, marquis de",91,0,1,1,5,0,1,2,0,2,2,3,0,2,2,1,1,0,3,2,0,1,1,4,3,2,0,0,2,2,1,1,4,0,0,0,2,2,2,6,0,0,3,1,0,0,3,3,5,5,0,0,5,0,2,2,1,1800,1,4,"London : printed by S. Low, Berwick Street, Soho, and sold by T. Cadell, Jun. and W. Davies, in the Strand, 1800.",London,507,male,1744,1818,FALSE,"fllout ing their votes for the abolition of Royalty, and proclaiming the Republic , upon the motion of a member who had formerly been a player. Such an opening but too plainly showed what was to be expected from that horde of plunderers which composed the majority of the National"
0003100400_000016,"A chronological epitome of the most remarkable events that have occurred during the French Revolution, from 1789 to 1795. To which is added on alphabetical list of those persons who have rendered themselves most conspicuous, and have fallen sacrifices during this interesting period.",,77,1,2,0,0,0,2,0,0,1,0,6,3,1,2,3,2,0,2,1,6,5,0,0,9,1,1,2,1,0,1,2,0,0,0,9,1,0,0,0,0,0,3,0,1,0,1,1,2,0,2,0,0,0,1,1,1,1795,1,1,"London : printed for J. Wallis, No. 16, Ludgate-Street, [1795].",London,95,unknown,,,FALSE,"Luynes, their only daughter, and Matthew de Montmorency, ex collfiituent, their fon in law, are irn aprili7ned. 2 12 An ( 6) 12 An architcce offers' the Convention a work, in which he endeavours to prove that the National Domaines amount to 0o mili lil rds. 73 Deputies from the"
1693300182_000147,"The European magazine, and London review; containing the literature, history, politics, arts, manners and amusements of the age. By the Philological Society of London.",Philological Society (Great Britain),89,3,4,0,6,0,0,0,1,0,4,2,1,1,2,0,4,0,2,2,2,0,0,1,0,0,1,4,2,1,1,3,2,2,0,5,8,3,2,0,0,0,1,2,0,1,1,4,1,6,0,0,1,0,0,1,2,1782,82,87,"London [England] : printed for John Fielding No. 23, Pater Noster Row; John Debrett, opposite Burlington House, Piccadilly; and John Sewell, No. 32, Cornhill, [1782]-1826.",London,583,unknown,,,FALSE,"The party was destroyedl by the kevolution of 18 firucti~dor, or year 5i. Compangnies de Jbsus et du'soleil. Compamnes of jtsus, and the Sunn -- Associations of young men, who, after the death of Robespierre , comn mitted numerous assassinations, unr der pretence of avenging those who had fallen victims"
0628301102_000007,"Secret history of the French Revolution, from the Convocation of the Notables in 1787 to the first of November 1796. ... Translated from the French of Francis Pagès. In two volumes. ...","Pagès, François Xavier",74,1,0,2,0,0,0,2,0,0,1,5,3,1,0,1,1,1,0,0,1,2,6,0,0,1,0,5,0,1,1,1,0,3,3,0,11,1,1,1,0,0,1,0,2,0,6,1,2,2,1,0,1,0,1,1,0,1797,2,2,"London : printed for T. N. Longman, and J. Mathews, 1797.",London,478,male,1745,1802,FALSE,"who have slept in chains for fourteen centuries, to give an unusual energy to their minds; the good on such an occasion is necefiarily followed by evil . Intriguing men resolved to take avantage of the popularity and consequent influence of this society. The Orleans party completed its degradation. They"
0091500108_000509,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,72,0,1,0,2,0,0,1,0,1,2,5,0,2,1,2,1,0,1,1,1,1,0,1,1,4,0,2,0,1,0,0,3,1,1,3,3,0,3,1,1,3,2,4,0,0,0,0,2,7,0,1,2,1,2,1,0,1799,8,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,722,male,1747,1822,FALSE,"the election of the Legislative Assembly , the members of which were all new, Robespierre's chief theatre of action was the famous Jacobin club, at which he was a principal speaker. He also published a weekly paper entitled "" Le Defen seur de la Constitution ."" He now adopted the"
0410800300_000006,"Letters containing a sketch of the politics of France, from the thirty-first of May 1793, till the twenty-eighth of July 1794, and of the scenes which have passed in the prisons of Paris. By Helen Maria Williams. Vol.IV.",Helen Maria Williams,65,0,1,1,0,0,1,0,0,1,2,10,0,0,2,5,1,0,1,0,0,2,0,2,2,0,0,4,0,1,1,0,0,2,1,5,1,3,0,0,0,2,2,2,0,0,1,0,2,2,0,2,1,0,1,1,0,1796,1,1,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1796.",London,226,female,1762,1827,TRUE,"pen was paralized in favour of liberty ."" report of Barrere , 12th of Nivofec C $ the ( 34). the place of their confinement be undermined; let the match be kept continually burning, and in readiness to blow up them and their adherents I"" The convention approved the report"
1558600300_000059,"An historical essay on the ambition and conquests of France, with some remarks on the French revolution. Containing 1.-Sketch of general history previous to the Frech revolution; 2.-Remarks on the French revolution from 1789 to 1791; 3.-Abridgement of the history of the revolution from 1791 to 1796.",Amabel Hume Campbell,60,0,1,0,0,0,2,1,0,2,0,5,1,2,0,1,0,0,2,1,1,0,0,1,2,2,3,5,2,0,0,0,1,0,0,0,1,1,0,2,1,1,0,3,0,0,0,0,2,7,0,1,0,0,3,3,0,1797,1,1,"London : Printed for J. Debrett, opposite Burlington House, Piccadilly, 1797.",London,373,female,1751,1833,FALSE,"have been deceived into giving unbounded power ( 3r7) to their favourites. The French armies had ever since the summer of 1793 , been recruited by compulsory requifiltions of all the young men in France , and fed by requisitions of all the grain and cattle of the farmers. A"
1265301400_000006,"Letters containing a sketch of the politics of France, from the thirty-first of May 1793, till the twenty-eighth of July 1794, and of the scenes which have passed in the prisons of Paris. By Helen Maria Williams.",Helen Maria Williams,60,0,1,1,0,0,2,1,0,1,1,8,0,0,0,2,2,0,1,0,0,2,0,3,2,0,0,4,0,1,3,0,0,2,1,4,1,4,0,1,1,2,0,2,0,0,2,1,1,1,0,1,1,0,0,0,0,1796,1,1,"Dublin : Printed BY J. Chambers, NO. 5, Abbey-Street, 1796.",Dublin,228,female,1762,1827,TRUE,"mass of accusations, was the means by which the * "" Where then were those citizens,"" adds Bar rere, "". who were fufpeaed of being hostile to liberty ? They'affumed the dress offans culottes, they, filled the public places,, they misled thegroups of the citizens, they corrupted the public mind,"
0613500102_000143,"Biographical memoirs of the French Revolution. By John Adolphus, F.S.A. In two volumes. ...",John Adolphus,54,0,0,1,0,0,0,1,0,4,0,3,2,0,0,1,2,0,0,2,0,2,0,1,2,0,3,2,0,0,0,0,1,0,0,2,0,1,0,1,0,1,2,3,1,0,1,1,3,6,0,2,1,0,1,1,0,1799,2,2,"London : printed for T. Cadell, jun. and W. Davies, in the Strand, 1799.",London,521,male,1768,1845,FALSE,"the persecuted and the persecutor, fell. under the same punishment, and so entirely was Robespierre mailer of the public opinion, that equal applauses attended these two aas, so apprently contradictory. But it r eckker on the Revolutionl, vol. p. 4.33. 5 See Neckrr on the Revolution , vol. i. p."
0044302400_000017,"The dangers which threaten Europe; the chief causes of the ill-success of the last campaign; what errors to be avoided, and what measures to be adopted, in order to render the present one decisive in favour of the real friends of good order and peace. From the French of M. Mallet du Pan. To which is added, The aeras of events subsequent to the Revolution of France; and a proclamation issued by the generals of the army of the royalists in La Vendeé, Britanny, &c. &c.",Étienne Richard,69,0,1,0,1,0,2,0,0,1,0,7,3,0,2,7,2,0,1,1,4,3,0,0,8,1,1,2,2,0,3,2,0,0,0,6,1,1,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1795,1,1,"New-York : Printed for, and sold by, James Rivington, no. 156 Pearl-Street, --1795--",New York,85,male,1620,1669,FALSE,"requ.l'cs the liberty of' Thomas Paine, their fellow citizen. They are anfxvered, that Thomas Paine is a native of England. 26 Arrival at Biruxelles of Colonel Mack, the hero of Samars, the pupil of Lawdon; an acive, ab!', and molest officer. 27 The Convention decrees , that all the castles"
1696600500_000054,"A chronological account and brief history of the events of the French revolution, From the taking of the Bastile, in 1789, to the conquest of Holland, in 1795, including a period of nearly six years, by J. Talma, a native of Paris, and now a dentist in Chester.","Talma, Julie",90,0,0,0,1,0,3,1,0,5,1,8,0,0,3,0,0,0,4,2,1,3,0,2,1,0,0,3,1,0,0,0,4,0,0,7,6,4,0,0,1,0,0,4,0,0,4,2,1,10,0,2,1,1,2,2,0,1795,1,1,"London : Printed for the author, and sold by G. Sael, Newcastle-Street, Strand, [1795]",London,254,female,1756,1805,FALSE,"in all trying events, prevented the artillery from putting their purpose into execution . A party immediately attempted, with the assistance of a cannon, to force the posts upon the Place de Carouzel; but the officer who commanded the party was arrested, and the posts were. not forced. Twice was"
1395400300_000215,"Johnson's dictionary of the English language, in miniature. To which are added, an alphabetical account of the heathen deities; a list of the cities, boroughs, and market towns in England and Wales; a copious chronology; and a concise epitome of the most remarkable events during the French revolution. By the Rev. Joseph Hamilton, M.A.","Hamilton, Joseph, Rev.",90,0,0,0,4,0,0,0,0,0,1,10,0,1,1,7,2,0,1,7,6,3,0,1,7,0,1,1,6,0,0,5,1,0,0,4,1,1,0,0,2,0,3,0,0,0,2,1,3,1,0,0,0,0,3,0,4,1800,1,1,"London : printed by C. Whittingham, Dean Street, Fetter Lane, for Longman and Rees, Paternoster Row; J. Johnson, G.G. and J. Robinson, W.J. and J. Richardson, R. Baldwin, F. and C. Rivington, J. Mathews, J. Cuthell, J. Walker, W. Lowndes, J. Scatcherd, H.D. Symonds, G. Wilkie, J. Stockdale, W. Clarke and Son, Vernor and Hood, S. Bagster, Cadell and Davies, Wynne and Scholey, J. and A. Arch, Murray and Highley, T. Hurst, J. Harding, J. Wallis, A. and J. Black, and J. Mawman, 1800.",London,295,unknown,,,FALSE,"The King goes to the Assembly to.knowh if they desirg war, War is decrced; .....,, .Ari zq Tihe people ransack the royal apartments at the Thuilleries....................................jn 2t M. de lafayette quits his army; he reproves the National assemblies M. de lafayette returns to the army; his effigy is burned at"
1027200100_000146,"The history of Jacobinism, its crimes, cruelties and perfidies: comprising an inquiry into the manner of disseminating, under the appearance of philosophy and virtue, principles which are equally subversive of order, virtue, religion, liberty and happiness. By William Playfair, author of the commercial and political atlas, &c.",William Playfair,67,0,0,0,3,0,0,0,0,4,3,2,2,0,1,1,0,0,0,0,0,2,0,1,1,0,4,2,0,1,0,0,4,0,0,5,4,4,1,2,0,1,0,5,0,0,1,3,4,3,0,1,0,0,2,0,0,1795,1,1,"London : printed for John Stockdale, Piccadilly, 1795.",London,821,male,1759,1823,FALSE,"people deplored the fate of the people . Carrier mounted the tribune of the club and said, "" Cordeliers , you want to com'  a Journal Maratift (after the manner of ""Marat) I applaud your design, but that will "" be only a feeble defence against those who with"
1288701400_000024,"The history of Robespierre, political and personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tvranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of rmarkable characters. To which is added, a brief sketch of his person, life and manners.",,102,0,0,0,2,0,2,0,0,10,0,10,0,2,1,7,2,0,2,0,0,4,0,1,1,0,0,1,0,0,1,0,3,0,0,3,1,4,1,8,0,2,0,6,0,0,0,0,6,14,0,1,1,0,5,1,0,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,140,unknown,,,FALSE,"decreed that his speech Should be printed, sent to the armies, and municipalities, and translated into all languages. The feetions of Paris marched in a mass through the Convention , expreifing their indignation at the plots against Collot d' Herbois and Robespierre . At this moment of triumph, Rohcfpierre saw"
0645400401_000025,New picture of Paris. By M. Mercier. Translated from the French. In two volumes. ...,Louis-Sébastien Mercier,62,0,1,2,0,0,1,1,6,4,0,7,0,0,0,1,2,1,0,1,0,1,0,0,2,4,0,2,0,0,1,1,1,2,0,3,2,1,0,1,1,1,0,0,0,4,1,0,3,2,0,2,0,0,0,0,0,1800,1,2,"London : printed by C. Whittingham, for H. D. Symonds, 1800.",London,480,male,1740,1814,FALSE,"the ensign of liberty , but a very strong one to its colour, the emblem of blood . The cap was hoisted at every theatre, and covered every head in the revolutionary committees . Under the influence of this red cap , the extravagant confiitution of 1793 was composed. It"
0547500109_000046,"A summary of universal history from the creation to the present time. In letters from a father to his son. By Francis Dobbs, Esq. Member for the Borough of Charlemont, in Ireland. ...",Francis Dobbs,70,0,0,0,1,0,2,0,0,5,1,8,0,1,0,3,4,0,4,2,1,2,0,0,2,1,0,1,0,0,1,0,3,1,0,3,2,1,0,4,0,0,2,3,1,0,1,1,3,0,0,1,0,1,3,1,0,1800,9,9,"London : printed for the author [by S. Gosnell], and sold by S. Sael and Co. No. 192, Strand, 1800.",London,360,male,1750,1811,FALSE,"IX N .One wa sunk during the aion, and seven taken, one of which also sunk, and the remainder saved therfelves by flight. The most material things that arose in France , as to the Convention , and persons in power , I shall now shortly slate. As oon as"
1408602600_000006,"The History of Robespierre: Containing a most circumstantial account, collected from authentic sources, of the rise, progress, decline, and destruction of the power and popularity of that extraordinary man.",,67,0,0,0,1,0,2,1,0,1,0,5,1,1,2,2,2,1,0,0,3,1,1,1,0,0,0,2,2,3,0,0,2,2,0,5,4,4,1,2,2,0,0,1,0,0,1,1,0,4,0,0,1,2,3,0,0,1794,1,1,"London : Printed for T. Chapman, No. 151, Fleet-Street, 1794.",London,81,unknown,,,FALSE,"women had been brought to the galleries of the Na tihonal Assembly , when Robelpierre made his defence. Amrong seven or eight hundred, which the galleries contain, there were at the moss two hundred men; and all the passages were filled with women. ""( It is sometimes afkked, how it"
1696600500_000048,"A chronological account and brief history of the events of the French revolution, From the taking of the Bastile, in 1789, to the conquest of Holland, in 1795, including a period of nearly six years, by J. Talma, a native of Paris, and now a dentist in Chester.","Talma, Julie",71,0,0,0,0,0,1,0,0,0,0,6,1,1,3,3,3,0,2,0,8,6,0,2,8,0,1,1,0,1,1,0,2,0,0,4,0,1,0,0,0,0,6,0,0,0,0,1,3,1,0,0,0,1,3,1,0,1795,1,1,"London : Printed for the author, and sold by G. Sael, Newcastle-Street, Strand, [1795]",London,254,female,1756,1805,FALSE,"army of the North, Nestor, General of a brigade of the same army, and Th. Levigneui, bookseller, guillotined . £ Populus guillotined at ly6lth. 6 At Bordeaux, Bernaid, and'tboudin, Counsellors, conidemfied to death . 7 Treaty of alliance, between the Jacobins and the Cordeliers ; they protested to fight under"
0662901200_000021,"The history of Robespierre, Political and Personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention. The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tyranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of remarkable characters. To which is added, a brief sketch of his person, life and manners.",,53,0,1,0,0,0,0,0,0,2,0,2,0,0,1,2,0,0,0,2,0,3,1,2,3,1,2,1,0,0,3,1,0,0,0,2,0,2,0,0,0,3,1,2,1,2,1,0,2,5,0,1,0,0,2,1,1,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,142,unknown,,,FALSE,"clients, and the humble tenant of a garret, dared to display, in some elegant verses, the boldest sentiments of a republican. It is TRUE that Camille has constantly the guillotine before his eyes, and, because several of his friends have perished on a scaffold , he thinks the same fate"
