PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(art),termFreq(azur),termFreq(beauti),termFreq(blaze),termFreq(blue),termFreq(bright),termFreq(carbuncl),termFreq(cave),termFreq(cavern),termFreq(cloud),termFreq(colour),termFreq(columnar),termFreq(crystal),termFreq(dark),termFreq(deep),termFreq(diamond),termFreq(earth),termFreq(emerald),termFreq(fine),termFreq(finest),termFreq(form),termFreq(garnet),termFreq(gem),termFreq(glass),termFreq(gold),termFreq(golden),termFreq(great),termFreq(green),termFreq(hard),termFreq(heaven),termFreq(hue),termFreq(hyacinth),termFreq(indi),termFreq(jasper),termFreq(jewel),termFreq(light),termFreq(lustr),termFreq(mine),termFreq(mountain),termFreq(necklac),termFreq(onyx),termFreq(opal),termFreq(pebbl),termFreq(pellucid),termFreq(polish),termFreq(preciou),termFreq(purpl),termFreq(rai),termFreq(red),termFreq(rubi),termFreq(sapphir),termFreq(silver),termFreq(size),termFreq(stone),termFreq(ting),termFreq(tint),termFreq(topaz),termFreq(transpar),termFreq(valu),termFreq(variou),termFreq(view),termFreq(wear),termFreq(white),termFreq(yellow),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1135000902_000103,"The Young gentleman's & lady's magazine, or Universal repository of knowledge, instruction and amusement, ... to serve as an useful auxiliary to public and private tuition. ... Edited by Dr. Mavor.",,144,4,1,1,6,0,4,2,1,0,0,1,14,3,4,0,2,3,0,2,2,1,4,4,13,1,0,1,4,2,2,0,0,1,0,2,1,2,0,0,0,0,3,0,13,2,4,3,0,0,4,5,3,0,0,6,5,0,2,3,1,0,0,0,1,1,1799,2,2,"London [England] : printed for J. Walker, 44 Pater-Noster-Row, [1799-1800].",London,451,unknown,,,FALSE,"ism, which he named. The consul, not daring, without intrntions, to give o high a ric) wrote to Versailles for permission to close the bargain on the terms llipulated. Louis XIV gave orders to pay the money. The cfill imlnediately F- -- - ..................., _ .............. .... ...... ... ........."
0656800200_000062,"The young man's book of knowledge: being a proper supplement to The young man's companion. In six parts, ... By D. Fenning, ... The fourth edition, revised, corrected, and greatly improved. ...",Daniel Fenning,170,2,0,0,2,0,2,0,1,0,0,1,13,2,0,1,1,4,1,4,7,1,2,0,9,0,1,0,1,6,5,0,0,3,6,1,2,2,3,0,1,0,3,0,1,9,1,9,1,0,10,4,1,0,5,18,0,0,2,2,3,7,0,0,2,8,1786,1,1,"London : printed for S. Crowder, and B. C. Collins, in Salisbury, 1786.",London,410,male,1715,1767,FALSE,"pellucid Stone , of a reddish Colour , pretty hard , clear, and free from Spots, found in the East Indies and other Places. This Stone is molfly used for Seals. 8 Chalcedony, a femi pellucid Gem , variegated with different Colours , which sefemble so many white Clouds ."
1011300112_000028,"A modern system of natural history. Containing accurate descriptions, and faithful histories, of animals, vegetables, and minerals. Together with Their Properties, and various Uses in Medicine, Mechanics, Manufactures, &c. Illustrated With a great Variety of Copper-Plates, accurately drawn from Nature, and beautifully engraved. By the Rev. Samuel Ward, Vicar of Cotterstock, cum Glapthorne, Northamptonshire; and others.","Ward, Samuel",131,0,0,1,5,0,4,2,0,0,0,1,11,2,5,1,0,2,3,7,2,3,5,1,8,0,3,0,0,4,7,0,0,0,3,0,3,0,2,2,1,0,2,0,3,2,0,2,0,0,1,1,9,0,3,3,2,0,2,2,3,4,0,0,3,1,1775,12,12,"London : printed for F. Newbery, the Corner of St. Paul's Church-Yard, Ludgate-Street, [1775]-76.",London,185,male,,,FALSE,"colourless state, they so nearly imitate the diamond , that even jewellers are often deceived, as they require nothing but the hardness to re!l der them equal to that gem . They are found of various sizes , and in various llapes, from the size of a frmall pea t"
0656800800_000061,"The young man's book of knowledge: being a proper supplement to the young man's companion. In six parts, viz. Part I. Of Knowledge in general; the Advantages of gaining it early, with a Definition thereof. Of God, his Essence and Attributes. Of the Origin of Nature, and first Formation of Things. Of the Creation, Fall, and Restoration of Mankind. Part II. Theology, containing an Account of the Religion and Laws of Nature. Supernatural Theology. Observations on the Holy Scrip ures, which teach us the Knowledge of God and our Duty. Account of Judaisin, Paganism, Mahometanism, and Christianity. Of the Sect of the Jews. Different Tenets of the principal Sects or Professors of Christianity. Of the Heathen Mythology, and Alphabetical Account of the Heathen Deities. Part III. Natural Philosophy in general. Part IV. Geography, in a Manner entirely new: Containing, (by Question and Answer) I. A general Description of the four Quarters of the World. 2. The Situation, Extent, and chief Cities of the several Kingdoms and Countries of each Quarter. 3. The Nature and Description of the Globes, and Explanation of the Terms used in Geography. 4. Tables of the Latitude and Longitude of several principal Places, with many useful and necessary Problems on the Terrestrial and Celestial Globes. Part V. Geometry and Astronomy, Navigation, and Plain-Sailing; with many useful, easy, and instructive Problems for the young Practitiones in the further Knowledge of those Sciences. Part VI. Of Music and Vihration. Definition of Music, Gamut or Scale, and Explanation of dividing Notes in Time, &c. Of the Diatonic Scale, an Explanation. Different Keys, Time, Bass, &c. &c. The third edition, with additions. By D. Fenning, Author of the Royal English Dictionary, Universal Spelling-Book, Use of the Globes, &c. &c. &c.",Daniel Fenning,153,2,0,0,2,0,2,0,1,0,0,0,10,2,1,1,1,4,3,4,7,1,2,0,8,0,0,0,2,5,3,0,0,1,7,1,1,1,1,0,1,0,4,0,1,7,1,8,1,0,10,4,1,0,5,15,0,0,1,2,3,7,0,0,1,8,1774,1,1,"London : printed for S. Crowder, in Pater-Noster-Row, and B. Collins, in Salisbury, 1774.",London,397,male,1715,1767,FALSE,"irregular pebble Forms , never columnar , and seldom larger than the Size of a Nutmeg. io. Chryfophrafus, a Species of the Pratits, of a pale but pure green Colour , and is one of those mentioned in Revelations Chap. XXI Ver. 20 I. Crystal , a very fine pellucid"
0642900404_000005,"The wonders of nature and art; being an account of whatever is most curious and remarkable throughout the world; Whether relating to its Animals, Vegetables, Minerals, Volcanoes, Cataracts, Hot and Cold Springs, and Other Parts of Natural History; or, to the Buildings, Manufactures, Inventions, and Discoveries of its Inhabitants. The whole collected from the writings of the best historians, Travellers, Geographers, and Philosophers, among which are some Original Manuscripts; interspersed with pious Observations and Reflections; illustrated with Notes, and adorned with Copper-Plates. The second edition. ...",,126,0,1,0,6,0,2,4,2,0,0,0,12,1,1,0,1,2,0,7,1,3,2,3,13,0,0,0,2,4,2,0,0,3,4,2,5,0,1,1,0,0,0,1,2,0,1,1,2,0,6,9,3,0,3,2,2,0,0,0,2,3,0,0,1,3,1768,4,6,"London : printed for Newberry and Carnan, sons and successors to the late Mr. John Newberry, at the Bible and Sun, No. 65. the North Side of St. Paul's Church-Yard, MDCCLXVIII. [1768].",London,314,unknown,,,FALSE,"obtained. it's name. It is gerierally'found pure and faultless, and: is naturally'of an angular figure, smaller at one end than the other, which end tapers to a point like a pyramid, and is more finely colouied .than the lower part of the column. It is of the same degree of"
0290000100_000055,"The sequel to Mentoria; or, the young ladies instructor: in familiar conversations, on a variety of interesting subjects, in which are Introduced, Lectures on Astronomy and Natural Philosophy, Expressed in Terms suited to the Comprehension of Juvenile Readers; Being principally intended to enlarge the Ideas, and inspire just Conceptions of the Deity, from the Contemplation of the general System of the Universe. By Ann Murry.","Murry, Ann",128,3,1,1,7,0,3,0,1,0,0,1,15,3,2,0,2,1,1,0,3,0,13,1,8,1,0,1,4,3,3,0,2,1,1,1,2,1,1,0,0,0,1,0,8,1,1,4,1,0,5,3,1,0,0,3,4,0,1,1,1,2,1,0,2,1,1799,1,1,"London : printed for C. Dilly, in the Poultry, 1799.",London,342,female,,,FALSE,"possessed the art of manufacuring this into line webs offilk for garments, and the moderns are not ignorant of the means, though its rare quality prevents its common use. Lady M. How valuable such garments mulf have been. mli t. L nl. This wonldcrfil fo.lil is of so rare a"
0328800900_000135,"The young man's book of knowledge: being a proper supplement to the young man's companion. In five parts, viz. Part I. Of Knowledge in general; the Advantages of gaining it early, with a Definition thereof. Of God, his Essence and Attributes. Of the Origin of Nature, and first Formation of Things. Chronological Tables of the Knowledge of historical Events from the Saxon Heptarchy, A. D. 455, to the present Time. Part II. Geography, in a Manner entirely new: Containing, (by Question and Answer) 1. A general Description of the four Quarters of the World. 2. The Situation, Extent, and chief Cities of the several Kingdoms and Countries of each Quarter. 3. The Nature and Description of the Globes, and Explanation of the Terms used in Geography. 4. Tables of the Latitude and Longitude of several principal Places; with many useful and necessary Problems on the Terrestrial and Celestial Globes. Part III. Geometry and Astronomy, Navigation and Plain-Sailing; with many useful, easy, and instructive Problems for the young Practitioner in the further knowledge of those Sciences. Part IV. Natural Philosophy in general. Part V. Theology, containing an Account of the Religion and Laws of Nature. Supernatural Theology. Observations on the Holy Scriptures, which teach us the Knowledge of God and our Duty. Account of Judaism, Paganism, Christianity, and Mahometanism. Of the Sects of the Jews. Different Tenets of the principal Sects or Professors of Christianity. Of the Heathen Mythology, and Alphabetical Account of the Heathen Deities. Of Music and Vibration. Definition of Music. Gamut or Scale, and Explanation of dividing Notes in Time, &c. Of the Diatonic Scale, an Explanation. Different Keys, Time, Bass, &c. &c. By D. Fenning, Author of the Royal English Dictionary, Universal Spelling-Book, Use of the Globes, &c. &c. &c.",Daniel Fenning,142,2,0,0,3,0,1,0,1,0,0,1,10,2,2,0,1,8,1,1,6,1,3,1,7,1,3,0,1,7,4,0,0,0,5,0,2,2,2,1,1,0,0,0,2,7,1,5,1,0,8,2,1,0,5,12,1,0,1,3,1,4,0,0,4,4,1764,1,1,"London : printed for S. Crowder, in Pater-Noster-Row; and B. Collins, in Salisbury, M.DCC.LXIV. [1764].",London,429,male,1715,1767,FALSE,"fourteen florts, some of which are white , brown, red , green , black, blue , yellow , - veined, and variegated beyond the Power of Man to decribe i .but the Itaian Marble, called Brocatello is counted the finest , being red , variegated with white and gold Veins;"
1086800103_000210,"The British magazine and review; or, Universal miscellany of arts, sciences, literature, history, biography, entertainment, poetry, politics, manners, amusements, and intelligence foreign and domestick, ...","Wood, W.",129,0,2,1,3,0,6,0,1,0,0,0,13,3,5,0,2,3,0,0,4,1,6,3,9,1,3,1,4,2,5,0,1,1,1,0,0,2,0,0,0,0,0,0,10,1,2,3,2,0,4,3,2,4,1,3,5,0,1,0,1,3,0,0,0,1,1782,3,3,"[London [England] : printed for Harrison and Co. no. 18, Paternoster-Row ..., 1782-1783].",London,503,male,1782,1783,FALSE,"pebble form , was anciently called the Chrysolite, because of it's Golden Colour , in which it excels every other gem : it has all the different tinges from deep to pale; and is esteemed so valuable, that the Great Mogul possesses a single topaz worth twenty thousand pounds. The"
0223400102_000029,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D. D. Joint Evening Preacher at the Foundling Hospital, Author of Essays Historical and Moral, &c. In three volumes. With forty-six plates. ...",George Gregory,140,6,0,0,2,0,6,0,0,0,0,0,10,0,1,4,1,2,6,4,2,2,4,4,6,3,0,0,0,6,4,0,0,4,0,2,0,2,1,0,1,0,0,3,1,1,0,3,3,1,7,4,2,0,0,8,1,0,4,7,1,0,0,0,4,7,1796,2,3,"London : printed for J. Johnson, No 72, St. Paul's Church Yard, 1796.",London,620,male,1754,1808,FALSE,"colour , is reckoned among the gems ; but it varies more than any, both with refpec to its form and colour , some being of a deep and dark red , some yellow and purple , and some brown, black ifil, and quite opaque. The regular shape of thy"
1231301800_000017,The general contents of the British Museum: with remarks. Serving as a Directory In Viewing that Noble Cabinet.,British Museum,137,3,1,0,7,0,3,2,0,0,0,0,20,0,6,0,1,1,0,2,7,4,3,1,6,0,3,0,2,4,7,0,0,1,5,0,1,0,2,2,0,0,0,0,4,0,4,0,1,0,2,4,3,0,2,4,3,0,3,2,2,2,0,0,0,7,1762,1,1,"London : printed for R. and J. Dodsley, in Pall-Mall, MDCCLXII. [1762].",London,261,unknown,,,FALSE,"stony and mineral Qualities: It has not that fine blue Colour when first found, requiring some Art to bring it to perfe&ion, and when done it does not for any Length of Time continue, but becomes gradually green ; which is the Reason of its not being so valuable as"
