PassageID,Title,Author,Total termFreq,termFreq(appli),termFreq(art),termFreq(children),termFreq(cloth),termFreq(consumpt),termFreq(contriv),termFreq(cotton),termFreq(engin),termFreq(fabric),termFreq(hand),termFreq(improv),termFreq(invent),termFreq(iron),termFreq(labour),termFreq(machin),termFreq(machineri),termFreq(manner),termFreq(manufactur),termFreq(mechan),termFreq(method),termFreq(mill),termFreq(number),termFreq(oper),termFreq(patent),termFreq(peopl),termFreq(power),termFreq(present),termFreq(price),termFreq(proport),termFreq(quantiti),termFreq(raw),termFreq(silk),termFreq(skill),termFreq(steam),termFreq(us),termFreq(valu),termFreq(water),termFreq(wheel),termFreq(women),termFreq(wool),termFreq(woollen),termFreq(work),termFreq(workmen),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1554000235_000109,"Annals of agriculture, and other useful arts. Collected and published by Arthur Young, Esq. F.R.S. secretary to the Board of Agriculture, honorary member of the societies of Dublin, Bath, York, Salford, Oditam, South ... Kent, and Essex; the Philosophical and Literary society of Manchester; the Veternary College of London; the Economical Society of Berne; the Physical Society of Zurich; the American Society of Massachusetts; the Palatine Academy of Agriculture at Manheim; the Imperial Economical Society established at Peterburgh; the Royal and Electoral Economical Society of Celle; associate of the Society of Agriculture at Paris; and corresponding member of the Royal Academy of Agriculture at Florence; and of the Patriotic Society at Milan. Vol. XXXV.",Arthur Young,129,0,0,6,6,1,0,1,4,0,3,0,0,0,2,3,9,0,5,0,0,0,5,4,0,1,1,2,1,9,5,0,0,4,8,12,7,2,0,4,12,3,8,1,1800,35,35,"Bury St. Edmund's : Printed, for the editior, by J. Rackham, Angel Hill; and sold by Richardson, Royal Exchange, London, 1800.",,671,male,1741,1820,TRUE,machinery been introduced to a considerable degree within the last twenty years in Yorkshire? Certain ly. Can you state the proportion in the increased use of machinery in that time? I cannot tell. We have at present 2>4go spindles. I deduct one third for the difference between the individuals who
0899400201_000263,"The aberdeen magazine, literary chronicle, and review; for The Year MDCCLXXXVIII. ...",,96,2,0,2,0,1,0,10,3,0,9,1,1,0,5,6,2,0,5,1,0,7,1,0,1,2,7,3,2,1,2,3,0,0,0,0,3,7,4,1,2,0,2,0,1788,1,3,"Aberdeen : printed by J. Chalmers and Co., 1788-1790.",Aberdeen,845,unknown,,,FALSE,"possible to conceive. Above half a million pieces * of muffins of different kinds, including lhawls and handkerchiefs, are now fippofid to be made in Great Britain, and the quantity not only increases daily with the new accession of powers thac are burftling forth upon the country, but the quality"
0169000300_000013,"A view of the United States of America, in a series of papers, written At Various Times between the years 1787 and 1794; by Tench Coxe, of Philadelphia, Commissioner of the Revenue. Interspersed With Authentic Documents: The Whole Tending To Exhibit The Progress And Present State Of Civil And Religious Liberty, Population, Agriculture, Exports, Imports, Fisheries, Navigation, Ship-Building, Manufactures, And General Improvement.",Tench Coxe,70,2,0,1,2,0,1,1,1,0,2,3,2,2,2,4,1,0,3,1,0,7,0,0,0,4,0,0,0,0,0,1,1,1,1,9,0,9,0,1,1,1,4,2,1795,1,1,"[London] : Philadelphia; printed 1794: London, re-printed for J. Johnson, in St. Paul's Church-Yard, 1795.",London,526,male,1755,1824,FALSE,"of bands on any terms tbefcarcity and dearnufs of raw materials want of Jkill in the business itself, and it's unfavourable etas on the ealtb ofte pbeople. manufa&ories, which can be carried on by water mills , wind mills , fire, horses, and machines ingeniously contrived , are not burdened"
0610500800_000163,"A topographical description of Cumberland, Westmoreland, Lancashire, and a part of the West Riding of Yorkshire; Comerthending, First, A General Introductory View. Secondly, A more detailed Account of each County; its Extent, General Appearance, Mountains, Caves, Rivers, Lakes, Canals, Soils, Roads, Minerals, Buildings, Market-Towns, Commerce, Manufactures, Agriculture, Antiquities, and the Manners and Customs of its Inhabitants. Thirdly, A Tour through the most intercsting Parts of the District; describing, in a concise and perspicuous Manner, such Object, as are best worth the Attention of the curious Traveller and Tourist. Illustrated with Various Maps, Plans, Views, and other Useful Appendages. By John Housman.","Housman, John",75,0,0,1,0,0,1,9,5,0,2,5,6,1,3,6,5,0,2,0,1,2,2,0,1,2,0,0,0,0,0,3,1,0,0,3,1,5,3,1,1,0,2,1,1800,1,1,"Carlisle : printed by Francis Jollie, and sold by C. Law, Ave-Maria-Lane, and W. Clarke, New Bond-Street, London, 1800.",,564,unknown,,,FALSE,"to their utmot degree of perfection. Possessed of some chemical knowledge, he directed his inquiries to the investigation of the different known processes in dying, which led to very useful discoveries. He also procured from the Greek dyers at Smyrna the secret of dying turkey red. At length, one improvement"
0617300100_000054,"A description of the country from thirty to forty miles round Manchester; The materials arranged, and the work composed by J. Aikin, M.D. Embellished and illustrated with seventy-three plates.",John Aikin,83,0,0,3,0,1,0,11,6,0,3,2,0,7,2,4,1,0,2,0,0,3,2,1,2,1,2,1,1,1,2,2,0,0,0,5,1,5,4,3,2,0,3,0,1795,1,1,"London : printed for John Stockdale, Piccadilly, June 4. 1795. [1795].",London,723,male,1747,1822,FALSE,"has improved upon and brought the 176 the fleam engine to great perfection. Most of those that are used and set up in and about Manchelter are of their make and sitting up. They are in general of a small size, very compat, stand in a small space, work smooth"
0115100101_000138,"The American universal geography, or, A view of the present state of all the empires, kingdoms, states, and republics in the known world, and of the United States in particular. In two parts. ... The whole comprehending a complete and improved system of modern geography. Calculated for Americans. Illustrated with twenty-eight maps and charts. By Jedidiah Morse, D.D. Minister of the congregation in Charlestown. Published according to act of Congress. Part I[-II].",Jedidiah Morse,66,1,1,2,0,0,0,6,0,2,0,3,4,1,2,4,0,0,6,2,0,2,2,2,0,3,2,1,1,1,1,3,2,0,0,5,1,0,0,2,3,1,0,0,1796,1,2,"Printed at Boston : by Isaiah Thomas and Ebenezer T. Andrews. Sold at their bookstore, Faust's Statue, no. 45, Newbury Street; by said Thomas, in Worcester; by S. Campbell, in New York; by M. Carey, in Philadelphia; by Thomas, Andrews and Butler, in Baltimore; and by other booksellers in different parts of the United States, June, 1796.",Boston|New York.|Worcester.,833,male,1761,1826,FALSE,"in the whole, than are requisite in the ordinary mode, of spinning. And the operations of this mill may be continued night and day with convenience and advantage. It is easy to conceive the prodigious effect of such a machine . To this invention is to be attributed, essentially, the"
1212000500_000002,"An address to an assembly of the friends of American manufactures, convened for the purpose of establishing a society for the encouragement of manufactures and the useful arts, read in the University of Pennsylvania, on Thursday the 9th of August 1787, by Tench Coxe, Esq and published at their request.","Aitken, Robert",69,2,1,1,2,0,1,1,1,0,3,3,2,2,2,4,1,0,5,0,0,3,1,0,0,5,0,0,1,0,0,1,1,2,1,11,0,5,0,1,0,1,4,1,1787,1,1,"Philadelphia : Printed by R. Aitken & Son, at Pope's Head in Market Street, M.DCC.LXXXVII. [1787].",Philadelphia,30,male,1767,1823,FALSE,"agriculture, than from any species of cultivations whatever. The truth of this remark however, will be better determined, when the fubjca shall be further considered. LET [ 8 j LET lls endeavour first to disencumber ma nufadures of the objections, that appear against them, the principal of which are, the"
0227300700_000008,"Instructions for travellers. By Josiah Tucker, M. A. Rector of St. Stephen's in Bristol, and Chaplain to the Right Reverend the Lord Bishop of Bristol. Author of A Brief Essay on the Advantages and Disadvantages which respectively attend France and Great Britain, with regard to Trade.",Josiah Tucker,65,1,1,0,0,0,2,2,3,0,0,2,2,1,4,3,0,0,3,1,2,2,2,1,0,1,1,0,3,0,0,0,2,2,1,5,0,2,2,2,0,1,11,0,1758,1,1,"Dublin : printed for William Watson, at the Poets Heads in Capel-Street, MDCCLVIII. [1758].",Dublin,97,male,1712,1799,FALSE,"more be; neficial. Q. WHAT further Improvements in Garden. ing, Agriculture, and Husbandry, might be fug. geted? A. MANKIND in general are very slow in leaving off old Prejudices, and have a strong Aversion even against thinking, much more against publicly acknowledging, that they have ever been in the Wrong."
0659100200_000009,Instructions for travellers. 1757.,Josiah Tucker,77,1,1,0,0,1,2,2,4,0,2,1,3,0,7,12,0,0,1,2,0,5,6,1,0,3,1,0,6,0,1,0,2,0,1,4,0,3,1,0,0,2,2,0,1757,1,1,"[London?, s.n., 1757?].",London,68,male,1712,1799,FALSE,"a tolerable Security against Impositions in the Weaving of Woollens , Stuffs, Linnens, Silks , Cottons , c. 9; WHAT Machines are used to abridge the Process of a Manu faure, so that one Person can do the Work of many? And what is the Consequence of this Abridgment both"
0914800300_000053,"The american geography; or, a view of the present situation of the United States of America: containing Astronomical Geography - Geographical Definitions, Discovery, and General Description of America and the United States: - Of their Boundaries; Mountains; Lakes; Bays and Rivers; Natural History; Productions; Population; Government; Agriculture; Commerce; Manufactures; and History. - A concise Account of the War, and of the important Events which have succeeded. With a particular description of Kentucky, The Western Territory, and Vermont. - Of their Extent; Civil Divisions; Chief Towns; Climates; Soils; Trade; Character; Constitutions; Courts of Justice; Colleges; Academies; Religion; Islands; Indians; Literary and Humane Societies; Springs; Curiosities; Histories; &c. To which is added, An Abridgment of the Geography of the British, Spanish, French, and Dutch Dominions in America and the West-Indies. - Of Europe, Asia, and Africa. By Jedidiah Morse. Illustrated with Two sheet Maps - One of the Southern, the other of the Northern states. - From the latest surveys.",Jedidiah Morse,61,0,0,1,1,0,1,1,1,0,1,5,3,2,0,7,1,1,4,2,0,3,1,0,1,3,2,1,0,1,0,0,1,0,0,4,0,5,0,1,0,1,5,1,1792,1,1,"Dublin : printed for John Jones, No. 111, Grafton-Street, opposite the college, M.DC.CXCII. [1792].",Dublin,557,male,1761,1826,FALSE,"( His majesty grants to the citizens and inhabitants of the United States all the advantages which are enjoyed, or which may be hereafter enjoyed by the most favoured nations in his colonies of America: ad moreover his majesty ensures to the said citizens and inhabitants of the United States"
