PassageID,Title,Author,Total termFreq,termFreq(ag),termFreq(appear),termFreq(art),termFreq(band),termFreq(beauti),termFreq(bosom),termFreq(bright),termFreq(brocad),termFreq(buckl),termFreq(charm),termFreq(coat),termFreq(corset),termFreq(curl),termFreq(dress),termFreq(embroid),termFreq(face),termFreq(fashion),termFreq(femal),termFreq(fine),termFreq(flow),termFreq(form),termFreq(gentlemen),termFreq(glass),termFreq(glitter),termFreq(gold),termFreq(hair),termFreq(handsom),termFreq(hat),termFreq(head),termFreq(hoop),termFreq(human),termFreq(lace),termFreq(ladi),termFreq(linen),termFreq(lip),termFreq(long),termFreq(loos),termFreq(manner),termFreq(paint),termFreq(powder),termFreq(preciou),termFreq(ribbon),termFreq(ruffl),termFreq(show),termFreq(silk),termFreq(silver),termFreq(size),termFreq(sleev),termFreq(ti),termFreq(vain),termFreq(velvet),termFreq(waist),termFreq(wig),termFreq(wore),termFreq(wrought),termFreq(young),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1693400186_000389,"The European magazine, and London review; containing the literature, history, politics, arts, manners and amusements of the age. By the Philological Society of London.",Philological Society (Great Britain),79,0,0,1,0,21,1,0,1,1,3,1,0,1,4,1,1,3,1,0,1,2,0,0,1,3,2,4,1,1,1,1,3,2,0,0,2,0,0,0,1,0,1,0,2,2,0,1,1,0,0,1,1,1,0,2,0,2,1782,86,86,"London [England] : printed for John Fielding No. 23, Pater Noster Row; John Debrett, opposite Burlington House, Piccadilly; and John Sewell, No. 32, Cornhill, [1782]-1826.",London,1103,unknown,,,FALSE,"of beauty ; if these signs had expressed the supposed ill qualities, we must needs believe, from the existmg~ merciful provisions, he would have made them, of thremsekets, awvake unpleasant emotions, and the signs of the good qualities, whatever they were, give Impressions of moral beauty . In manhood, we"
1585200152_000066,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,71,1,3,0,0,2,1,0,0,1,0,3,0,2,7,2,0,2,0,1,2,0,3,0,0,4,1,0,0,3,1,0,1,3,1,0,2,0,1,0,0,0,0,2,0,0,4,1,4,1,0,0,1,4,2,1,2,2,1783,52,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1047,unknown,,,FALSE,"death was to have been divided betwixt a brother's children and mine; but the merchant became a bankrupt, and we got a mere trifle for our share, It was also during my stay at York, that I hert'd of my Imifortuuate daughter. Seven years had elapsed, andl I was reading"
0888600112_000346,The Britannic magazine; or Entertaining repository of heroic adventures. For the year ...,Champante and Whitrow,57,1,2,0,1,0,2,0,0,1,0,0,2,2,3,0,0,1,0,1,1,1,0,0,0,0,6,0,0,1,1,0,1,1,0,2,6,1,2,0,1,0,3,0,0,1,0,0,2,0,0,1,1,3,5,0,1,0,1793,12,12,"London [England] : printed for the author, and sold by Champante & Whitrow, Jewry-Street, Aldgate, & at the British Directory Office, Ave Maria Lane, St. Pauls, [1793-1807].",London,550,unknown,,,FALSE,"XVI It did not fitliicient ly dil'lay the II pe; the Sleeves were worn cxrreinelywide, and lo: northeast what !hort. the cuii' coining up tear ly to tile elbow; the waist ill lnoder. aiely long , thle ro: t cut (irait, fur iilhied uhl i buttons front top to bot"
0170400202_000081,"The american gazetteer. Containing A distinct Account of all the Parts of the New World: Their Situation, Climate, Soil, Produce, Former and Present Condition; Commodities, Manufactures, and Commerce. Together with An accurate Account of the Cities, Towns, Ports, Bays, Rivers, Lakes, Mountains, Passes, and Fortifications. The whole intended to exhibit. The Present State of Things in that Part of the Globe, and the Views and Interests of the several Powers who have Possessions in America. Illustrated with proper Maps.",,69,0,4,0,0,1,0,0,0,3,0,0,0,1,8,3,0,1,0,2,0,5,0,0,1,3,2,1,0,1,0,0,6,3,0,0,3,1,3,0,0,0,1,0,0,1,3,3,4,1,0,3,1,0,0,0,0,0,1762,2,3,"London : printed for A. Millar, and J. & R. Tonson, in the Strand, 1762.",London,354,unknown,,,FALSE,"are discovered, being embroidered with gold or silver , and sometimes, though not commonly, set with pearls. The upper petticoat, which is of velvet or some rich ituff, is fringed all round, and not less crowded with ornaments, which are always exquisitely fine . The fhift fleeves, which are a"
1691000113_000046,"The European magazine, and London review; containing the literature, history, politics, arts, manners and amusements of the age. By the Philological Society of London.",Philological Society (Great Britain),78,0,0,0,0,1,1,0,0,2,0,2,0,1,4,3,0,2,0,0,1,2,2,0,0,5,2,0,0,3,0,0,1,17,0,0,1,1,0,0,0,0,2,1,0,2,10,0,2,1,0,3,0,0,6,0,0,0,1782,13,86,"London [England] : printed for John Fielding No. 23, Pater Noster Row; John Debrett, opposite Burlington House, Piccadilly; and John Sewell, No. 32, Cornhill, [1782]-1826.",London,492,unknown,,,FALSE,"The Queen, as is usual on her ownbinth. day, was plain, and elegantly dressed , with. out ornaments; her Majesty's train wae» black and orange finall figured velvet ; the petticoat, of orange fhttin, was coirered wi h a white crape, in velvet firipes, with a broad border of rich"
1585100150_000042,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,64,0,0,0,2,1,3,0,0,1,0,1,0,1,5,5,1,4,1,1,1,2,0,0,0,4,2,0,1,0,0,0,5,1,0,0,4,0,0,0,0,0,2,0,0,3,2,0,1,3,0,5,1,0,0,0,1,0,1783,50,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1067,unknown,,,FALSE,"pace his honour and, peace of mind ""i the keeping of a woman, so cxedulous, : weak, and imprudent, dent, as Louisa 1teman. At the same time, I cannot but express my indignation;, t the uin generous advantage taken of a y'ounrg man, whoi(, wilth tll.. intentions, seeks to make"
0641000303_000057,"Þorða Anzel-cynnan: or, a compleat view of the manners, customs, arms, habits, &c. of the inhabitants of England, from the arrival of the Saxons, till the reign of Henry the Eighth; with a short account of the Britons, during the government of the Romans. In two volumes. B Joseph Strutt, ...",Joseph Strutt,72,2,0,0,0,1,0,0,0,1,0,3,0,3,3,0,1,3,0,5,0,0,2,0,0,1,11,0,0,1,0,0,0,6,1,0,3,1,1,0,0,0,1,2,0,2,0,0,4,2,0,0,1,5,4,0,2,0,1774,3,3,"London : printed for the author, by T. Jones; and sold by John Thane, 1774-76.",London,235,male,1749,1802,FALSE,"the hawks. These last were a sort of people that noblemen and principal gentlemen were never without, but kept them conftantly in pay, to attend them when. they went a sporting. In the year i667 the women wore a. sort of ga. net cal led saviarde (fee N. 17, plate"
0083200902_000022,"A voyage to South-America: describing at large the Spanish cities, towns, provinces, &c. on that extensive Continent. Interspersed throught with reflections on the genius, customs, manners, and trade of the inhabitants; together with the natural history of the country. And An Account of their Gold and Silver Mines. Undertaken by command of his Majesty the King of Spain, by Don George Juan, and Don Antonio de Ulloa, Both Captains of the Spanish Navy, Members of the Royal Societies of London and Berlin, And corresponding Members of the Royal Academy at Paris. Translated from the original Spanish. Illustrated with Copper plates. In two volumes.",Antonio de Ulloa,70,0,4,0,0,2,0,0,0,3,0,0,0,1,8,2,0,1,0,3,0,4,0,0,0,2,2,0,0,1,0,0,7,2,0,0,0,2,5,0,0,0,2,0,0,2,2,2,6,2,0,3,2,0,0,0,0,0,1758,2,2,"London : printed for L. Davis and C. Reymers, against Gray's-Inn-Gate, Holborn, MDCCLVIII. [1758].",London,455,male,1716,1795,FALSE,"loose . The difference between this dress and that worn at Quito, though consisting of the same pieces is, that at Lima it is much shorter, the petticoat which is usually tied below the waist , not reaching lower than the calf of the leg, from whence, nearly to the"
0084600106_000014,"A new collection of voyages, discoveries and travels: containing whatever is worthy of notice, in Europe, Asia, Africa and America: In Respect to The Situation and Extent of Empires, Kingdoms, and Provinces; their Climates, Soil, Produce, &c. with The Manners and Customs of the several Inhabitants; their Government, Religion, Arts, Sciences, Manufactures, and Commerce. The whole consisting of such English and foreign authors as are in most esteem; including the Discriptions and Remarks of some late celebrated Travellers, not to be found in any other Collection. Illustrated with a variety of accurate maps, plans, an elegant engravings. In seven volumes. ...",,65,0,0,0,0,3,1,0,2,1,0,1,0,0,3,3,0,1,0,3,0,0,0,0,0,9,3,0,0,4,0,0,1,5,0,0,3,1,1,0,0,2,1,0,1,2,4,0,3,3,0,1,1,0,0,1,1,0,1767,6,7,"London : printed for J. Knox, near Southampton-Street, in the Strand, MDCCLXVII. [1767].",London,581,unknown,,,FALSE,"The Black sea; and by the Greeks, the Euxine, or Axene sea, i. e. Inhofpitablc. Thel Turks are commonly well lhaped, and have nnec C ooked or crippled among them, but are genera; ly of robust and firong conltitutions. Their habit is very fit to make them feetn graceful, and"
1755000101_000140,"Sepulchral monuments in Great Britain applied to illustrate the history of families, manners, habits, and arts, ...",Richard Gough,64,0,2,0,2,0,0,0,0,0,0,2,0,0,3,3,1,2,2,0,1,2,0,0,0,0,3,0,1,3,0,0,3,6,0,0,5,0,0,0,0,1,2,4,1,1,0,0,8,3,0,0,1,0,1,1,0,0,1786,1,2,"London : printed by J. Nichols, for the author; and sold by T. Payne and Son, 1786-96.",London,580,male,1735,1809,FALSE,"piece,, the. latter. frequently paned in whole or in half, and trunk or strait; ruffs and close caps were worn by men in the i 6th and 17th century, the hair close cropped or strait; beards and whiskers. Eldred the navigator has a short cuffopen and buttoned as in modern"
