PassageID,Title,Author,Total termFreq,termFreq(barbauld),termFreq(beauti),termFreq(breast),termFreq(burn),termFreq(charm),termFreq(coleridg),termFreq(collin),termFreq(crabb),termFreq(creat),termFreq(deep),termFreq(eastern),termFreq(emot),termFreq(even),termFreq(fair),termFreq(fanci),termFreq(feel),termFreq(fire),termFreq(friend),termFreq(gaze),termFreq(geniu),termFreq(gloom),termFreq(glow),termFreq(heart),termFreq(heaven),termFreq(imagin),termFreq(joi),termFreq(jone),termFreq(love),termFreq(man),termFreq(melancholi),termFreq(mind),termFreq(mountain),termFreq(muse),termFreq(music),termFreq(natur),termFreq(night),termFreq(orient),termFreq(pain),termFreq(power),termFreq(repos),termFreq(schiller),termFreq(smith),termFreq(soft),termFreq(solemn),termFreq(song),termFreq(soul),termFreq(sound),termFreq(still),termFreq(sublim),termFreq(sweet),termFreq(thee),termFreq(thou),termFreq(thy),termFreq(view),termFreq(wild),termFreq(written),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0163900500_000006,"Poetic laurels for characters of distinguished merit; interspersed with Poems, Moral and Entertaining: dedicated to his Royal Highness George Prince of Wales, By Maria and Harriet Falconar, authors of a collection of poems, and slavery, a tract.","Falconar, Harriet",115,0,3,1,1,4,0,0,0,1,0,0,1,2,3,2,2,3,0,1,2,1,4,4,2,0,2,0,3,0,0,4,0,6,1,5,0,0,0,1,1,0,0,4,0,4,5,1,1,1,3,7,5,20,0,1,0,3,1791,1,1,"London : printed at the Logographic Press; and sold by J. Walter, No 169, Piccadilly, opposite Old Bond Street, M.DCC.XCI. [1791].",London,103,female,,,FALSE,"She shakes a drop of baneful dew, Or weeps, and fondly litens to the mournful dove. In scenes like these, so pure, so calm, Suffrring Nature's softest balm, And Fancy's gentleit nurse; Oh, Solitude! thou oft hast fmil'd, To wake the train of virtues mild, And dress the blooming infancy"
0365701601_000003,The poetry of the World. ...,,83,0,3,3,0,0,0,3,0,0,1,0,1,2,1,2,4,1,1,0,1,2,2,3,1,0,4,0,4,2,3,3,0,2,0,1,1,0,1,3,0,0,0,0,1,1,0,0,1,0,1,3,7,7,3,2,1,1,1788,1,2,"London : printed by John Bell, British Library, Strand, Bookseller to His Royal Highness the Prince of Wales, MDCCLXXXVIII. [1788].",London,169,unknown,,,FALSE,"quickening sense, the throb divine, Fancy , and Feeling , all are thine; Tis thine, by blushing Summer led, A shower of roses round thee shed, To hie thee forth at Morn's advance, In wild excess of rapturous trance; And see the Sun's proud deluge stream, In copious tides of"
0801400101_000036,"A collection of poems, in four volumes by several hands.","Pearch, G.",111,0,14,5,0,5,0,0,0,0,0,0,1,0,4,1,3,1,0,2,1,1,3,12,1,1,1,0,10,5,0,1,0,1,1,5,0,1,1,6,1,0,0,4,0,1,5,2,2,1,1,0,0,4,1,0,0,2,1775,1,4,"London : printed for G. Pearch, and sold by Joseph Johnson, St. Paul's Church-Yard, MDCCLXXV. [1775].",London,334,unknown,,,FALSE,"dreadful attribute of Power ; Disarms the wrath of ah offended God, And seals my pardon in a Saviour's blood. all powerful Grace, exert thy gentle sway, And teach my rebel passions to obey: Left lurking Folly with insidious art Regain my volatile inconstant heart . Shall every high resolve"
0559901900_000015,The florence miscellany.,,77,0,2,1,0,2,0,0,0,0,1,1,0,1,2,1,1,2,2,1,1,1,2,2,1,0,2,0,5,0,0,2,1,4,1,0,1,1,0,2,1,0,0,1,0,2,1,0,1,0,2,4,7,10,1,3,0,1,1785,1,1,"Florence : MDCCLXXXV. Printed for G. [aetano] Cam. [biagi] printer to His Royal Highness with Permission, [1785].",Florence,223,unknown,,,FALSE,"thence the youth with headlong force, (0 direful tale of woe!) Fell, like a meteor's rapid course, Upon the rock below. By mountain peasants roughly born, Laid on a simple bier, Their frigid bosoms learned to mourn, Their eyes to drop the tear. But how shall the Muse impart The"
1133700101_000069,"The lady's poetical magazine; or, beauties of British poetry. ...",,113,0,6,2,1,4,0,0,0,0,3,0,0,2,1,2,2,1,0,1,0,2,2,3,1,1,5,0,9,1,0,3,1,0,1,1,3,0,3,4,1,0,0,5,0,0,3,0,1,0,1,6,1,22,2,2,0,4,1791,1,2,"London : printed for Harrison and Co. No. 18, Paternoster-Row, 1791.",London,490,unknown,,,FALSE,"from me, Invoked, thy unpropitious deity? Or dooms, on racks of wildell Fancy torn, In dreams, my agonising soul to mourn? Why am I oft on angry billows tossed, Now in some wide and dreary desert lost? Why yet in life infernal tortures feel , Bound by fierce demons to"
1688901600_000042,"The university magazine, for ...",University of Cambridge,95,0,2,2,0,1,1,0,0,0,0,0,0,0,2,3,2,1,1,2,2,1,1,2,4,0,3,0,4,3,0,0,0,0,0,4,1,1,0,1,0,0,0,2,0,1,4,0,2,1,2,5,4,19,6,3,0,2,1795,1,1,"[Cambridge, England : s.n.], <1795>",Cambridge,136,unknown,,,FALSE,"How soon thy beauties fade! The rain which late in sunny showers, Bedewed the ground; now nature lowers, In flaky drops descend; No lovely objeas cheer the sight, But nature dreftj'd in showy white, kind Ceres fr uits befriend. Tis now that sportsmen beat the plain, nor heed or snow,"
0821600302_000056,A collection of poems in two volumes. By several hands.,"Pearch, G.",110,0,6,3,1,4,0,0,0,0,2,0,0,2,1,2,2,1,0,1,0,2,2,3,1,1,5,0,8,1,0,3,1,0,1,1,3,0,3,4,1,0,0,5,0,0,3,0,0,0,1,6,1,21,2,2,0,4,1768,2,2,"London : printed for G. Pearch, No. 12, Cheapside, MDCCLXVIII. [1768].",London,322,unknown,,,FALSE,"fancy torn, In dreams my agonising soul to mourn? Why am I oft on angry billows toil, Now in some wide and dreary desert lost? Why yet in life infernal tortures feel , Bound by fierce demons to some rapid wheel i Now ( 302) Now fecm to climb, while"
0653102000_000013,Lectures shewing the several sources of that pleasure which the human mind receives from poetry. By the Rev. James Hurdis. ...,James Hurdis,71,0,3,1,0,1,0,0,0,1,3,1,0,0,4,2,3,0,0,0,1,2,1,1,3,1,2,0,7,2,1,1,3,0,3,2,1,0,1,1,0,0,0,1,0,2,3,0,2,1,3,1,1,1,3,1,0,0,1797,1,1,"[Bishopstone, Sussex] : Printed at the author's own press at Bishopstone, in Sussex. And sold by J. Johnson, London, 1797.",Bishopstone,324,male,1763,1801,FALSE,"At the beginning of Akenfide's PLEASURES OF IMAGINATION r.: ny; atzual images are summoned together. From heaven my firains begin; from heaven descends The flame of genius to the human breast , And love , and beauty , and poetic joy And inspiration. Ere the radiant fun Sprang from the"
0903100101_000069,"The lady's poetical magazine; or, Beauties of British poetry.",Harrison and Co.,109,0,6,2,1,4,0,0,0,0,3,0,0,2,1,1,1,1,0,1,0,2,2,4,1,1,5,0,9,1,0,3,1,0,1,1,3,0,3,4,1,0,0,4,0,0,2,0,1,0,1,6,1,21,2,2,0,4,1781,1,4,"London [England] : printed for Harrison and Co. no. 18, Paternoster-Row, 1781-1782.",London,493,unknown,,,FALSE,"Now Now seem to climb, while hills on hills arise, In vain; or fall in tempefis from. the Skies: Tread burning plains, or swim in seas of fire , Julf reach the shore, then see the Shore retire! As oft, dear youth ! thy pleasing form appears; I stretch my"
0499500612_000021,Bell's classical arrangement of fugitive poetry. Vol. XII.,,72,0,1,2,0,3,0,0,0,0,1,0,0,0,2,4,0,0,4,1,0,1,2,2,1,0,2,0,0,0,4,2,1,3,2,1,1,0,0,2,1,0,0,2,2,2,3,0,0,1,1,4,1,8,2,1,0,2,1790,12,12,"London : printed by John Bell, 1790.",London,180,unknown,,,FALSE,"First shown by thee , thus glowed the gracious scene, Till Superstition, fiend of woe, Bade doubts to rise, and tears to flow, And spread deep shades our view and heaven be. tween. Drawn by her pencil the Creator stands, (His beams of mercy thrown aside) With thunder arming his"
