PassageID,Title,Author,Total termFreq,termFreq(ag),termFreq(author),termFreq(believ),termFreq(bitter),termFreq(bodi),termFreq(charact),termFreq(common),termFreq(curl),termFreq(envi),termFreq(fame),termFreq(gener),termFreq(hand),termFreq(hate),termFreq(heart),termFreq(idea),termFreq(judgement),termFreq(ladi),termFreq(libel),termFreq(liberti),termFreq(low),termFreq(malic),termFreq(manner),termFreq(merit),termFreq(opinion),termFreq(piqu),termFreq(poem),termFreq(point),termFreq(power),termFreq(print),termFreq(privat),termFreq(public),termFreq(publish),termFreq(read),termFreq(satir),termFreq(satyr),termFreq(scandal),termFreq(scribbler),termFreq(spirit),termFreq(vain),termFreq(vers),termFreq(vice),termFreq(wit),termFreq(work),termFreq(write),termFreq(wrong),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0102300202_000007,"A catalogue of the royal and noble authors of England, with lists of their works. In two volumes.",Horace Walpole,54,4,3,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,2,11,1,0,6,0,0,2,1,3,1,2,0,0,0,1,1,4,0,3,1,1759,2,2,"Dublin : printed for George Faulkner in Essex-Street, and Hulton Bradley in Dame-Street, MDCCLIX. [1759].",Dublin,147,male,1717,1797,TRUE,"event of which was, that Anglesey's first letter was voted a scandalous libel , and himself removed from the custody of the privy feal; and that the Earl of Cafflehaven's memoirs, on which he was several times examined, and which He owned, were declared a scandalous libel on the government:"
0661402102_000006,"A catalogue of the royal and noble authors of England, with lists of their works. ...",Horace Walpole,45,4,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,1,5,0,0,6,0,1,2,1,3,1,2,0,0,0,1,1,4,1,2,1,1758,2,2,"[Twickenham] : Printed at Strawberry-Hill, MDCCLVIII. [1758].",Twickenham,222,male,1717,1797,TRUE,"had t ib. p. 142 VOL. II F been been much censured for his share in the rifld rebellion and wrote these memoirs to explail his conduct rather than to exctic it, for he freely confesses his faults, and imputes them to provocations fi-om the government of that kingdom, to"
1769600102_000007,"A catalogue of the royal and noble authors of England, with lists of their works. In two volumes.",Horace Walpole,42,4,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,1,5,0,0,6,0,1,1,1,3,1,1,0,0,0,1,1,4,1,1,1,1759,2,2,"London : printed for R. and J. Dodsley in Pallmall; and J. Graham in the Strand, M DCC LIX. [1759 [i.e. 1758]].",London,258,male,1717,1797,TRUE,"Earl had been much centured for his share in the Irish rebellion, and wrote those memoirs to explain his conduat rather than to excuse it, for he freely confesses his faults, and imputes them to provocations from the government of that kingdom, to whole ralhnefs and cruelty conjointly with the"
0555905200_000001,Of dulness and scandal. Occasion'd by the character of Lord Timon. In Mr. Pope's Epistle to the Earl of Burlington. By Mr. Welsted.,Leonard Welsted,41,1,0,0,0,0,2,0,0,0,4,0,0,3,2,1,0,0,1,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,2,1,2,2,3,2,3,1,0,2,1732,1,1,"London : printed for T. Cooper, the Corner of Ivy-Lane, next Pater-Noster Row, MDCCXXXII. [1732].",London,7,male,1688,1747,FALSE,"OF DULLNESS and SCANDAL . Occafion'd by the CHARACTER OF Lord T I M 0 N. IN Mr. pope's EPISTLE TO THE Earl of BURLINGTON. l'urno flempus ader, nagno clum optaverit erptrlnl Intadtum Pallanta -- P -- -- allas te hoc ul""nere donat. VI R G. By Mr. WELSTED. The"
0369100201_000084,"Memoirs of the life and writings of Alexander Pope, Esq; faithfully collected from authentic authors, Original Manuscripts, and the Testimonies of many Persons of Credit and Honour: with Critical Observations. Adorned with the Heads of divers Illustrious Persons, treated of in these Memoirs, curiously engrav'd by the best Hands. In two volumes. By William Ayre, Esq;","Ayre, William",46,0,5,0,0,1,0,1,1,0,2,1,1,1,0,0,0,0,0,3,2,0,3,1,2,0,4,0,0,2,1,0,1,1,2,0,2,0,0,1,2,0,2,1,1,2,1745,1,2,"London : printed by his Majesty's authority, for the author, and sold by the booksellers of London and Westminster, MDCCXLV. [1745].",London,375,unknown,,,FALSE,"to make Mr. Pope appear unjust, malicious, and FALSE to his Word, for this Reason, Durgen prefaces to the Reader, as follows : ""The only Excuse made in the Preface to the "" Duciad, for the scurrilous Liberties taken by the "" Author of that invidious Poem , is, that"
0089800502_000049,"The works of Richard Savage, Esq. Son Of The Earl Rivers. With an account of the life and writings of the author, by Samuel Johnson, LL.D. A new edition. ...",Richard Savage,47,0,4,0,0,2,1,1,0,1,0,1,1,1,1,0,0,1,3,0,1,1,0,1,2,0,2,0,0,1,1,1,0,2,2,0,1,0,0,0,2,1,2,4,5,1,1777,2,2,"London : printed for T. Evans In The Strand, MDCCLXXVII. [1777].",London,276,male,1697,1743,TRUE,"joke upon the Trinity. One of my books had the honour of being presented for a libel by the grand jury, and another was made a burnt offering by the hands of the common hangman. If an author writes a piece that has success in his own character , I"
1006500500_000001,Of dulness and scandal. Occasion'd by the character of Lord Timon. In Mr. Pope's Epistle to the Earl of Burlington. By Mr. Welsted.,Leonard Welsted,40,1,0,0,0,0,2,0,0,0,4,0,0,2,2,1,0,0,1,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,2,1,2,2,3,2,3,1,0,2,1732,1,1,"London : printed [by Samuel Richardson] for T. Cooper, the Corner of Ivy-Lane, next Pater-Noster Row, MDCCXXXII. [1732].",London,7,male,1688,1747,FALSE,"wi y -,. (j.. .... ../ OF DULLNESS and SCANDAL . Occafion'd by the CHARACTER OF Lord T M 0 XN. I N Mr. popes EPISTLE TO T HE Earl of BURLINGTON. Turno Tempzpus adef, magno cum optaverit emptu Intatlm z pa1/anta Pallas tei oc [itljnere donit. Vr R G."
0845900200_000001,Of dulness and scandal. Occasion'd by the character of Lord Timon. In Mr. Pope's Epistle to the Earl of Burlington. By Mr. Welsted.,Leonard Welsted,40,1,0,0,0,0,1,0,0,0,4,0,0,3,2,1,0,0,1,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,2,1,2,2,3,2,3,1,0,2,1732,1,1,"London : printed for T. Cooper, the Corner of Ivy-Lane, next Pater-Noster Row, MDCCXXXII. [1732].",London,7,male,1688,1747,FALSE,"o P DULLNESS and SCANDAL Occafion'd by the CHAR A CT ER O F Lord T I M 0 N. I N Mr. pope's epistle T O TH E Earl of BURLINGTON. Turno le7epus adeft, magno cum optanerit emptum Intatum Pallanta -- Pallas te hoc Vulnere donit. VI R G."
0031300900_000051,"A catalogue of the royal and noble authors of England, with lists of their works.",Horace Walpole,54,4,3,1,0,0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,0,10,0,0,7,0,0,2,1,3,1,0,0,0,0,1,2,4,1,3,1,1796,1,1,"Edinburgh : printed for W. H. Lunn, Cambridge; J. Mundell & Co. Edinburgh; and for J. Mundell, College, Glasgow, 1796.",Edinburgh,352,male,1717,1797,TRUE,"February 25 "" i659."" This Lord was fon in law of the Marquis, and was then prosecuting a divorce from his wife for adultery. Wood says, that this Lord Roos (afterwards Duke of Rutland), assisted by Samuel Butler, returned a buffoon answer, to which the Marquis replied with another paper"
0259300105_000089,"The works of Alexander Pope, Esq. In nine volumes complete. With his last corrections, additions, and improvements; together with All his notes, as they were delivered to the Editor a little before his Death: printed from the octavo edition of Mr. Warburton.",Alexander Pope,45,1,9,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,5,0,0,2,1,2,4,1,0,0,1,1,1,1,0,0,1,1,2,1,1756,5,9,"London : printed for H. Lintot, A. Millar, J. and R. Tonson and S. Draper, and C. Bathurst, M.DCC.LVI. [1756].",London,372,male,1688,1744,TRUE,"by Dr. Swift, who persuaded his fiiend to proceed in it, and to him it was therefore inscribed. But the occasion of printing it was as follows: VOL.V. PART II G in the slate or literature, the public in general afford it a most quiet reception; and the larger part"
