PassageID,Title,Author,Total termFreq,termFreq(accent),termFreq(ancient),termFreq(art),termFreq(author),termFreq(beauti),termFreq(church),termFreq(composit),termFreq(forc),termFreq(form),termFreq(geniu),termFreq(god),termFreq(greek),termFreq(harmoni),termFreq(heart),termFreq(hymn),termFreq(iambic),termFreq(imag),termFreq(imagin),termFreq(imit),termFreq(italian),termFreq(kind),termFreq(languag),termFreq(littl),termFreq(lord),termFreq(lyre),termFreq(lyric),termFreq(manner),termFreq(measur),termFreq(melodi),termFreq(modern),termFreq(music),termFreq(natur),termFreq(number),termFreq(od),termFreq(open),termFreq(opera),termFreq(part),termFreq(peopl),termFreq(pleasur),termFreq(poem),termFreq(poetri),termFreq(public),termFreq(rule),termFreq(sacr),termFreq(sentiment),termFreq(short),termFreq(sing),termFreq(song),termFreq(sound),termFreq(speak),termFreq(spiritu),termFreq(stroph),termFreq(style),termFreq(sublim),termFreq(sung),termFreq(syllabl),termFreq(thought),termFreq(time),termFreq(varieti),termFreq(vers),termFreq(vocal),termFreq(voic),termFreq(word),termFreq(wrote),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0013904300_000126,A dictionary of music. Translated from the French of Mons. J. J. Rousseau. By William Waring.,Jean-Jacques Rousseau,110,2,0,4,0,0,1,0,1,2,0,0,4,3,2,0,0,0,1,2,0,1,6,4,0,1,7,2,1,2,1,9,4,1,0,0,5,5,0,2,3,5,0,2,0,1,0,3,1,5,2,0,0,1,0,1,2,1,3,0,2,0,2,3,0,1775,1,1,"London : printed for J. French, No. 47, opposite Hatton-Garden, Holborn, [1775?].",London,470,male,1712,1778,TRUE,"that Pericles ordered an odeum to be built at Athens, where they disputed for the rewards of music ; and in Pausanias, that Herod, the Athc; : : n, conftruted a magnificent odcum, as the sepulchre of his wile. The Eccifiafic writers design also some times the choir of a"
0312700200_000080,"Antiquities of Ireland, by Edward Ledwich ...",Edward Ledwich,94,2,5,4,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,2,1,4,4,1,12,4,1,0,0,0,6,5,0,2,5,2,1,0,0,0,5,3,1,0,0,1,0,0,4,0,0,1,0,1,3,4,0,0,1790,1,1,"Dublin : printed for Arthur Grueber, 1790.",Dublin,533,male,1738,1823,FALSE,"occafiollal!y used at table. l'lifilr. Antiq. ci xc. 1p. 3j-3 Io. The; 1l. alucl.ra Ccltica \vts alwva s fa.in.us for its formn and temper. Poll. Onomi. 1 1 t., .-. i 1. 1 ]. ,, .n. appi.ai, ia Celtic. 1o0 1) THE ANTIQUITIES of IRELAND. Of TIHE MUSIC OF THE"
0062600800_000018,"Appendix to Grassineau's Musical dictionary, selected from the Dictionnaire de musique of J. J. Rousseau.",Jean-Jacques Rousseau,94,1,2,4,2,2,0,0,0,1,0,2,3,0,1,1,0,0,1,5,1,0,1,1,0,3,1,0,1,3,1,6,3,0,1,0,0,0,0,2,0,1,0,0,1,1,0,15,7,3,3,0,0,0,0,4,3,0,1,0,0,0,3,2,1,1769,1,1,"London : printed for J. Robson, Bookseller, at the Feathers in New Bond Street, MDCCLXIX. [1769].",London,54,male,1712,1778,TRUE,"than the French; and the Italian mufi.ians are not sparing in applying them to it. The French, on the contrary, being obliged to compofi almor all their music by y11la bles, on account of their vowels being but little favourable, are confirained to give to their notes a slow and"
1172300300_000125,A complete dictionary of music. Consisting of a copious explanation of all words necessary to a true knowledge and understanding of music. Translated from the original French of J. J. Rousseau. By William Waring.,Jean-Jacques Rousseau,104,2,1,4,0,0,2,0,1,2,0,0,5,3,2,0,0,0,1,2,0,1,4,3,0,1,5,3,0,1,1,11,4,0,1,0,7,6,0,2,2,4,0,2,0,1,0,3,2,4,1,0,0,1,0,1,0,1,1,0,0,0,2,4,0,1779,1,1,"London : printed for J. Murray , No. 32, Fleet-Street ; and Luke White, Dublin, MDCCLXXIX. [1779].",London,471,male,1712,1778,TRUE,"of the pipe : It is in this manner that each of these halves sounds the octave of the whole. A chord of the violincello oataves by a {imilar principle, when the firoke of the bowis too rough, or too near the bridge. It is a fault in the organ"
1016800104_000004,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,99,8,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,6,2,8,0,0,0,3,1,1,3,1,5,1,0,1,4,0,1,1,1,2,2,0,2,0,0,2,2,1,5,0,0,0,0,0,1,7,0,1,1,2,2,7,7,0,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"as it separates the lips and teeth less than the letter a,. it is in less favour with fingers :. however, the English words . blow, .low, lowow, Jlow, woe, care well calculated for. musical divisions.. E, i, and u, .partake of the nature of consonants;, by putting the organs"
1196300102_000063,"The elements of universal erudition. Containing an analytical abridgment of the sciences, polite arts, and belles lettres. By Baron Bielfeld, Secretary of Lecation to the King of Prussia. Preceptor to Prince Ferdinand, and Chancellor of all the Universities in the Dominions of his Prussian Majesty, Author of the Political Institutes, &c. Translated from the last edition printed at Berlin. By W. Hooper, M.D. In three volumes. ...","Bielfeld, Jacob Friedrich, Freiherr von",90,0,1,4,0,1,3,2,0,2,0,1,0,0,1,8,0,1,2,1,2,8,1,0,0,0,2,1,0,0,0,5,1,1,1,0,0,0,0,0,3,8,0,0,4,1,2,1,2,0,1,3,0,1,0,2,0,3,1,0,5,0,1,1,2,1771,2,3,"Dublin : printed for H. Saunders, J. Potts, D. Chamberlaine, W. Sleater, J. Hoey, jun. J. Williams, R. Moncrieffe, J. Porter, and T. Walker, MDCCLXXI. [1771].",Dublin,298,male,1717,1770,FALSE,"an Italian word , .and means a piece of poetry , diversified with recitatives, airs, ariettas, duos, c. They are sometimes made for a single . voice , but more frequently, and better, for two. They are fufceptible.of a great ac *companyment; and there are .some of them that are"
1269900700_000128,The complete dictionary of music. Consisting of a copious explanation of all words necessary to a true knowledge and understanding of music. Translated from the original French of Mons. J. J. Rousseau. By William Waring.,Jean-Jacques Rousseau,98,2,1,4,0,0,0,0,1,1,0,1,4,4,1,0,0,0,2,3,0,0,6,6,0,1,6,2,1,1,1,8,3,1,0,0,3,1,1,4,2,5,0,1,0,1,0,4,0,3,1,0,0,1,0,0,2,1,0,0,2,0,0,6,0,1779,1,1,"London : printed for J. French, No. 47, opposite Hatton-Garden, Holborn; and Fielding and Walker, Pater-Noster Row, [1779].",London,474,male,1712,1778,TRUE,"belong lcis to the artit. than to the philoobpher, and which mutt be Icft for a pen formed to brighten every art , to show to tiloic who prolefs tlhem, the princilles of their rules , and to men of taft, tile sources of their pleasures . Coniining inyfclf, then,"
1016700602_000060,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,80,1,3,1,0,1,3,0,0,1,0,0,1,2,2,1,0,0,1,0,0,0,5,1,0,0,2,0,4,4,1,11,0,0,0,0,0,1,0,2,1,3,0,0,0,1,1,3,0,3,1,0,0,1,1,2,3,1,3,0,1,1,1,5,0,1776,2,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,612,male,1726,1814,TRUE,"the discovery which was afterwards made in the invention of characters for time , was much more important, as it constitutes the TRUE Era of Musical Independence; for till then, if Melody fubfiifed, it was entirely subservient to syllabic laws. Soon after this epoch Music became free and independent, perhaps"
0357500300_000233,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University, of Edinburgh.",Hugh Blair,108,1,5,6,1,0,0,1,2,3,0,0,3,1,1,0,0,0,3,1,0,1,2,0,0,2,0,1,2,3,2,12,1,4,0,0,0,1,0,0,0,11,0,0,0,0,1,1,5,3,0,0,0,1,0,2,9,0,4,0,7,0,2,2,1,1784,1,1,"Philadelphia : Printed and sold by Robert Aitken, at Pope's Head in Market Street, MDCCLXXXIV. [1784].",Philadelphia,479,male,1718,1800,TRUE,"what was real, not fabulous, in pals tranfacions. The Historian, therefore, now laid aside the bufiins of Poetry ; he wrote in Prose, and attempted to give a faithful and judicious relation of former events. The Philosopher addressed himself chiefly to the understanding. The Orator studied to persuade by reasoning,"
0014900100_000096,"The flowers of ancient history. Comprehending, on a new plan, the most remarkable and interesting events, as well as characters, of antiquity. ... By the Rev. John Adams, A.M.",John Adams,75,0,2,2,0,2,0,3,1,1,0,1,2,1,0,1,1,0,0,0,0,1,1,2,0,1,4,0,1,0,1,5,1,1,9,0,0,3,0,3,2,6,0,0,0,1,1,0,1,1,0,0,0,2,1,1,0,1,0,1,4,0,0,3,0,1796,1,1,"London : printed for G. Kearsley, 1796.",London,383,male,1750,1814,FALSE,"recommended him to Mecaenas, the general patron of learning in that age. This great courtier spoke favourably of him to Augustus, who was so taken with his merit and addre: s, that he made him his chief confident in his private pleasures and diversions, offired him honours and advantages, which"
