PassageID,Title,Author,Total termFreq,termFreq(1757),termFreq(1758),termFreq(america),termFreq(armi),termFreq(attack),termFreq(austrian),termFreq(bohemia),termFreq(britain),termFreq(british),termFreq(brunswick),termFreq(camp),termFreq(campaign),termFreq(cannon),termFreq(command),termFreq(countri),termFreq(cumberland),termFreq(daun),termFreq(dominion),termFreq(duke),termFreq(elector),termFreq(empir),termFreq(england),termFreq(english),termFreq(europ),termFreq(ferdinand),termFreq(forc),termFreq(franc),termFreq(frederick),termFreq(french),termFreq(gener),termFreq(germani),termFreq(hanov),termFreq(hungari),termFreq(imperi),termFreq(invad),termFreq(kill),termFreq(king),termFreq(lost),termFreq(majesti),termFreq(marshal),termFreq(militari),termFreq(order),termFreq(peac),termFreq(poland),termFreq(pragu),termFreq(princ),termFreq(prison),termFreq(prussia),termFreq(prussian),termFreq(queen),termFreq(repuls),termFreq(russia),termFreq(russian),termFreq(saxoni),termFreq(sieg),termFreq(silesia),termFreq(territori),termFreq(thousand),termFreq(treati),termFreq(troop),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_passages
0125800600_000105,"A new geographical and historical grammar; containing the true astronomical and geographical knowledge of the terraqueous globe: and also the modern state of the several kingdoms of the world; under these four heads: I. The Astronomy of the Solar System, and particularly of the Earth. I. [sic] Universal geography, shewing the divers circumstances relating to the earth, water, and atmosphere. III. Geographical elements, exemplified in definitions, problems, theorems, and paradoxes. IV. Particular geography, concerning the natural and political parts of Europe, Asia, Africa, and America; wherein the climate, productions, and people; the customs, policy, manufactures, and traffic; the religion, strength, history, and other particulars, of all nations, are treated of, in a manner tending to render the study of geography entertaining and instructive. Illustrated with twenty-five maps and plates elegantly executed. By Mr. Salmon. The twelfth edition, with great amendments and improvements by Mr. Robertson.",Thomas Salmon,144,1,1,0,11,4,2,3,1,2,2,2,2,2,5,4,1,3,3,1,0,2,0,0,0,2,4,1,0,14,4,1,2,4,1,3,5,3,2,2,4,0,0,2,1,2,8,2,3,4,4,1,1,3,2,0,2,2,0,1,1,1,1772,1,1,"London : printed for C. Bathurst; W. Strahan; J. and F. Rivington; W. Johnston; J. Hinton; K, Hawes, W. Clarke, and R. Collins; T. Davies; S. Crowder; T. Longman; T. Caslon; B. Law; T. Lowndes; J. and T. Pote; L. Stuart; W. Nicoll; G. Robinson; T. Cadell; and R. Baldwin, MDCCLXXII. [1772].",London,733,male,1679,1767,FALSE,"Prufians at Molwitz, on the loth of April 1741, were defeated. The Elecor of Bavaria having married one of the Archduchefes (daughter of the Emperor Joseph) set up a claim also to the hereditary dominions of the late Emperor, and, afited by the French , invaded the Queen of Hungary's"
1123200108_000008,"The beauties of nature and art displayed, in a tour through the world; containing I. A General Account of all the Countries in the World, remarkable for either Natural or Artificial Curiosities; their Situation, Boundaries, Extent and Divisions; their Rivers, Air, Soil, Chief Cities, &c. II. A particular Account of the most curious natural Productions of each Country, in the Animal, Vegetable, and Fossil Kingdoms; of remarkable Mountains, Caverns, and Volcano's; of Medicinal and other singular Springs; of Cataracts, Whirlpools, &c. III. An Historical Account of the most remarkable Earthquakes, Inundations, Fires, Epidemic Diseases, and other public Calamities, which have, at different times, visited the Inhabitants. IV. Extraordinary Instances of Longevity, Fertility, &c. among the Inhabitants; together with an Account of their most celebrated Inventions, Discoveries, &c. V. Particular Descriptions of the most remarkable Public Buildings, and other singular Productions of Art. VI. Curious Remains of Antiquity; remarkable Laws, Customs, and Traditions of the Inhabitants; together with a Summary View of the most extraordinary Revolutions among them. Illustrated and embellished with copper plates. Vol. I.",,131,1,1,0,8,5,3,4,1,0,1,2,1,2,4,5,1,2,2,7,1,1,0,0,0,3,3,1,0,7,2,4,3,4,0,0,4,9,2,1,4,1,1,2,2,2,6,2,4,0,3,1,1,2,2,0,1,0,0,0,0,2,1763,8,14,"London : printed for J. Payne, at the Feathers, in Pater-Noster-Row, M.DCC.LXIII. [1763]-64.",London,214,unknown,,,FALSE,"firian army , and the Neapolitans being forced to agree to a neutrality, the Spaniards found themselves every year under a necessity of encountering new difficulties. In the year 1742, Great Britain declared for the Queen of Hungary : the year following, the Dutch marched a body of forces to"
1743000100_000262,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. ... By William Guthrie, Esq. Illustrated with a correct set of maps, engraved by Mr. Kitchen, ... The seventh edition, improved and enlarged; the astronomical part by James Ferguson, F.R.S.",William Guthrie,136,0,0,0,7,3,4,1,1,0,0,0,1,1,1,2,0,4,2,5,1,6,0,1,0,0,1,2,0,5,4,4,1,1,3,0,1,6,0,9,1,0,0,0,4,2,1,0,4,11,5,0,2,6,5,2,4,0,0,4,2,6,1782,1,1,"London : printed for Charles Dilly; and George Robinson, 1782.",London,774,male,1708,1770,FALSE,"of supporting the imperial dignity; but though he took Prague , and subdued the grenteit part of the kingdom, he was not supported by the French ; upon which he abandoned all his conquells, and retired to Silelia. This event confirmed the obstinacy of the queen of Iungary, who came"
1258600101_000141,"A concise system of modern geography, or, a description of the terraqueous globe, Exhibiting A Distinct View of All Nations; In which is given An historic Account of their Origin, their relative Situations, their political Constitutions, their Laws, their Religions, their natural Productions, their Arts, their Manufactures, their Commerce, their Taxes, their Revenues, and their relative Strength by Sea and Land. To which is prefixed, a large introduction, including, 1. A general Exhibition of the Solar System, together with a Synoptical View of the Diameters, Mean Distances, Annual Periods, and Diurnal Rotations of the several Planets. 2. A Description of the Figure and Motion of the Terraqueous Globe, viewed as a Part of the Planetary System. 3. A Description of the Artificial Terrestrial Globe, with all its Furniture, serving to elucidate the various Phaenomena occasioned by the Earth's annual and diurnal Revolutions. 4. An Account of the grand Divisions of the Earth into Continents and Islands, Oceans and Seas. Throughout the whole is interspersed a rich apparatus of maps and synoptical schemes. ... . By J. Vint.","Vint, J. (John)",135,0,0,0,4,1,4,3,1,1,0,0,1,0,1,2,0,5,2,5,2,4,0,0,0,0,1,1,0,5,3,4,1,1,4,1,1,7,0,14,0,0,0,0,4,2,1,0,5,8,6,0,2,5,4,2,5,0,0,4,3,5,1800,1,2,"Newcastle upon Tyne : printed by K. Anderson, in the side, 1800-08.",Newcastle upon Tyne,824,unknown,,,FALSE,"by his Britannic majelty, her bet, and indeed only friend. This obstinacy gave a colour for the king of Prussia to invade Bohemia , under pretence of supporting the imperial dignity: but though he took Prague , and subdued the greatest part of the kingdom, he was not supported by"
0086700106_000031,"Beauties of nature and art displayed, in a tour through the world; ... Illustrated and embellished with copper plates.",,116,2,0,0,6,2,2,4,1,0,1,0,1,2,1,1,0,2,7,5,2,1,0,0,1,1,4,1,0,6,1,0,1,8,2,3,2,8,1,2,3,0,0,2,0,1,5,2,3,2,7,1,1,0,2,0,2,1,0,1,0,2,1774,6,13,"London : printed for G. Robinson, in Pater-Noster-row,  1774-75.",London,233,unknown,,,FALSE,"which important so tress was ceded to them by a treaty which soon followed, and by which the Danube and the Save were fettled as the boundaries of, the Aullrian and Turkilh territories in Hungary . Upon the 28th of Otober, 174o, died tse emperor Charles VI upon which his"
1123100404_000030,"The beauties of nature and art displayed, in a tour through the world; containing I. A General Account of all the Countries in the World, remarkable for either Natural or Artificial Curiosities; their Situation, Boundaries, Extent and Divisions; their Rivers, Air, Soil, Chief Cities, &c. II. A particular Account of the most curious natural Productions of each Country, in the Animal, Vegetable, and Fossil Kingdoms; of remarkable Mountains, Caverns, and Volcano's; of Medicinal and other singular Springs; of Cataracts, Whirlpools, &c. III. An Historical Account of the most remarkable Earthquakes, Inundations, Fires, Epidemic Diseases, and other public Calamities, which have, at different times, visited the Inhabitants. IV. Extraordinary Instances of Longevity, Fertility, &c. among the Inhabitants; together with an Account of their most celebrated Inventions, Discoveries, &c. V. Particular Descriptions of the most remarkable Public Buildings, and other singular Productions of Art. VI. Curious Remains of Antiquity; remarkable Laws, Customs, and Traditions of the Inhabitants; together with a Summary View of the most extraordinary Revolutions among them. Illustrated and embellished with copper plates. Vol. I.",,114,0,1,0,10,6,3,1,0,0,1,1,2,2,3,1,1,2,2,3,1,1,2,2,0,1,4,0,0,8,6,0,1,0,0,1,3,2,1,4,0,1,1,1,1,6,4,1,2,8,0,1,0,1,1,1,1,0,0,2,3,3,1763,4,14,"London : printed for J. Payne, at the Feathers, in Pater-Noster-Row, M.DCC.LXIII. [1763]-64.",London,214,unknown,,,FALSE,"Prussian dominions , they felt their cruelty and rapacity very severely. Mean time, the Duke of Cumberland returned to England , and resigned all his military employ. ments. At the latter end of the year, how. ever, this famous convention was broken by the French ; and, thereupon, the Hanoverian"
1240800600_000020,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several Kingdoms of the World Is so Interspersed As to render the Study of Geography both Entertaining and Instructive. Containing, I. A Description of the Figure and Motion of the Earth. II. Geographical Definitions and Problems, being a necessary Introduction to this Study. III. A general Division of the Globe into Land and Water. IV. The Situation and Extent of the several Countries contained in each Quarter of the World; their Cities, Chief Towns, History, Present State, respective Forms of Government, Forces, Revenues, Taxes, Revolutions and Memorable Events. Together with An Account of the Air, Soil, Produce, Traffic, Curiosities, Arms, Religion, Language, Universities, Bishopricks, Manners, Customs, Habits, and Coins, in Use in the several Kingdoms and States described. By Mr. Salmon. Illustrated With a Set of Twenty-Three New Maps of the several countries. Drawn by the Direction of Mr. Salmon, and Engraved by Mr. Jefferys, Geographer to His Majesty.",Thomas Salmon,136,2,1,0,15,6,1,0,0,0,1,2,2,2,5,2,1,2,0,1,4,4,0,0,0,4,0,2,0,10,6,2,3,1,0,0,6,9,3,0,4,1,0,1,2,0,11,3,3,3,1,1,0,1,3,0,2,0,0,1,0,2,1766,1,1,"Dublin : printed for P. Wilson, J. Exshaw, T. Dyton, H. Bradley, and M. North, M.DCC.LXVI. [1766].",Dublin,693,male,1679,1767,FALSE,"a bloody Battle ensued, in which the Aujtrians were entirely defeated. In this Battle the 4uflrians had i z, ooo Men killed and wounded, and 20, 0 taken Prisoners , betides is Pieces of Cannon , 43 Colours and Standards, and 3000 Baggage and Ammunition Wagons. The Loss of the"
0091400104_000207,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,106,2,1,0,8,3,4,1,0,1,1,2,1,0,1,3,0,2,0,1,1,1,2,1,0,2,6,0,0,3,4,0,2,0,1,1,0,11,0,0,2,0,0,0,1,3,3,0,6,6,0,0,0,5,2,3,1,1,1,1,2,3,1799,4,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,629,male,1747,1822,FALSE,"immediately ompelled all the common men of the Saxon army to enter among his own troops aid this, which was his constant practice towards a vanquished enemy, was perhaps the most f lagrant instance of contempt of the rights and feelings of mankind that tyrannic power ever exhibited. But it"
0114800500_000257,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the Names of Places alphabetically arranged. II. A table of the coins of all nations, and their Value in English Money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. Illustrated with a New and Correct Set of Maps, Engraved by Mr. Kitchin, Geographer. The fourth edition, improved and enlarged; the astronomical part by James Ferguson, F. R. S.",William Guthrie,131,0,0,0,8,3,5,0,1,1,0,0,1,1,1,1,0,4,2,3,0,6,0,1,0,0,1,2,0,3,7,4,1,0,3,0,1,5,1,9,2,0,0,1,3,1,0,1,4,8,2,0,1,9,4,3,5,0,0,3,2,7,1774,1,1,"London : printed for J. Knox, No. 148, near Somerset-House, in the Strand, MDCCLXXIV. [1774].",London,755,male,1708,1770,FALSE,"itrip him of his dominions , and to divide them among themselves. Upon this his Prussian majesty , very suddenly, drove the king of Poland out of Saxony , defeated his troops , and took possession of Dresden; which he held till a treaty was made under the mediation of"
1237100200_000074,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing I. A Description of the Figure and Motion of the Earth. II. Geographical Definitions and Problems, being a necessary Introduction to this Study. III. A general Division of the Globe into Land and Water. IV. The Situation and Extent of the several Countries contained in each Quarter of the World; their Cities, Chief Towns, History, Present State, respective Forms of Government, Forces, Revenues, Taxes, Revolutions, and memorable Events. Together With An Account of the Air, Soil, Produce, Traffic, Curiosities, Arms, Religion, Language, Universities, Bishopricks, Manners, Customs, Habits, and Coins, in Use in the several Kingdoms and States described. By Mr. Salmon. Illustrated with a set of twenty-three new maps of the several Countries, drawn by the Direction of Mr. Salmon, and engraved by Mr. Jefferys, Geographer to His Royal Highness the Prince of Wales.",Thomas Salmon,125,3,1,0,9,3,1,1,1,1,0,0,2,2,4,4,1,2,3,2,1,2,0,0,1,0,5,1,0,11,4,1,3,3,3,4,4,3,2,1,4,0,0,2,0,1,8,4,2,0,4,1,0,0,2,0,2,2,0,1,1,2,1760,1,1,"London : printed for W. Johnston in Ludgate Street ; H. Woodfall, J. Hinton, R. Baldwin, W. Strahan, J. Richardson, B. Law, and S. Crowder and Co, 1760.",London,680,male,1679,1767,FALSE,"the Powers of Europe , the King of Prussia immediately invaded Sikefia without so much as proclaiming War ; but published a Declaration, importing, that he had no ill Design againi the Court of riennaz; that he only intended to vindicate the Rights of his Family to that Duchy, founded"
