PassageID,Title,Author,Total termFreq,termFreq(accompani),termFreq(act),termFreq(agreeabl),termFreq(air),termFreq(art),termFreq(band),termFreq(choru),termFreq(compos),termFreq(composit),termFreq(concert),termFreq(concerto),termFreq(effect),termFreq(express),termFreq(fugu),termFreq(grand),termFreq(handel),termFreq(happi),termFreq(harmoni),termFreq(hear),termFreq(heard),termFreq(heaven),termFreq(holi),termFreq(imit),termFreq(impress),termFreq(instrument),termFreq(italian),termFreq(joi),termFreq(manner),termFreq(measur),termFreq(movement),termFreq(music),termFreq(opera),termFreq(overtur),termFreq(part),termFreq(passion),termFreq(perform),termFreq(pleas),termFreq(power),termFreq(prais),termFreq(recit),termFreq(represent),termFreq(sing),termFreq(solo),termFreq(song),termFreq(sound),termFreq(time),termFreq(tone),termFreq(trumpet),termFreq(violin),termFreq(vocal),termFreq(voic),termFreq(word),termFreq(written),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0730700200_000052,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,97,1,0,1,1,1,6,3,1,2,1,5,3,3,6,0,1,0,1,1,2,0,0,1,0,3,0,0,3,0,10,2,1,3,7,0,7,2,2,0,0,0,1,4,0,0,4,1,0,3,1,2,1,0,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"great band or Orchestra, had been here intended to express sublimity and dignity, it might have been used with the utmost propriety; for I can recollect no movement that is more lofty and noble than this; or in which the treble and base of the tutti, or full parts ,"
0992400100_000051,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,92,1,0,1,1,1,5,2,2,2,1,6,1,1,6,0,1,0,1,1,3,0,0,1,0,3,0,0,3,0,7,2,1,3,7,0,9,3,2,0,0,0,1,4,0,0,3,1,0,2,1,2,1,0,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"in scale, by thirds with the bale, the second violin renders them interesting by the poignancy of flharp fifths, mounting up to sixths, used as appoggiaturas, or notes of taste, In the adagio, while the two trebles are singing in And did al, what now we moans Old men so"
0730700200_000039,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,99,2,0,0,5,1,3,3,6,3,0,4,1,2,4,2,5,0,1,0,0,3,0,1,0,4,0,2,2,0,2,4,2,2,9,0,8,1,3,0,0,0,0,3,5,0,0,1,0,1,1,1,2,0,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"the royal box was decorated with crimson curtains and valances, fringed and laced with gold. The great dome of the Pantheon was illuminated with additional lamps, innu 46 innumerable; and, as this was the first performance here, that was honoured by the presence of their Majesties, not only the decorations,"
0992400100_000034,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,82,3,0,0,0,1,2,2,4,1,0,0,1,0,4,1,4,2,3,0,3,0,0,1,0,5,1,0,0,1,8,2,1,4,7,0,2,1,2,1,0,0,1,3,0,0,1,1,3,2,1,2,1,0,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"a itrain that is remarkably pleating, and which, in spite of forty years, still retains all the bloom and freshness of novelty: and "" We therefore pray thee help thy servants, whom "" thou hast redeemed with thy precious blood,"" is admirable, in fugue , modulation, and counterpoint, a Capella;"
0730700200_000035,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,85,2,0,0,0,1,2,1,4,1,0,0,1,3,4,2,6,2,2,0,3,0,0,1,0,2,1,0,0,2,10,1,1,4,6,0,2,2,3,1,0,0,0,3,0,0,1,1,3,2,1,2,2,0,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"powerful artillery. There is some reason to fufpe&t that HANDEL , in setting his grand Te Drum for the peace of Utrecht, as well as this, confined the meaning of the word cry to a sorrowful sense: as both the movements to the words -- ""To thee all angels cry"
1016800104_000038,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,90,4,0,0,6,0,0,5,4,4,0,4,0,1,5,0,2,0,2,0,2,0,0,2,1,1,0,0,0,0,4,5,2,1,9,0,1,1,1,0,4,0,1,0,3,0,4,0,0,4,1,4,0,2,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"had them married in her palace. After which ceremony, Stradella having an invitation to Genoa to compote an opera for that city, went thither with his wife, determining to return to Turin after the Carnival; but the Venetian being informed of this motion, sent assassins after them, who watching for"
0992400100_000038,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,92,0,0,0,8,1,2,5,6,2,0,2,0,3,2,1,3,0,0,1,0,3,0,2,0,4,0,1,1,0,3,5,1,1,6,0,4,4,2,0,0,0,3,2,4,1,0,3,0,1,0,2,3,0,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"and masterly manner , of any instrumental fugue that has ever been corn posed. The Minuet and Gavot have considerable merit, of a lighter kind, and long delighted the frequenters of our theatres and public places (a). The set of pieces, of which this is one, though called Hautbois Concertos"
1736000200_000020,"An essay on musical expression. By Charles Avison, organist in Newcastle. The second edition, with alterations and large additions. To which is added, a letter to the author, concerning the music of the ancients, and some passages in classic writers, relating to that subject. Likewise, Mr Avison's reply to the author of remarks on the essay on musical expression. In a letter from Mr. Avison, to his friend in London.",Charles Avison,94,1,0,2,2,0,0,3,5,6,4,4,3,11,0,2,0,0,4,0,2,0,0,1,0,9,0,0,1,0,7,2,1,0,2,0,5,1,2,0,0,0,0,2,0,1,0,3,1,3,1,3,0,0,1753,1,1,"London : Printed for C. Davis, opposite Gray's-Inn-Gate, in Holborn, MDCCLIII. [1753].",London,269,male,1709,1770,FALSE,"be. used in all Movements whatever under this Denomination; especially those Movements which tend to the Gay and Cheerful. I N Compositions for the German Flute, is required the same Method of proceeding .ing by conjoint Degrees, or such other natural Intervals, as, with the Nature of its Tone ,"
1775600200_000015,"An essay on musical expression. By Charles Avison, ...",Charles Avison,92,1,0,2,2,0,0,3,5,5,4,4,4,10,0,2,0,0,5,0,2,0,0,1,0,10,0,0,1,0,7,4,1,0,2,0,3,0,0,0,0,0,1,2,0,1,0,2,0,3,2,3,0,0,1752,1,1,"London : printed for C. Davis, 1752.",London,145,male,1709,1770,FALSE,"In Truth, there is nothing enlarges the Mind to every social and laudable Purpose, so much as this delightful Intercourse with Harmony . They who feel not this divine Effect , are Strangers to its noblest Influence : For whatever Pretensions they ntay otherwise have to a Relifl or Knowledge"
1016800104_000078,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,93,9,1,3,15,0,0,1,2,3,0,3,2,0,1,1,4,0,1,2,1,0,0,1,0,0,2,0,0,0,4,0,7,2,5,1,3,1,1,0,0,0,1,1,3,0,3,0,1,2,0,4,2,0,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"ll: iyin weic the chief poets Italian opera which the English had yet lor that theatre till illic arrival of Rolli. fccn, thoughlextremely rough for in Italian . a'on Hill tr.nllatcd this opera hliiclf alnd lyric poem, in the original. the 2.22 the 24th of February. It continued in run"
