PassageID,Title,Author,Total termFreq,termFreq(adventur),termFreq(ag),termFreq(apper),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(ill),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0357500300_000229,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University, of Edinburgh.",Hugh Blair,80,3,2,0,2,2,4,1,0,1,1,1,2,2,0,1,0,1,3,0,1,1,0,1,0,1,3,0,0,0,1,1,0,3,7,5,2,0,1,0,4,0,1,1,0,0,5,0,1,1,0,1,1,0,1,0,0,2,7,2,0,1784,1,1,"Philadelphia : Printed and sold by Robert Aitken, at Pope's Head in Market Street, MDCCLXXXIV. [1784].",Philadelphia,479,male,1718,1800,TRUE,"the archbishop of Rheims, written in the I tth century. The subjea is, the Achievements of Charlemagne and his peers) or Paladins, in driving the Saracens out of France and part of Spain; the same subject which Ariosto has taken for his celebrated poem of Orlando Furioso, which is truly"
0733301000_000006,"A plan for the conduct of female education, in boarding schools. By Erasmus Darwin, M. D. F. R. S. Author of Zoonomia, and of the Botanic Garden.",Erasmus Darwin,82,0,0,0,2,5,0,2,4,0,1,3,1,0,0,0,0,0,1,1,3,0,2,2,4,0,3,1,1,0,1,2,1,1,2,6,0,4,1,1,2,1,1,0,4,2,1,1,2,1,0,0,2,0,0,0,0,5,1,1,3,1797,1,1,"Derby : printed by J. Drewry; for J. Johnson, St. Paul's Church-Yard, London, 1797.",Derby,128,male,1731,1802,TRUE,"early, they may give a dictate to more useful knowledge ; which are good reasons for the total prohibition of them in schools: And in private education , least a preference of ficion to truth should be thus instilled, the ridiculous pafiages, with which even the best novels abound, should"
1128700103_000025,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,82,3,2,0,3,2,1,1,0,1,1,1,3,2,0,2,0,2,3,0,2,1,0,1,0,1,3,0,0,0,0,1,0,3,7,6,3,0,1,0,6,0,2,1,0,0,3,0,1,2,0,0,0,0,1,0,0,3,5,2,0,1783,3,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,426,male,1718,1800,TRUE,"to give a new turn to fictitious Composition. THEN appeared the Afiraa of D'urfc, the Grand Cyrus, the Clelia and Cleopatra of Mad. Scuderi, the Arcadia of Sir Philip Sidney, and other, grave and stately Compositions in the same style. These may be considered as forming the second stage of"
0225900603_000025,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,80,2,0,0,3,1,3,1,0,1,1,1,3,2,0,2,0,2,3,0,5,2,0,1,0,3,2,0,0,0,1,3,0,1,6,3,3,0,1,0,8,0,3,1,0,0,0,0,1,2,0,0,0,1,1,0,0,2,3,2,0,1788,3,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,408,male,1718,1800,TRUE,"professed to be given of the behaviour of persons in particular interesting situations, such as may actually occur in life ; by means of which, what is laudable or defective in character and in conduct, may be pointed out, and placed in a useful light. Upon this plan, the French"
1445201000_000006,"A plan for the conduct of female education, in boarding schools, private families, and public seminaries. By Erasmus Darwin, M.D. F.R.S. author of Zoonomia, and of The botanic garden. To which are added, Rudiments of taste, in a series of letters from a mother to her daughters. Embellished with an elegant frontispiece.",Erasmus Darwin,92,0,0,0,1,7,0,2,2,0,1,2,2,0,0,0,0,0,1,2,3,0,3,2,3,0,4,1,1,1,2,3,0,1,2,13,0,4,1,0,2,1,1,0,6,2,2,0,2,1,0,0,1,0,0,0,0,5,0,0,5,1798,1,1,"Philadelphia: : Printed by John Ormrod, no. 41, Chesnut-Street, 1798.",Philadelphia,303,female,1731,1802,TRUE,"readers. There are many, who condemn the use of novels altcgether; but what are epic poems but novels in verse It is difficult to draw the line of limit between novels , and other works of imagination ; unless the word novel be confined to mean only the romances of"
1282300102_000079,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University of Edinburgh. In two volumes. ...",Mathew Carey,74,3,1,0,2,2,3,1,0,1,1,1,1,2,0,1,0,0,3,0,1,0,0,1,0,1,3,0,0,0,2,1,0,2,7,6,3,0,1,0,3,0,1,1,0,0,5,0,1,1,0,1,0,0,1,0,0,2,7,1,0,1793,2,2,"Philadelphia : From the press of Mathew Carey, March 19 --M.DCC.XCIII. [1793].",Philadelphia,464,male,1760,1839,FALSE,"driving the Saracens out of France and ""part of Spain; "" the same subjet which Ariosto has taken for his celebrated poem of Orlando Furioso, which is truly a chivalry romance , as extravagant as any of the rest, but partly heroic, and partly comic, embellished with the highest graces"
0382100203_000019,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,77,3,2,0,2,2,5,0,0,0,1,1,1,2,0,1,0,1,3,0,1,1,0,1,0,4,2,0,0,0,2,0,0,4,4,5,2,0,1,0,2,0,0,1,0,0,9,0,1,0,0,2,1,0,1,0,0,2,5,2,0,1785,3,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,413,male,1718,1800,TRUE,"manners . THESE were the fires Compositions that received the name of Romances . The origin of this name is traced, by Mr. Huet the learned bishop of Avranche, to the Provencal Troubadoures, a sort of story tellers and bards in the county of Provence, where there sub sifted some"
1692500159_000217,"The European magazine, and London review; containing the literature, history, politics, arts, manners and amusements of the age. By the Philological Society of London.",Philological Society (Great Britain),66,2,3,0,3,0,2,0,0,1,0,0,2,3,0,1,1,1,0,0,1,0,1,0,1,1,3,0,1,0,2,0,2,3,2,6,1,0,0,1,1,0,1,1,0,1,2,0,0,2,1,3,1,2,0,0,0,4,0,3,0,1782,59,86,"London [England] : printed for John Fielding No. 23, Pater Noster Row; John Debrett, opposite Burlington House, Piccadilly; and John Sewell, No. 32, Cornhill, [1782]-1826.",London,515,unknown,,,FALSE,"other, have made a part of the polite hiera ture of every age and nation. These have been grafted upon the actions of their heroes ; they have been interwoven with their mythology; they have been moulded upon the manners of the age ; and, in return, have influenced the"
0451900502_000031,"Essays moral and literary. By the Reverend Mr. Knox, Fellow of St. John's College, Oxford, and Master of Tunbridge School. The Second Edition, Corrected and Enlarged.",Vicesimus Knox,80,0,2,0,0,5,0,0,0,5,0,0,0,3,0,2,0,1,1,0,0,0,1,3,0,2,1,1,1,0,0,1,2,2,2,4,1,0,0,4,2,1,0,2,8,0,2,1,3,2,0,0,4,0,0,0,3,3,3,1,1,1779,2,2,"London : printed for Edward and Charles Dilly, in the Poultry, MDCCLXXIX. [1779].",London,407,male,1752,1821,TRUE,"taste . He recolleats all his reading , he reviews all he has seen and heard, he searches books on similar topics, and at once improves what he has obtained, and makes new acquisitions. He who has been conversant in great schools will have seen copies of verses written as"
0417500103_000019,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,72,2,2,0,1,2,3,0,0,0,1,1,1,2,0,1,0,1,3,0,1,1,0,0,0,4,2,0,0,0,2,0,0,3,4,5,2,0,1,0,2,0,0,0,0,0,9,0,1,1,0,3,1,0,1,0,0,2,5,2,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,TRUE,"knights were patterns, not of courage merely, but of religion, generosity, courtesy, and fidelity; and the heroines were no less distinguished for modesty, delicacy, and the utmost dignity of manners . - THESE were the first Compositions that received the name of Romances . The origin of this name is"
