PassageID,Title,Author,Total termFreq,termFreq(),termFreq(author),termFreq(axiom),termFreq(book),termFreq(breviti),termFreq(celebr),termFreq(comprehens),termFreq(contain),termFreq(contract),termFreq(curios),termFreq(digest),termFreq(discern),termFreq(discov),termFreq(discoveri),termFreq(doctrin),termFreq(establish),termFreq(fact),termFreq(fame),termFreq(few),termFreq(foundat),termFreq(gener),termFreq(geniu),termFreq(grandeur),termFreq(human),termFreq(idea),termFreq(infinit),termFreq(intellig),termFreq(judgment),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(learn),termFreq(littl),termFreq(magnific),termFreq(mankind),termFreq(maxim),termFreq(multitud),termFreq(natur),termFreq(notion),termFreq(number),termFreq(opinion),termFreq(order),termFreq(perceiv),termFreq(philosophi),termFreq(precept),termFreq(principl),termFreq(read),termFreq(reason),termFreq(receiv),termFreq(reduc),termFreq(refin),termFreq(sentenc),termFreq(set),termFreq(short),termFreq(simpl),termFreq(small),termFreq(specul),termFreq(studi),termFreq(subject),termFreq(sublim),termFreq(suprem),termFreq(system),termFreq(tenet),termFreq(theorem),termFreq(truth),termFreq(univers),termFreq(varieti),termFreq(variou),termFreq(view),termFreq(volum),termFreq(wonder),termFreq(word),termFreq(work),termFreq(world),termFreq(writer),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1204800101_000003,"The history of England, from the accession of James I. to that of the Brunswick line. ... By Catherine Macaulay.",Catharine Macaulay,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,2,0,1,0,1,0,0,0,3,1,0,2,0,1,1,0,2,0,0,2,0,0,0,1,4,0,2,0,0,0,0,1,0,0,0,1,2,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,1764,1,5,"[Dublin] : London: printed for Edward and Charles Dilly; and Dublin reprinted, for A. Leathly, and J. Exshaw, 1770.",Dublin,434,female,1731,1791,TRUE,"accident flings in their way. Theli ficholars, in the pursuit of science, lose the dillintions of common-sense, and are as obftinate!y fixed in the prejudices of the authors with whomn they have converted, as if there prejudices were the produce of their own imaginations. Hence proceed thofit opposite opinions among"
0191300102_000011,"Letters from the Duchess de Crui and others, on subjects moral and entertaining, wherein the character of the female sex, with their rank, importance, and consequence, is stated, and their relative duties in life are enforced. By a lady. ...",Mary Walker,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,1,0,1,1,0,0,0,1,2,1,0,1,0,2,1,0,6,0,0,4,1,0,3,0,1,1,5,2,2,1,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,2,1,1,0,1776,2,5,"London : printed for Robson, New Bond-Street; Walter, Charing-Cross; and Robinson, Pater-Noster Row, MDCCLXXVI. [1776].",London,243,female,1736,,FALSE,"with his views greatly enlarged, not of exterior nature only, and the works of art, but of human life and manners; the connecions and religious establishments , the constitution and and policy of the several states and kingdoms of Europe. He was handsome in his peffon, agreeable in his manner,"
0013000103_000019,Memoirs of modern philosophers. In three volumes. ...,Elizabeth Hamilton,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,2,1,1,1,0,2,0,4,0,0,0,1,0,1,6,0,0,0,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,3,0,0,2,2,0,0,3,1,0,0,1,5,0,1800,3,3,"Bath : printed by R. Cruttwell, for G. G. and J. Robinson, Pater-Noster-Row, London, 1800.",Bath,367,female,1758,1816,FALSE,"pleasure your tltters have afforded to those most dearly interested in your happiness. Though far from considering [ 113 ] fidering fortune as the "" one thing needful,"" the exclusive object of pursuit, I cannot but with thankfulness contemplate your opening prdfpets of honourable independence. May the Giver of all"
0954500400_000006,"The progress of a female mind, in some interesting enquiries. Containing, I. A Soliloquy. II. A Letter to a Jew, on the Evidences of Revelation. III. A Letter to a Christian Divine on the Gospel System; with some References to a late Free Enquirer. IV. A Remark on the Importance of the Hebrew Language. By a lady.",Lady,61,0,2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,1,0,3,0,1,0,3,0,0,3,0,1,3,0,0,0,2,1,1,5,1,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,4,2,1,1,1,0,0,0,0,4,2,1764,1,1,"London : printed for A. and C. Corbett, opposite St. Dunstan's Church, Fleet-Street, MDCCLXIV. [1764].",London,94,female,,,FALSE,"contains on revelation in general ; but the former part of it, as it expresses little more than the writer's thift for information, and deep sense of her own ignorance, is omitted to keep the wqrk within proper limits. The letter was addressed to a gentleman who does not reside"
0343200102_000018,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,51,0,2,0,2,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,2,1,0,0,2,0,1,1,0,0,0,1,0,0,0,4,1,0,2,0,0,1,3,2,2,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,3,0,0,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,TRUE,"conformably "" to the ancient laws framed againf them: C which is true; for, in the year io "" before the vulgar ara, they were bac nifhed from Rome by a decree of "" the senate; and the prator, M. Pom"" "" was charged to see that none  of"
0290000100_000001,"The sequel to Mentoria; or, the young ladies instructor: in familiar conversations, on a variety of interesting subjects, in which are Introduced, Lectures on Astronomy and Natural Philosophy, Expressed in Terms suited to the Comprehension of Juvenile Readers; Being principally intended to enlarge the Ideas, and inspire just Conceptions of the Deity, from the Contemplation of the general System of the Universe. By Ann Murry.","Murry, Ann",50,0,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,1,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,3,0,0,2,3,2,2,1,0,1,0,2,0,0,1799,1,1,"London : printed for C. Dilly, in the Poultry, 1799.",London,342,female,,,FALSE,"j~~~~""""i'1i1 illlii)l r: -: III) C - A ( - I IT E \ I - - -- H -- C (0~ ~ ~~~~~~1 I -- 0 THE SEQUEL T ME NT OR I A; O R, The Young Ladies Inflrutoor: IN FAMILIAR CONVERSATIONS, ON A Variety of Interesting subjeets,"
0343200201_000032,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,45,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,3,1,1,3,0,0,0,1,1,1,0,1,1,1,4,1,1,1,2,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1787,1,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,160,female,1746,1830,TRUE,"been accomplished, would have destroyed ail tlheir docrine, and which could not be accomplished but by their being constantly peifecuted, injured, and at length led to torments and an ignominious death'? They persevered in their belief, although it actually drew upon them the most horrid persecutions; and to support and"
0271300600_000004,"A packet for youth, or evidences of Christianity drawn from the mind. By a lady.","M. P., Lady",53,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,4,3,3,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,0,1,0,5,0,5,1,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,1,2,0,1799,1,1,"Hanley : printed and sold by Mort; also by Knott, Lombard Street, Chapman, Fleet Street, Heptinstall, Holborn, London, ---- Chester, Newcastle, ---- Jones, Birmingham, ---- Pritchard, Derby, ---- Smith, Sheffield, Boden, Manchester ; and may be had of all Booksellers, [1799].",Hanley,122,female,,,FALSE,"admit the grossest absurdities, which art or ambition has imposed under colour of divine sanction. This very credulity, which has everywhere characterised our species, ( 12) species, is to me at least, a tacit proof that the presentiments of man universally concur in the reasonableness and probability of a divine"
0271300600_000011,"A packet for youth, or evidences of Christianity drawn from the mind. By a lady.","M. P., Lady",51,0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,6,0,3,0,0,0,0,3,1,0,0,0,0,0,7,0,1,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,0,1,2,0,0,1,0,0,0,0,2,0,1799,1,1,"Hanley : printed and sold by Mort; also by Knott, Lombard Street, Chapman, Fleet Street, Heptinstall, Holborn, London, ---- Chester, Newcastle, ---- Jones, Birmingham, ---- Pritchard, Derby, ---- Smith, Sheffield, Boden, Manchester ; and may be had of all Booksellers, [1799].",Hanley,122,female,,,FALSE,"ceases to be an evil, and becomes good; a privilege to the believer! Hence I learn , that redemption by Jesus Christ, was no accidental remedy applied to an unforeseen contingence. No, the redeemer of men, was in the eye of God when he laid the foundations of the world"
0144100201_000003,The history of England from the accession of Iames I to the elevation of the House of Hanover. By Catharine Macaulay. Edit. III. ...,Catharine Macaulay,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,1,0,0,0,3,1,0,2,0,1,1,0,1,0,0,2,0,0,0,1,4,0,2,0,0,0,0,1,0,0,0,1,2,3,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1769,1,5,"London : printed for Edward and Charles Dilly in the Poultry, MDCCLXIX. [1769]-72.",London,446,female,1731,1791,TRUE,"obstinately fixed in the prejudices of the authors with whom they they have converted, as if these prejudices were the produce of their own imaginations. Hence proceed those opposite opinions among the speculative part of mankind , in regard to popular and monarchical privileges. All men can acquire the jargon"
