PassageID,Title,Author,Total termFreq,termFreq(),termFreq(adventur),termFreq(ag),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(ill),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0325100200_000036,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,75,0,2,3,0,4,1,0,1,2,1,0,0,0,1,2,0,2,3,0,2,1,1,1,0,1,4,0,0,1,1,4,0,4,4,1,2,0,0,2,0,0,0,0,6,0,1,0,2,2,1,0,3,1,1,0,0,3,1,0,3,1793,1,1,"Edinburgh : printed for Silvester Doig, Royal-Echange, MDCCXCIII. [1793] [1794?].",Edinburgh,215,female,1727,1801,TRUE,"perfecdion is aimed at; but it can only he found in those of the Creator. The conten'plation of perfeion must produce ii!: t, and every natural object around you you would offer this delight, if it could attrat your attention: if you survey the earth, every leaf that trembles in"
0437400300_000001,The champion of virtue. A Gothic story. By the editor of The Phoenix. A translation of Barclay's Argenis.,Clara Reeve,65,0,1,1,1,6,1,2,0,1,0,1,0,1,0,2,0,1,2,1,1,1,1,0,0,1,1,0,0,2,1,1,4,1,2,3,0,0,0,0,1,2,0,0,5,1,5,0,0,0,0,2,1,0,0,0,1,6,0,1,0,1795,1,1,"London : printed for A. Cleugh, Ratcliff-Highway, and W. Phorson, Berwick, 1795.",London,195,female,1729,1807,TRUE,"THE CHAMPION OF VIRTUE .. ........ .... ... ... A GOTHIC STORY . BY THE EDITOR OF THE PHOENIX; A TRANSLATION OF BARCLAY's A4RGEN[S. F ita voluptatis cauli lint proxima veris. HORAE. -. XE IT' ED TION. LONDON: PRINTED FOR A. CLEUGH, RATCLIFF high WAY, AND W. PHORSON, BERWICK. 1795"
0866500300_000030,"Miscellaneous pieces, in prose, by J. and A. L. Aikin.",Anna Laetitia Barbauld,73,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,0,2,2,5,1,2,0,5,7,1,2,2,2,0,0,1,3,0,0,0,0,1,3,4,1,4,1,1,1,1,2,2,0,1,1,2,2,1,1775,1,1,"London : printed for J. Johnson, in St. Paul's Church-Yard, MDCCLXXV. [1775].",London,221,female,1743,1825,TRUE,"manner momentary, and no art can carry them beyond a certain point, either in intenseness or duration. Constant suffering deadens the heart to tender imprelfions; as we may observe in sailors, and others who are grown callous by a life of continual hardships. It is therefore highly necessary in a"
0129100103_000036,"Poems and plays. By Mrs. West, Author of ``a Tale of the Times,'' ``a Gossip's Story,'' &c. &c. ...",Jane West,60,0,1,3,2,0,2,1,2,2,0,0,1,1,0,0,0,1,2,0,0,2,0,2,1,0,1,0,0,1,2,1,1,1,1,7,0,0,1,0,0,0,0,3,0,1,0,1,0,2,0,3,0,1,0,0,1,5,0,2,2,1799,3,4,"London : printed by C. Whittingham; for T. N. Longman and O. Rees, Paternoster-Row, 1799.",London,268,female,1758,1852,FALSE,"to a Son entering into life ; in an improved and enlarged form, they are now offered to the public . We consider them as truly valuable, and would strongly recommend them to the attention of our younger friends. They are adapted to any period between the age of fifteen"
1269100800_000037,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,75,0,2,3,0,4,0,0,1,2,1,0,0,0,1,3,0,1,3,0,2,1,1,1,0,1,3,0,0,1,1,5,0,5,4,1,2,0,0,2,0,0,0,0,6,0,1,0,2,2,1,0,1,1,1,0,0,5,1,0,3,1786,1,1,"London : printed for J. Walter , Charing-Cross ; and C. Dilly, in the Poultry, M.DCC.LXXXVI. [1786].",London,255,female,1727,1801,TRUE,"all the stupendous works of the Almighty Hand that lie within the reach of our observation. In the works Of man perfetion is aimed at, but, it can n4 only only be found in those of the Creator. The contemplation of perfection must produce delight, and every natural object around"
0670002100_000036,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,77,0,2,1,0,4,0,0,1,2,1,0,0,0,2,3,0,3,2,0,2,1,1,2,0,1,3,0,0,1,1,5,0,5,3,1,2,0,0,2,0,0,0,0,9,0,1,0,2,2,0,0,2,1,1,0,0,4,1,0,3,1787,1,1,"London : printed for J. Walter, Charing-Cross ; and C. Dilly, in the Poultry, M.DCC.LXXXVII. [1787].",London,244,female,1727,1801,TRUE,"are are not known to have existence: it sees all nature teem with life ; every fluid each part of every vegetable and animal - swarm with its peculiar inhabitants invifible to the naked. eye, but as perfect in all their parts, and enjoying life as indisputably, as the elephant"
0017500300_000001,The champion of virtue. A Gothic story. By the editor of The Phonix. A translation of Barclay's Argenis.,Clara Reeve,64,0,1,1,2,5,0,2,0,1,0,1,0,1,0,2,0,1,2,0,1,1,1,0,0,1,1,0,0,2,3,1,4,1,2,3,0,1,0,0,1,2,0,0,5,1,5,0,0,0,0,2,0,0,0,0,1,5,0,1,0,1777,1,1,"Colchester : printed for the author, by W. Kfymer [sic], and sold by him; sold also by G. Robinson, London, 1777.",Colchester,200,female,1729,1807,TRUE,"s: ~~ ?2~, ~~: : i i.;.; ~; 1 , ~ __ flu', dm .d, W' ____ 1 ij1 yo m n'zs m tena: e sar TH £ C AM P ION o E V I R T U E. [PRICE thrae SHILLINGS.J r TH B CHAMPION OF VIRTUE ."
0744801800_000001,The old English baron: a Gothic story. By Clara Reeve.,Clara Reeve,64,0,0,0,0,3,1,3,0,2,0,0,0,0,1,2,0,1,2,0,1,1,2,0,0,0,2,0,0,2,4,1,2,1,2,2,0,1,0,0,1,2,1,1,1,1,5,0,0,0,1,6,0,0,1,0,0,6,1,1,0,1778,1,1,"London : printed for Edward and Charles Dilly In The Poultry, MDCCLXXVIII. [1778].",London,240,female,1729,1807,TRUE,"* ; .i. - / -10 2 7.1 JPAYNE THE OLD ENGLISH BARON: A GOTHIC STORY . BY CLARA REEVE. THE SECOND EDITION. LONDON: PRINTED FOR EDWARD AND CHARLES DILLY IN THE POULTRY. MDCCLXXVIII. PREFACE. S this Story is of a species which, those not new, is out of the"
1220200700_000001,The old English baron: a Gothic story. By Clara Reeve.,Clara Reeve,64,0,0,0,0,3,1,3,0,2,0,0,0,0,1,2,0,1,2,0,1,1,3,0,0,0,2,0,0,1,4,1,2,1,2,2,0,1,0,0,1,2,1,1,1,1,5,0,0,0,1,6,0,0,1,0,0,6,1,1,0,1778,1,1,"Dublin : printed by John Exshaw, No. 86, Dame-Street, MDCCLXXVIII. [1778].",Dublin,246,female,1729,1807,TRUE,"t . tr~. A K ~ V; 4$~~~~~~~~, AC sb~ THE OLD ENGLISH BARON: A G OTHIC STORY . By CLARA REEVE. THE THIRD EDITION. D U B L I N: Ptinted by JOHN EXSHAW, No. 86, damne frect. MDCCLXXVX II PR ES A C E. A S this Story"
0531700700_000001,The old English baron: a gothic story.,Clara Reeve,63,0,0,0,1,2,2,3,0,1,0,0,0,0,0,3,0,1,2,0,1,1,1,0,0,0,2,1,0,3,4,1,2,1,2,2,0,1,0,0,1,2,1,1,0,2,5,0,0,0,1,6,0,0,1,0,0,4,1,1,0,1794,1,1,"London : printed for Charles Dilly, 1794.",London,275,female,1729,1807,TRUE,"]'R 0177ai nz7 i c7.. ~~~ ~~~~ -~ ~ ~ "". A?? ""1? l;  I ~ _ _ iii i -; - ety~u m & eri ei it /0i~~j ao/ t/ 1, óye THE OLD ENGLISH BABRON. -- -- -- UA GOTHIC STORY . THE FIFTH EDITION. LONDON: PRINTED"
