PassageID,Title,Author,Total termFreq,termFreq(),termFreq(adventur),termFreq(ag),termFreq(apper),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(ill),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1189600101_000037,"The miscellaneous works of Tobias Smollett, M. D. with memoirs of his life and writings. By Robert Anderson, M. D. in six volumes. ... . Containing the life of Smollett. The adventures of Roderick Random.",Tobias Smollett,77,0,3,0,0,1,0,6,0,0,4,0,0,0,0,0,2,1,0,0,0,3,1,2,1,4,2,2,0,1,1,4,1,2,3,7,1,1,0,1,0,0,2,0,1,0,1,3,0,2,1,1,2,0,0,2,0,2,2,1,0,3,1800,1,6,"Edinburgh : printed by and for Mundell & Son; and sold in London by Otridge & Son, Vernor & Hood, J. Cuthell, J. Walker & Lackington, Allen & Co., 1800.",Edinburgh,624,male,1721,1771,TRUE,"the archbishop of Rheims, written in the I tth century. The subjea is, the Achievements of Charlemagne and his peers) or Paladins, in driving the Saracens out of France and part of Spain; the same subject which Ariosto has taken for his celebrated poem of Orlando Furioso, which is truly"
0276700602_000019,"The observer: being a collection of moral, literary and familiar essays. ...",Richard Cumberland,78,0,1,0,0,3,5,4,1,2,1,1,3,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,2,2,2,8,10,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,4,0,2,1,0,0,2,2,1,4,1791,2,4,"Dublin : printed by Zachariah Jackson, for P. Byrne, R. Marchbank, J. Moore, and W. Jones, 1791.",Dublin,325,male,1732,1811,TRUE,"early, they may give a dictate to more useful knowledge ; which are good reasons for the total prohibition of them in schools: And in private education , least a preference of ficion to truth should be thus instilled, the ridiculous pafiages, with which even the best novels abound, should"
0713600202_000118,"Gleanings through Wales, Holland, and Westphalia. Fourth edition. To which is added, Humanity; a poem. Fifth edition. By Mr. Pratt. ...",Samuel Jackson Pratt,63,0,1,0,0,4,0,2,0,1,2,1,0,1,1,0,0,0,2,1,0,1,4,0,1,0,2,0,1,3,1,2,2,1,1,5,5,0,0,1,1,1,0,0,2,0,0,0,1,1,1,0,5,0,0,0,0,1,3,0,1,0,1798,2,3,"London : printed for T. N. Longman, Paternoster-Row, 1798.",London,513,male,1749,1814,TRUE,"to give a new turn to fictitious Composition. THEN appeared the Afiraa of D'urfc, the Grand Cyrus, the Clelia and Cleopatra of Mad. Scuderi, the Arcadia of Sir Philip Sidney, and other, grave and stately Compositions in the same style. These may be considered as forming the second stage of"
0107600202_000001,"The works of Tobias Smollett, M.D. with memoirs of his life; to which is prefixed A view of the commencement and progress of romance, by John Moore, M.D. In eight volumes. ...",Tobias Smollett,58,0,3,1,0,3,0,3,0,1,2,1,1,1,2,0,1,1,0,1,0,1,1,1,0,0,0,5,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,0,0,0,6,0,2,1,0,2,2,0,1,0,4,1,0,0,0,1797,2,8,"London : printed for B. Law, J. Johnson, C. Dilly, G. G. and J. Robinson, R. Baldwin, T. Becket, F. and C. Rivington, A. Strahan, R. Faulder, W. Richardson, W. Lane, W. Lowndes, S. Hayes, G. and T. Wilkie, Ogilvy and Son, T. N. Longman, and Cadell jun. and Davies, 1797.",London,595,male,1721,1771,TRUE,"professed to be given of the behaviour of persons in particular interesting situations, such as may actually occur in life ; by means of which, what is laudable or defective in character and in conduct, may be pointed out, and placed in a useful light. Upon this plan, the French"
0013700101_000006,"The adventures of Roderic [sic] Random. In two volumes. By T. Smollet, M.D. With the life of the author. ...",Tobias Smollett,54,0,2,0,0,2,0,1,0,2,2,1,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,4,1,0,2,1,1,0,1,4,0,0,0,2,0,1,2,1,1,0,1,4,0,2,1,0,1,2,0,2,0,0,1,0,1,1,1793,1,2,"London : printed for C. Cooke, [1793].",London,270,male,1721,1771,TRUE,"readers. There are many, who condemn the use of novels altcgether; but what are epic poems but novels in verse It is difficult to draw the line of limit between novels , and other works of imagination ; unless the word novel be confined to mean only the romances of"
1294000102_000036,"The observer: being a collection of moral, literary and familiar essays. The second edition. ...",Richard Cumberland,79,0,1,1,0,3,5,4,1,2,0,0,3,0,0,0,1,0,0,1,0,1,1,0,0,2,1,0,0,0,1,2,2,2,2,9,10,0,0,0,0,0,1,0,2,1,0,1,0,0,1,1,3,0,3,1,0,0,2,2,1,5,1787,2,4,"London : printed for C. Dilly in the Poultry, M.DCC.LXXXVII. [1787].",London,300,male,1732,1811,TRUE,"driving the Saracens out of France and ""part of Spain; "" the same subjet which Ariosto has taken for his celebrated poem of Orlando Furioso, which is truly a chivalry romance , as extravagant as any of the rest, but partly heroic, and partly comic, embellished with the highest graces"
1220700201_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,56,0,3,1,0,3,0,2,0,1,3,1,1,1,2,0,1,1,0,1,0,1,1,1,0,0,0,5,0,0,1,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,3,1,0,1,2,0,1,0,4,0,0,0,0,1748,1,2,"Dublin : printed and sold by Richard James, opposite Sycamore Alley in Dames-Street, MDCCXLVIII. [1748].",Dublin,323,male,1721,1771,TRUE,"manners . THESE were the fires Compositions that received the name of Romances . The origin of this name is traced, by Mr. Huet the learned bishop of Avranche, to the Provencal Troubadoures, a sort of story tellers and bards in the county of Provence, where there sub sifted some"
0437400300_000001,The champion of virtue. A Gothic story. By the editor of The Phoenix. A translation of Barclay's Argenis.,Clara Reeve,65,0,1,1,0,1,6,1,2,0,1,0,1,0,1,0,2,0,1,2,1,1,1,1,0,0,1,1,0,0,2,1,1,4,1,2,3,0,0,0,0,1,2,0,0,5,1,5,0,0,0,0,2,1,0,0,0,1,6,0,1,0,1795,1,1,"London : printed for A. Cleugh, Ratcliff-Highway, and W. Phorson, Berwick, 1795.",London,195,female,1729,1807,TRUE,"other, have made a part of the polite hiera ture of every age and nation. These have been grafted upon the actions of their heroes ; they have been interwoven with their mythology; they have been moulded upon the manners of the age ; and, in return, have influenced the"
0129100103_000036,"Poems and plays. By Mrs. West, Author of ``a Tale of the Times,'' ``a Gossip's Story,'' &c. &c. ...",Jane West,60,0,1,3,0,2,0,2,1,2,2,0,0,1,1,0,0,0,1,2,0,0,2,0,2,1,0,1,0,0,1,2,1,1,1,1,7,0,0,1,0,0,0,0,3,0,1,0,1,0,2,0,3,0,1,0,0,1,5,0,2,2,1799,3,4,"London : printed by C. Whittingham; for T. N. Longman and O. Rees, Paternoster-Row, 1799.",London,268,female,1758,1852,FALSE,"taste . He recolleats all his reading , he reviews all he has seen and heard, he searches books on similar topics, and at once improves what he has obtained, and makes new acquisitions. He who has been conversant in great schools will have seen copies of verses written as"
0107600201_000021,"The works of Tobias Smollett, M.D. with memoirs of his life; to which is prefixed A view of the commencement and progress of romance, by John Moore, M.D. In eight volumes. ...",Tobias Smollett,74,0,0,2,0,2,3,2,0,0,0,0,0,0,5,1,2,2,1,2,0,2,2,0,2,0,0,3,0,1,0,5,0,1,0,5,4,0,0,0,0,0,0,0,2,4,1,4,0,4,0,1,1,2,0,0,0,0,2,2,2,2,1797,1,8,"London : printed for B. Law, J. Johnson, C. Dilly, G. G. and J. Robinson, R. Baldwin, T. Becket, F. and C. Rivington, A. Strahan, R. Faulder, W. Richardson, W. Lane, W. Lowndes, S. Hayes, G. and T. Wilkie, Ogilvy and Son, T. N. Longman, and Cadell jun. and Davies, 1797.",London,452,male,1721,1771,TRUE,"knights were patterns, not of courage merely, but of religion, generosity, courtesy, and fidelity; and the heroines were no less distinguished for modesty, delicacy, and the utmost dignity of manners . - THESE were the first Compositions that received the name of Romances . The origin of this name is"
