item,title,author,pubdate,volume,ecco_vol,num_matches_top_1000,first_match
1,"Essays on the nature and immutability of truth, in opposition to sophistry and scepticism; on poetry and music, as they affect the mind; on laughter, and ludicrous composition; on the utility of classical learning / By James Beattie ...","Beattie, James, 1735-1803.",1777,NA,1282500100,2,124
2,"Essays. On the nature and immutability of truth, in opposition to sophistry and scepticism. On poetry and music, as they affect the mind. On laughter, and ludicrous composition. On the utility of classical learning. By James Beattie","Beattie, James, 1735-1803.",1776,NA,0999300100,5,121
3,"Sketches of a history of literature: containing lives and characters of the most eminent writers in different languages, ancient and modern, and critical remarks on their works. Together with several literary essays ... By the late Robert Alves, A.M. To which is prefixed a short biographical account of the author","Alves, Robert, 1745-1794.",1794,NA,0655600600,2,453
4,"Essays : on the nature and immutability of truth, in opposition to sophistry and scepticism; on poetry and music, as they affect the mind; on laughter, and ludicrous composition; on the utility of classical learning / by James Beattie ; in two volumes, v. 2","Beattie, James, 1735-1803.",1776,2,n,,
5,"Essays on the nature and immutability of truth, in opposition to sophistry and scepticism; on poetry and music as they affect the mind; on laughter, and ludicrous composition; on the utility of classical learning, by James Beattie ..","Beattie, James, 1735-1803.",1777,NA,duplicate,,
6,"The works of the poets of Great Britain and Ireland, with prefaces, biographical and critical, v. 1","Johnson, Samuel, 1709-1784,",1800,1,0482200101,1,511
7,"Anecdotes of polite literature ..., v. 1",NA,1764,1,0633100401,0,NA
8,"London review, and biographia literaria, v.01-02 yr.1799",NA,1799,1-2,n,,
9,"Lectures on rhetoric and belles lettres / by Hugh Blair, v.3","Blair, Hugh, 1718-1800.",1785,3,0382100203,6,7
10,"Essays: on poetry and music, as they affect the mind; on laughter, and ludicrous composition; on the usefulness of classical learning. By James Beattie","Beattie, James, 1735-1803.",1779,NA,0036900700,2,258
11,"Synopsis of lectures on belles lettres and logic, read in the University of St. Andrews",University of St. Andrews.,1790,NA,1041700300,2,94
12,"The Critical review, or, Annals of literature, v.15 1763",NA,1763,15,n,,
13,"Lectures on rhetoric and belles lettres. By Hugh Blair ., v.3","Blair, Hugh, 1718-1800.",1787,3,0702600103,6,22
14,"Essays: on poetry and music, as they affect the mind; on laughter, and ludicrous composition; on the usefulness of classical learning. By James Beattie","Beattie, James, 1735-1803.",1779,NA,duplicate,,
15,"The Critical review, or, Annals of literature, v. 37 (Jan. -June 1774)",NA,1774,37,n,,
16,"Critical remarks on Pizarro, a tragedy, taken from the German drama of Kotzebue, and adapted to the English stage by Richard Brinsley Sheridan. With incidental observations on the subject of the drama. By Samuel Argent Bardsley, M.D.","Bardsley, Samuel Argent, 1764-1851.",1800,NA,0454800900,0,2412
17,"The Critical review, or, Annals of literature, v. 45 (Jan. -June 1778)",NA,1778,45,n,,
18,"An essay on the genius and writings of Pope ..., v. 1","Warton, Joseph, 1722-1800.",1782,1,0941000301,0,2178
19,"The Critical review, or, Annals of literature, v.14 1763",NA,1763,14,n,,
20,"The pleasures of imagination / by Mark Akenside ; to which is prefixed a critical essay on the poem, by Mrs. Barbauld","Akenside, Mark, 1721-1770.",1795,NA,0866300300,0,1296
21,"The general magazine and impartial review. : including a history of the present times, and an account of new publications. interspersed with original and selected tales, essays, biography, poetry, &c. &c. &c. with a monthly chronicle of events, v.2 (1788)",NA,1788,2,n,,
22,"Epistolae ad Pisones et Augustum, with an English commentary and notes, to which are added two dissertations: the one, On the provinces of the several species of dramatic poetry; the other On Poetical imitation ..., vol.2",Horace,1753,2,n,,
23,Dissertations moral and critical. On memory and imagination. On dreaming. The theory of language. On fable and romance. On the attachments of kindred. Illustrations on sublimity. By James Beattie ...,"Beattie, James, 1735-1803.",1783,NA,0297100100,9,43
24,"An essay on the genius and writings of Pope, v. 1 (3rd ed.)","Warton, Joseph, 1722-1800.",1772,1,1749700300,,
25,"The general magazine and impartial review. : including a history of the present times, and an account of new publications. interspersed with original and selected tales, essays, biography, poetry, &c. &c. &c. with a monthly chronicle of events, v.1 (17897)",NA,1792,1,n,,
26,"Essays : on the nature and immutability of truth, in opposition to sophistry and scepticism; on poetry and music, as they affect the mind; on laughter, and ludicrous composition; on the utility of classical learning / by James Beattie ; in two volumes, v.2","Beattie, James, 1735-1803.",1776,2,n,,
27,"The Critical review, or, Annals of literature, vol.37 (1774)",NA,1774,37,n,,
28,"The Theatrical review; or, New companion to the play-house: containing a critical and historical account of every tragedy, comedy, opera, farce etc. exhibited at the theatres during the last season; with remarks on the actors ... By a Society of Gentlemen ..., v.1","Potter, John.",1772,1,0776001201,0,NA
29,"The Critical review, or, Annals of literature, vol.45 (1778)",NA,1778,45,n,,
30,An essay on the genius and writings of Pope,"Warton, Joseph, 1722-1800.",1772,NA,duplicate,,
