item,title,author,pubdate,volume,ecco_vol,num_matches_top_1000,first_match
1,"The prose epitome; or, Elegant extracts abridged from the larger volume, for the improvement of scholars at classical and other schools, In The Art Of Speaking; In Reading, Thinking, Composing; And In The Conduct Of Life",NA,1791,NA,0093300300,0,NA
2,"The annual register, or a view of the history, politics, and literature, for the year 1768",NA,1773,NA,0968800700,0,NA
3,The Britannic magazine; or Entertaining repository of heroic adventures. For the year ...,NA,1793-1807,9,0888600109,0,4668
4,The Britannic magazine; or Entertaining repository of heroic adventures. For the year ...,NA,1793-1807,12,0888600112,1,439
5,"The annual register, or a view of the history, politics, and literature, for the year 1773",NA,1776,NA,0913300100,0,NA
6,The beauties of all the magazines selected. For the Year 1762. Including the several original comic pieces. To be continued the middle of every month. ...,NA,1762-64,3,0906500303,0,NA
7,"An authentic account of an embassy from the King of Great Britain to the Emperor of China; including cursory observations made, and Information Obtained, in travelling through that ancient empire, and a Small Part of Chinese Tartary. Together with a Relation of the Voyage Undertaken on the Occasion by his Majesty's Ship the Lion, and the Ship Hindostan, in the East India Company's Service, to the Yellow Sea, and Gulf of Pekin; as Well as of their Return to Europe; with Notices of The several places where they stopped in their way out and home; being the Islands of Madeira, Teneriffe, and St. Jago; the Port of Rio de Janeiro in South America; the Islands of St. Helena, Tristan D'acunha, and Amsterdam; the Coast of Java, and Sumatra, the Nanka Isles, Pulo-Condore, and Cochin-China. Taken chiefly from the papers of His Excellency the Earl of Macartney, Knight of the Bath, His Majesty's Embassador Extraordinary and Plenipotentiary to the Emperor of China; Sir Erasmus Gower, Commander of the Expedition, and of other Gentlemen in the several departments of the Embassy. By Sir George Staunton, Baronet, Honorary Doctor of Laws of the University of Oxford, Fellow of the Royal Society of London, his Majesty's Secretary of Embassy to the Emperor of China, and Minister Plenipotentiary in the absence of the Embassador. In three volumes. Volume the First",George Staunton,1797,3,0084700203,0,NA
8,"A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies. By the Abbé Raynal. To which is added, The revolution of America. By the same author. A new translation. With notes, Large Additions and Improvements, and a Copious Index. ...","Raynal, abbé",1782,4,0014800304,5,353
9,"The history of America, from its discovery by Columbus to the conclusion of the late war. With an appendix, containing an account of the rise and progress of the present unhappy contest between Great Britain and her colonies. By William Russell, Esq. of Gray's-Inn. ...",William Russell,1778,2,0175700102,6,9
10,"A new and complete system of geography. Containing a full, accurate, authentic and interesting account and description of Europe, Asia, Africa, and America ; as Consisting Of Continents Islands Oceans Seas Rivers Lakes Promontories Capes Bays Peninsulas Isthmusses Gulphs, &c. And Divided Into Empires, Kingdoms, States, and Republics. Together With Their Limits, Boundaries, Climate, Soil, Natural and Artificial Curiosities and Productions, Religion, Laws, Government, Revenues, Forces, Antiquities, &c. Also the Provinces, Cities, Towns, Villages, Forts, Castles, Harbours, Sea-Ports, Aqueducts, Mountains, Mines, Minerals, Fossils, Roads, Public and Private Edifices, Universities, &c. contained in each: And all that is interesting relative to the Customs, Manners, Genius, Tempers, Habits, Amusements, Ceremonies, Commerce, Arts, Sciences, Manufactures, and Language of the Inhabitants. With an accurate and lively Description of the various Kinds of Birds, Beasts, Reptiles, Fishes, amphibious Creatures, Insects, &c. Including The Essence of the most remarkable Voyages and Travels that have been performed by the Navigators and Travellers of different Countries, particularly the late Discoveries in the South Seas, and the Voyages towards the North Pole, with every Curiosity that hath hitherto appeared in any Language respecting the different Parts of the Universe. Likewise Many curious and interesting Circumstances concerning various Places, communicated by several Gentlemen to the Authors of this Work. Also A Concise History of every Empire, Kingdom, State, &c. with the various Revolutions they have undergone. To which will be added, A New and Easy Guide to Geography, the Use of the Globes, &c. with an Account of the Rise and Progress of Navigation, its Improvements and Utility to Mankind. The whole embellished and enriched with upwards of One Hundred most elegant and superb Copper Plates, engraved in such a Manner as to do infinite Honour to the respective Artists by whom they are executed. These Embellishments consist of Views, Maps, Land and Water Perspectives; Birds, Beasts, Fishes, &c. as also the various Dresses of the Inhabitants of different Countries, with their strange Ceremonies, Customs, Amusements, &c. &c. By Charles Theodore Middleton, Esq. assisted by several gentlemen eminent for their Knowledge in the Science of Geography",Charles Theodore Middleton,1777,2,0116900102,0,4808
11,New travels in the United States of America. Performed in 1788. By J. P. Brissot de Warville. Translated from the French,Jacques-Pierre Brissot de Warville,1792,NA,0079500800,0,2295
12,"Atlas geographus: or, a compleat system of geography, ancient and modern. Containing what is of most use in Bleau, Verenius, Cellarius, Cluverius, Baudrand, Brietius, Sanson, &c. With the discoveries and improvements of the best modern authors to this time. Illustrated with about 100 New Maps, done from the latest Observations, by Herman Moll, Geographer; and many other Cuts, by the best Artists. Europe is Two Volumes, with Sixty eight Maps, Sanson's Tables, &c. Vol. I",NA,1711,5,0137700105,0,1207
13,"The new Royal cyclopædia, and encyclopædia; or, complete, modern and universal dictionary of arts and sciences. ... Illustrated with ... copper-plates, ... In three ... volumes. ... By George Selby Howard, ... Assisted by many gentlemen ... John Bettesworth, ... Henry Boswell, ... Felix Stonehouse, D.D. and others",NA,1788,1,0888800101,0,NA
14,"The history of America, from its discovery by Columbus to the conclusion of the late war. With an appendix, containing an account of the rise and progress of the present unhappy contest between Great Britain and her colonies. By William Russell, Esq. of Gray's-Inn. ...",William Russell,1778,1,0175600301,5,78
