PassageID,Title,Author,Total termFreq,termFreq(gener),termFreq(knowledg),termFreq(law),termFreq(principl),termFreq(truth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
1564800201_000028,"An essay concerning human understanding. In four books. Written by John Locke, gent.",John Locke,43,3.0,6.0,22.0,6.0,6.0,1741,1,2,"London : Printed for John Beecroft, at the Bible and Crown, over-against the New Church in Lombard-Street, MDCCXLI. [1741].",London,405,male,1632,1704,True
0323100201_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,42,3.0,6.0,22.0,6.0,5.0,1768,1,2,"London : printed for H. Woodfall, A. Millar, J. Beecroft, J. and F. Rivington, J. Whiston, S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes, Clarke and Collins, B. White, W. Johnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, A. and J. Shuckburgh, and T. Cadell, M.DCC.LXVIII. [1768].",London,404,male,1632,1704,True
0336300301_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,42,3.0,8.0,19.0,8.0,4.0,1731,1,2,"London : printed for Arthur Bettesworth and Charles Hitch, at the Red Lion in Pater-Noster-Row; Edmund Parker, at the Bible and Crown in Lombard-Street; John Pemberton, at the Buck against St. Dunstan's Church, in Fleet-Street; and Edward Symon, against the Royal Exchange, in Cornhill, M.DCC.XXXI. [1731].",London,410,male,1632,1704,True
0035700200_000033,"An essay concerning humane understanding. In four books. Written by John Locke, Gent.",John Locke,42,3.0,6.0,22.0,5.0,6.0,1706,1,1,"London : printed for Awnsham and John Churchill, at the Black Swan in Pater-Noster-Row; and Samuel Manship, at the Ship in Cornhill, near the Royal Exchange, MDCCVI. [1706].",London,586,male,1632,1704,True
0312100801_000027,"An essay concerning human understanding. In four books. Written by John Locke, Esq. in Three Volumes. ...",John Locke,39,2.0,7.0,18.0,8.0,4.0,1759,1,3,"Glasgow : printed by Robert Urie, MDCCLIX. [1759].",Glasgow,397,male,1632,1704,True
0104200101_000047,"The works of John Locke, in nine volumes.",John Locke,38,2.0,8.0,17.0,7.0,4.0,1794,1,9,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. and J. Robinson, [and 14 others in London], 1794.",London,590,male,1632,1704,True
0358900101_000045,"The works of John Locke, in four volumes.",John Locke,42,1.0,8.0,18.0,10.0,5.0,1777,1,4,"London : printed for W. Strahan, J. F. and C. Rivington, L. Davis, W. Owen, S. Baker and G. Leigh, [and 18 others in London], 1777.",London,868,male,1632,1704,True
1723900201_000029,"The works of John Locke, Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables.",John Locke,36,2.0,8.0,16.0,6.0,4.0,1740,1,3,"London : printed for Edmund Parker, at the Bible and Crown, in Lombard-Street; Edward Symon, against the Royal-Exchange, in Cornhill; Charles Hitch, at the Red-Lion, in Paternoster-Row; and John Pemberton, at the Golden-Buck, in Fleetstreet, M.DCC.XL. [1740].",London,659,male,1632,1704,True
1076900101_000028,"An essay concerning human understanding. In four books. Written by John Locke, Esq. In three volumes. ...",John Locke,41,2.0,6.0,22.0,5.0,6.0,1777,1,3,"Edinburgh : printed for J. Dickson and C. Elliot, M,DCC,LXXVII. [1777].",Edinburgh,394,male,1632,1704,True
1564800201_000024,"An essay concerning human understanding. In four books. Written by John Locke, gent.",John Locke,30,5.0,5.0,2.0,10.0,8.0,1741,1,2,"London : Printed for John Beecroft, at the Bible and Crown, over-against the New Church in Lombard-Street, MDCCXLI. [1741].",London,405,male,1632,1704,True
