PassageID,Title,Author,Total termFreq,termFreq(adventur),termFreq(ag),termFreq(appear),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0357500300_000229,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University, of Edinburgh.",Hugh Blair,84,3.0,2.0,4.0,2.0,2.0,4.0,1.0,0,1.0,1.0,1.0,2.0,2.0,0,1.0,0,1.0,3.0,1.0,1.0,0,1.0,0,1.0,3.0,0,0,0,1.0,1.0,0,3.0,7.0,5.0,2.0,0,1.0,0,4.0,0,1.0,1.0,0,0,5.0,0,1.0,1.0,0,1.0,1.0,0,1.0,0,0,2.0,7.0,2.0,0,1784,1,1,"Philadelphia : Printed and sold by Robert Aitken, at Pope's Head in Market Street, MDCCLXXXIV. [1784].",Philadelphia,479,male,1718,1800,True
0733301000_000006,"A plan for the conduct of female education, in boarding schools. By Erasmus Darwin, M. D. F. R. S. Author of Zoonomia, and of the Botanic Garden.",Erasmus Darwin,82,0,0,1.0,2.0,5.0,0,2.0,4.0,0,1.0,3.0,1.0,0,0,0,0,0,1.0,3.0,0,2.0,2.0,4.0,0,3.0,1.0,1.0,0,1.0,2.0,1.0,1.0,2.0,6.0,0,4.0,1.0,1.0,2.0,1.0,1.0,0,4.0,2.0,1.0,1.0,2.0,1.0,0,0,2.0,0,0,0,0,5.0,1.0,1.0,3.0,1797,1,1,"Derby : printed by J. Drewry; for J. Johnson, St. Paul's Church-Yard, London, 1797.",Derby,128,male,1731,1802,True
1128700103_000025,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,86,3.0,2.0,4.0,3.0,2.0,1.0,1.0,0,1.0,1.0,1.0,3.0,2.0,0,2.0,0,2.0,3.0,2.0,1.0,0,1.0,0,1.0,3.0,0,0,0,0,1.0,0,3.0,7.0,6.0,3.0,0,1.0,0,6.0,0,2.0,1.0,0,0,3.0,0,1.0,2.0,0,0,0,0,1.0,0,0,3.0,5.0,2.0,0,1783,3,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,426,male,1718,1800,True
0225900603_000025,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,82,2.0,0,2.0,3.0,1.0,3.0,1.0,0,1.0,1.0,1.0,3.0,2.0,0,2.0,0,2.0,3.0,5.0,2.0,0,1.0,0,3.0,2.0,0,0,0,1.0,3.0,0,1.0,6.0,3.0,3.0,0,1.0,0,8.0,0,3.0,1.0,0,0,0,0,1.0,2.0,0,0,0,1.0,1.0,0,0,2.0,3.0,2.0,0,1788,3,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,408,male,1718,1800,True
1282300102_000079,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University of Edinburgh. In two volumes. ...",Mathew Carey,77,3.0,1.0,3.0,2.0,2.0,3.0,1.0,0,1.0,1.0,1.0,1.0,2.0,0,1.0,0,0,3.0,1.0,0,0,1.0,0,1.0,3.0,0,0,0,2.0,1.0,0,2.0,7.0,6.0,3.0,0,1.0,0,3.0,0,1.0,1.0,0,0,5.0,0,1.0,1.0,0,1.0,0,0,1.0,0,0,2.0,7.0,1.0,0,1793,2,2,"Philadelphia : From the press of Mathew Carey, March 19 --M.DCC.XCIII. [1793].",Philadelphia,464,male,1760,1839,False
1445201000_000006,"A plan for the conduct of female education, in boarding schools, private families, and public seminaries. By Erasmus Darwin, M.D. F.R.S. author of Zoonomia, and of The botanic garden. To which are added, Rudiments of taste, in a series of letters from a mother to her daughters. Embellished with an elegant frontispiece.",Erasmus Darwin,91,0,0,1.0,1.0,7.0,0,2.0,2.0,0,1.0,2.0,2.0,0,0,0,0,0,1.0,3.0,0,3.0,2.0,3.0,0,4.0,1.0,1.0,1.0,2.0,3.0,0,1.0,2.0,13.0,0,4.0,1.0,0,2.0,1.0,1.0,0,6.0,2.0,2.0,0,2.0,1.0,0,0,1.0,0,0,0,0,5.0,0,0,5.0,1798,1,1,"Philadelphia: : Printed by John Ormrod, no. 41, Chesnut-Street, 1798.",Philadelphia,303,female,1731,1802,True
0382100203_000019,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,81,3.0,2.0,4.0,2.0,2.0,5.0,0,0,0,1.0,1.0,1.0,2.0,0,1.0,0,1.0,3.0,1.0,1.0,0,1.0,0,4.0,2.0,0,0,0,2.0,0,0,4.0,4.0,5.0,2.0,0,1.0,0,2.0,0,0,1.0,0,0,9.0,0,1.0,0,0,2.0,1.0,0,1.0,0,0,2.0,5.0,2.0,0,1785,3,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,413,male,1718,1800,True
0417500103_000019,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,76,2.0,2.0,4.0,1.0,2.0,3.0,0,0,0,1.0,1.0,1.0,2.0,0,1.0,0,1.0,3.0,1.0,1.0,0,0,0,4.0,2.0,0,0,0,2.0,0,0,3.0,4.0,5.0,2.0,0,1.0,0,2.0,0,0,0,0,0,9.0,0,1.0,1.0,0,3.0,1.0,0,1.0,0,0,2.0,5.0,2.0,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,True
1692500159_000217,"The European magazine, and London review; containing the literature, history, politics, arts, manners and amusements of the age. By the Philological Society of London.",Philological Society (Great Britain),66,2.0,3.0,0,3.0,0,2.0,0,0,1.0,0,0,2.0,3.0,0,1.0,1.0,1.0,0,1.0,0,1.0,0,1.0,1.0,3.0,0,1.0,0,2.0,0,2.0,3.0,2.0,6.0,1.0,0,0,1.0,1.0,0,1.0,1.0,0,1.0,2.0,0,0,2.0,1.0,3.0,1.0,2.0,0,0,0,4.0,0,3.0,0,1782,59,86,"London [England] : printed for John Fielding No. 23, Pater Noster Row; John Debrett, opposite Burlington House, Piccadilly; and John Sewell, No. 32, Cornhill, [1782]-1826.",London,515,unknown,,,False
0957800103_000020,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,83,2.0,0,3.0,3.0,0,1.0,1.0,0,1.0,0,1.0,4.0,2.0,0,2.0,0,1.0,2.0,6.0,1.0,0,0,0,3.0,1.0,1.0,0,0,2.0,3.0,0,1.0,6.0,3.0,4.0,0,1.0,0,11.0,0,6.0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,1.0,0,0,0,1.0,2.0,3.0,0,1790,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1790.",London,418,male,1718,1800,True
