PassageID,Title,Author,Total termFreq,termFreq(africa),termFreq(carri),termFreq(child),termFreq(coast),termFreq(coloni),termFreq(condit),termFreq(countri),termFreq(dutch),termFreq(foreign),termFreq(fort),termFreq(free),termFreq(french),termFreq(gold),termFreq(hand),termFreq(human),termFreq(indi),termFreq(island),termFreq(labour),termFreq(liberti),termFreq(manner),termFreq(nation),termFreq(nativ),termFreq(negro),termFreq(pain),termFreq(person),termFreq(plantat),termFreq(planter),termFreq(present),termFreq(properti),termFreq(purchas),termFreq(ship),termFreq(slave),termFreq(slaveri),termFreq(sold),termFreq(suffer),termFreq(sugar),termFreq(tortur),termFreq(trade),termFreq(trader),termFreq(traffic),termFreq(valu),termFreq(west),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0606000402_000011,"The history, civil and commercial, of the British colonies in the West Indies. In two volumes. By Bryan Edwards, ...",Bryan Edwards,68,4.0,2.0,0,3.0,1.0,0,1.0,0,1.0,1.0,0,0,2.0,0,5.0,3.0,2.0,1.0,0,0,2.0,1.0,5.0,0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,7.0,4.0,1.0,0,1.0,0,5.0,0,1.0,0,3.0,1793,2,2,"Dublin : Luke White, 1793.",Dublin,493,male,1743,1800,False
0004900300_000002,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards Esq. Illustrated With A Map.",Bryan Edwards,86,2.0,1.0,0,4.0,5.0,1.0,0,0,0,1.0,1.0,2.0,1.0,0,0,5.0,9.0,0,0,2.0,3.0,6.0,12.0,0,3.0,3.0,2.0,2.0,1.0,2.0,0,3.0,3.0,0,0,5.0,0,3.0,0,0,0,4.0,1798,1,1,"London : printed for B. Crosby, Stationer's Court; for Mundell & Son, Edinburgh; and J. Mundell, College, Glasgow, 1798.",London,442,male,1743,1800,False
0151301400_000003,"A short account of the African slave trade, collected from local knowledge, from the evidence given at the bar of both House of Parliament, and, from tracts written upon that subject.","Norris, Robert           1791",69,3.0,3.0,0,0,4.0,0,3.0,1.0,1.0,0,0,2.0,0,0,0,4.0,3.0,3.0,0,1.0,1.0,0,5.0,0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,0,0,1.0,6.0,0,2.0,1.0,5.0,1788,1,1,"Liverpool : printed at Ann Smith's navigation shop, Pool-Lane, M,DCC,LXXXVIII. [1788].",Liverpool,21,unknown,,,False
0072002600_000028,A review of the principal proceedings of the Parliament of 1784.,,81,4.0,2.0,0,1.0,0,1.0,4.0,1.0,1.0,0,0,0,0,1.0,7.0,0,1.0,1.0,1.0,0,7.0,2.0,3.0,0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,10.0,2.0,2.0,0,0,0,9.0,0,1.0,2.0,4.0,1785,1,1,"London : [ printed for J. Stockdale, and ] R. Edwards, No. 142, New Bond Street, [1785?].",London,179,unknown,,,False
1150400200_000029,A review of the principal proceedings of the Parliament of 1784.,,79,3.0,2.0,0,1.0,0,1.0,4.0,1.0,1.0,0,0,0,0,1.0,8.0,0,1.0,1.0,1.0,0,7.0,2.0,3.0,0,2.0,6.0,1.0,3.0,2.0,2.0,0,8.0,2.0,2.0,0,0,0,8.0,0,1.0,2.0,3.0,1792,1,1,"London : printed for R. Edwards, No. 142, New Bond Street, 1792.",London,188,unknown,,,False
1286200800_000031,"A reply to the personal invectives and objections contained in two answers, published by certain anonymous persons, to an essay on the treatment and conversion of African slaves, in the British colonies, by James Ramsay, M. A. Vicar of Teston.",James Ramsay,67,3.0,0,0,1.0,1.0,0,4.0,2.0,3.0,0,2.0,1.0,0,1.0,1.0,1.0,1.0,7.0,0,1.0,2.0,1.0,4.0,0,0,2.0,2.0,1.0,1.0,0,0,11.0,4.0,2.0,0,0,0,2.0,3.0,0,0,3.0,1785,1,1,"London : printed and sold by James Phillips, in George-Yard, Lombard-Street, M CD Clxxxv [1785].",London,143,male,1733,1789,False
0432500700_000677,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,107,3.0,0,0,1.0,2.0,0,1.0,0,8.0,0,3.0,7.0,0,0,0,8.0,20.0,0,0,0,0,0,8.0,0,0,4.0,3.0,5.0,1.0,2.0,1.0,6.0,0,0,0,3.0,0,4.0,1.0,0,7.0,9.0,1789,1,1,"[London], 1789.",London,890,unknown,,,False
0565500301_000200,"The history of Jamaica. Or, general survey of the antient and modern state of that island: with reflections on its situation, settlements, inhabitants, ... In three volumes. Illustrated with copper plates. ...",Edward Long,66,1.0,2.0,0,3.0,3.0,1.0,1.0,0,2.0,0,0,0,4.0,0,0,4.0,1.0,3.0,0,0,2.0,0,9.0,0,0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,0,1.0,0,2.0,0,6.0,1.0,0,3.0,4.0,1774,1,3,"London : printed for T. Lowndes, 1774.",London,634,male,1735,1813,False
0175700102_000012,"The history of America, from its discovery by Columbus to the conclusion of the late war. With an appendix, containing an account of the rise and progress of the present unhappy contest between Great Britain and her colonies. By William Russell, Esq. of Gray's-Inn. ...",William Russell,63,2.0,3.0,0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,0,4.0,4.0,1.0,0,0,4.0,0,1.0,0,1.0,4.0,0,2.0,0,2.0,1.0,3.0,0,2.0,0,2.0,0,1.0,0,2.0,0,4.0,1778,2,2,"London : printed for Fielding and Walker, No. 20, Pater-Noster-Row, MDCCLXXVIII. [1778].",London,627,male,1741,1793,False
0546603200_000005,"Considerations on the trade to Africa. Together with a proposal for securing the Benefits thereof to this Nation. For Fixing and Ascertaining the Capital Stock of the Royal African Company of England. For Uniting the Creditors and Proprietors thereof in One Joint, or Common Interest. For raising the Sun of Two Hundred Thousand Pounds to be employed in the Trade and Service of that Corporation. And (by Means of a Parliamentary Allowance) for Establishing their Affairs, both at Home and Abroad, upon a solid and lasting Foundation. In a Letter to a Noble Lord: With whom that proposal was left for his Consideration the last Year, but with no Sort of Interntion that it should ever appear in Print. And a postscript: Containing, amongst other Things, The Author's Reasons for Publishing the same at this Time. By Mr. O'Connor.","O'Connor, Mr. (M.)",54,1.0,1.0,0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0,1.0,0,1.0,1.0,2.0,4.0,1.0,2.0,0,0,3.0,3.0,0,1.0,0,0,0,0,1.0,1.0,1.0,0,7.0,2.0,1.0,1.0,0,1749,1,1,"London : printed for J. Barnes, at the London-Gazette, Charing-Cross, M.DCC.XLIX. [1749].",London,53,unknown,,,False
